accepted_name	IUCN_category_old	IUCN_category_new	TS_category_old	TS_category_new	IUCN_old	IUCN_new	TS_global_old	TS_global_new
Calamus johnsii	NE	NE	NE	NE	0	0	0	0
Calamus kampucheaensis	NE	NE	NE	NE	0	0	0	0
Calamus kandariensis	NE	NE	NE	NE	0	0	0	0
Calamus karnatakensis	NE	NE	NE	NE	0	0	0	0
Calamus karuensis	NE	NE	NE	NE	0	0	0	0
Calamus katikii	NE	NE	NE	NE	0	0	0	0
Calamus kebariensis	NE	NE	NE	NE	0	0	0	0
Calamus kiahii	NE	NE	NE	NE	0	0	0	0
Calamus kingianus	NE	NE	Data Deficient	NE	0	0	1	0
Calamus kjellbergii	NE	NE	NE	NE	0	0	0	0
Calamus klossii	NE	NE	NE	NE	0	0	0	0
Calamus komsaryi	NE	NE	NE	NE	0	0	0	0
Calamus kontumensis	NE	NE	NE	NE	0	0	0	0
Calamus koordersianus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus korthalsii	NE	NE	NE	NE	0	0	0	0
Calamus kostermansii	NE	NE	NE	NE	0	0	0	0
Calamus kunstleri	NE	NE	NE	NE	0	0	0	0
Calamus kurzianus	NE	NE	NE	NE	0	0	0	0
Calamus lakshmanae	NE	NE	NE	NE	0	0	0	0
Calamus lambirensis	NE	NE	NE	NE	0	0	0	0
Calamus lamprolepis	NE	NE	NE	NE	0	0	0	0
Calamus laoensis	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus lateralis	NE	NE	NE	NE	0	0	0	0
Calamus latifolius	NE	NE	Not Threatened	NE	0	0	1	0
Calamus lauterbachii	NE	NE	NE	NE	0	0	0	0
Calamus laxissimus	NE	NE	Threatened	NE	0	0	1	0
Calamus leiocaulis	NE	NE	NE	NE	0	0	0	0
Calamus leloi	NE	NE	NE	NE	0	0	0	0
Calamus leptopus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus leptospadix	NE	NE	NE	NE	0	0	0	0
Calamus leptostachys	NE	NE	NE	NE	0	0	0	0
Calamus lewisianus	NE	NE	NE	NE	0	0	0	0
Calamus lobbianus	NE	NE	NE	NE	0	0	0	0
Calamus loherianus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus longibracteatus	NE	NE	NE	NE	0	0	0	0
Calamus longipes	NE	NE	NE	NE	0	0	0	0
Calamus longipinna	NE	NE	Not Threatened	NE	0	0	1	0
Calamus longisetus	NE	NE	Not Threatened	NE	0	0	1	0
Calamus longispatha	NE	NE	NE	NE	0	0	0	0
Calamus longispinosus	NE	NE	NE	NE	0	0	0	0
Calamus longistipes	NE	NE	NE	NE	0	0	0	0
Calamus lucysmithiae	NE	NE	NE	NE	0	0	0	0
Calamus luteus	NE	NE	NE	NE	0	0	0	0
Calamus macrochlamys	NE	NE	Not Threatened	NE	0	0	1	0
Calamus macrophyllus	NE	NE	Threatened	NE	0	0	1	0
Calamus macropterus	NE	NE	NE	NE	0	0	0	0
Calamus macrorhynchus	NE	NE	NE	Not Threatened	0	0	0	1
Calamus macrosphaerion	NE	NE	NE	NE	0	0	0	0
Calamus maculatus	NE	NE	NE	NE	0	0	0	0
Calamus maiadum	NE	NE	NE	NE	0	0	0	0
Calamus malawaliensis	NE	NE	NE	NE	0	0	0	0
Calamus manan	NE	NE	NE	NE	0	0	0	0
