"accepted_name"	"EOO"	"AOO"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"EOO2"	"NOP"	"MER"	"EOOkm2"	"AOO2km"	"EOOcat"	"AOOcat"	"EOO_rCAT_conR2"	"HFI"	"HPD"	"FLO"	"bio1"	"bio2"	"bio3"	"bio4"	"bio5"	"bio6"	"bio7"	"bio8"	"bio9"	"bio10"	"bio11"	"bio12"	"bio13"	"bio14"	"bio15"	"bio16"	"bio17"	"bio18"	"bio19"	"bio1_sd"	"bio2_sd"	"bio3_sd"	"bio4_sd"	"bio5_sd"	"bio6_sd"	"bio7_sd"	"bio8_sd"	"bio9_sd"	"bio10_sd"	"bio11_sd"	"bio12_sd"	"bio13_sd"	"bio14_sd"	"bio15_sd"	"bio16_sd"	"bio17_sd"	"bio18_sd"	"bio19_sd"	"bio5max"	"bio6min"	"bio13max"	"bio14min"	"Tflex_ext"	"Pflex_ext"	"Tflex_mean"	"Pflex_mean"	"ECO"	"TDWG3"
"Acoelorrhaphe wrightii"	293713	64	17	12	13	293713	17	595697.635705517	294139.72316295	68	"LC"	"EN"	"294139.72316295"	42.0214807846967	136.194639458376	0.0545234616626711	25.8845659143784	10.7342428319594	63.1846957487219	205.797523947323	34.5756705789005	17.6170304803287	16.9586400424733	26.893648147583	25.9566098381491	27.9779678793514	22.9929961036233	1803.23529411765	306.352941176471	36.2352941176471	61.7428963605095	798.764705882353	135.647058823529	449	276.705882352941	1.66134339122524	1.16668543590045	3.48110280767153	17.354173594797	1.99308778223715	1.74893667073359	1.16917582735938	1.71111730929072	2.18497474783782	1.78536864699316	1.51824226928418	518.811084284512	99.1677500352752	9.43748782624848	6.27555193849088	247.911155812865	37.9192252961321	102.271696964507	126.618405408674	36.6710014343262	11.6239995956421	463	15	0.615471983055733	0.0323974082073434	0.730993166114313	0.118279569892473	5	12
"Acrocomia aculeata"	8903890	52	14	12	13	8903890	14	28620581.4043587	8311322.88521555	52	"LC"	"EN"	"8311322.88521555"	33.3362493515015	583.438214131764	0.0380626230367592	24.5592310769217	11.2118266650609	71.6166741507394	139.826178414481	32.6153109414237	16.7058931759426	15.9094176973615	24.9660844802856	24.075902393886	26.225757598877	22.7762039729527	1815.71428571429	282.071428571429	22.1428571428571	65.9578287942069	773.714285714286	96.8571428571429	308.071428571429	495.714285714286	2.24186744748687	1.66403422231206	6.76855181171878	70.1923759137575	2.00020333750321	4.39904826296887	3.49942159679512	1.42228070273569	3.56710887217199	1.72715387896548	3.11752927941836	624.076478125438	85.8177534848519	12.2088060454307	15.5554101914393	235.247636650085	48.7392704450578	170.149013553376	414.391199151316	34.8084983825684	8.45425033569336	405	0	0.58349336801103	2.46913580246914e-08	0.739537059313099	0.0785008863003289	8	27
"Acrocomia emensis"	370014	20	5	5	5	370014	5	690713.07600166	363524.041779703	20	"LC"	"EN"	"363524.041779703"	28.3235982894897	53.851737421751	0.0940502349287271	22.7674915313721	12.709716796875	68.1204521179199	165.385102844238	30.9693500518799	12.3109998703003	18.6583499908447	23.9697666168213	20.5875	24.372575378418	20.5223251342773	1330.8	255	9.4	82.1171569824219	691.2	41	454.4	52.4	1.98204467340174	1.03706596233665	3.38428965040596	70.1285189562801	2.49555321555511	2.50061784844403	1.19727776452691	1.26267459807091	2.87552609606652	1.37485891997249	2.84542128795125	166.051799147134	25.8069758011279	9.73652915571047	7.50479586360829	66.9865658173339	35.6089876295297	148.378906856736	34.5441746174373	34.2125015258789	9.79775047302246	300	1	0.610476469394995	0.00333333333333333	0.686073182208285	0.0368627450980392	1	3
"Acrocomia glaucescens"	21876	16	6	4	4	21876	6	123320.582805026	22361.2105087349	16	"NT"	"EN"	"22361.2105087349"	32.0245259602865	66.188547650973	0.0494164590102931	23.2736266454061	12.9007538159688	67.3720461527507	164.250869750977	31.5134172439575	12.3200831413269	19.1933342615763	24.3702217737834	20.9548397064209	24.6683057149251	20.9109439849854	1579.5	277.666666666667	12.1666666666667	73.6022796630859	750.833333333333	49.5	591.833333333333	60.5	0.916114167884401	0.361413591736569	4.00922606111128	29.7280003382008	1.06990210700382	1.19541053660682	1.04590372357299	0.975386143542321	1.09065024420933	0.92742199069221	1.14152061298766	40.9768227172386	26.4927663083089	3.37144874893074	1.32616616013121	27.7734885577355	7.79102047231298	13.8912442447272	21.2579396932064	32.3240013122559	10.5415000915527	319	10	0.641676247859056	0.0313479623824451	0.680001321928202	0.0438175270108044	1	1
"Acrocomia hassleri"	1221170	76	28	15	16	1221170	28	2270994.17030598	1222969.57723389	80	"LC"	"EN"	"1222969.57723389"	27.6760837691171	37.5211596499596	0.194198793714999	22.5639063971383	11.7476904051644	61.0426727022444	268.91097668239	31.3003481456212	11.9339910575322	19.3663571902684	24.3984166554042	19.1534717423575	25.4422351292201	19.1080312728882	1503.28571428571	202.392857142857	49.3928571428571	43.5252722331456	570.035714285714	181	483.464285714286	193.321428571429	1.62856278647646	0.315455438942758	5.61174733944916	78.8451096025404	1.83670970124495	1.99963580173157	1.43818074951066	1.46629453151559	2.10232697930937	1.7213610861674	2.11087848325123	190.415891249159	40.6478456316858	25.1017769560086	21.3655415920825	100.856143294356	83.3315555365922	63.3891462510252	82.9261400825741	34.9102516174316	9.79775047302246	310	3	0.603755339567866	0.00967741935483871	0.675965525458299	0.244044467972472	3	2
"Acrocomia intumescens"	662365	36	9	9	9	662365	9	1902796.43883225	643669.459834801	36	"LC"	"EN"	"643669.459834801"	46.0535471174452	2388.94926367866	0.0307267798214323	24.5069115956624	9.33687501483493	73.5790261162652	110.96201494005	30.8870020972358	18.0978708267212	12.7891313764784	24.7730854882134	24.4091584947374	25.7626787821452	23.0504959954156	1228.44444444444	236.777777777778	19.6666666666667	79.2445471021864	623.777777777778	69.2222222222222	281.777777777778	288.777777777778	1.71873300164861	1.44006727431842	4.98827601247166	45.1672562335902	1.73992480036973	2.38304299767733	2.44412326082626	1.4396235016823	2.1795314095958	1.57705664196466	2.03497057162725	353.334866348876	57.6471546951317	14.2214626533279	21.3800947536553	162.516751273352	46.8368919169968	129.3761741761	213.59996358718	33.8587493896484	14.4423875808716	335	4	0.688464660949015	0.0119402985074627	0.784524271661137	0.0830595964335993	6	1
"Acrocomia totai"	2202730	56	14	13	13	2202730	14	4244133.39210377	2171030.99592483	56	"LC"	"EN"	"2171030.99592483"	29.64041525977	75.8669164563928	0.0499400178502713	23.2265704018729	11.3121235030038	63.2976918901716	229.19588633946	31.4653572354998	13.4938573156084	17.9715001923697	25.1183868135725	20.4753897530692	25.5885953903198	20.1570658002581	1359.14285714286	194.285714285714	37.7857142857143	47.2921983173915	533.285714285714	148.071428571429	452.714285714286	191.357142857143	1.9928879533333	0.772989048962025	4.929887866932	77.5783278488016	1.75490895203238	2.42063744542175	1.84153263392404	2.01185750828598	2.31899605301951	1.84020984330029	2.46604093360677	275.750683698952	47.7693634865704	17.4672377783208	15.3366383195567	140.663498393221	74.8829489533902	113.025135782627	83.3478412279684	33.2705001831055	9.9060001373291	299	4	0.621544789117894	0.0133779264214047	0.700131936471274	0.194485294117647	8	6
"Actinokentia divaricata"	4167	100	32	11	18	4167	32	17051.7102480162	4150.03153770552	100	"EN"	"EN"	"4150.03153770552"	26.5847623348236	53.6260961256921	0.0165909527804615	21.1661520004272	7.75556449592113	54.2675887346268	245.567474842072	28.0447282791138	13.7560112774372	14.2887170016766	23.8708139657974	19.0169684290886	24.1339799165726	18.1555296182632	1829.78125	254.4375	73.25	36.4130727052689	675.84375	272.4375	666.5	340.34375	0.866879085497825	0.3030314107392	1.15050297614276	7.9396642992306	0.734364742240049	0.917215897928479	0.377259555475447	0.814267732739325	0.919218959300328	0.782774294243549	0.943611970685374	225.187482373559	26.6941306826655	12.2868930953062	3.7100621517359	67.4011148443263	43.9772210097675	65.3560965391807	63.3269088068592	29.2827491760254	12.0742502212524	309	54	0.702010877836676	0.174757281553398	0.747150363530701	0.287889953328421	1	1
"Actinokentia huerlimannii"	10	8	4	2	2	10	4	47.9735134114078	9.97586845537426	8	"CR"	"CR"	"9.97586845537426"	21.4226026535034	40.9252405166626	0.00745066421222873	19.8629450798035	7.88454687595367	53.5618495941162	256.761337280273	27.0676250457764	12.3478751182556	14.7197499275208	22.9714589118958	17.6375732421875	22.9714589118958	16.7243747711182	1996	263	86	31.0117797851562	709	309.5	709	381.75	0.646723747253418	0.13184380531311	0.573886871337891	0.312164306640625	0.634750366210938	0.547249794006348	0.0875005722045898	0.633416175842285	0.671062469482422	0.633416175842285	0.634082794189453	168	20	10	0.900917053222656	52	29	52	13.5	28.0197505950928	12.0742502212524	273	71	0.71770755778504	0.26007326007326	0.734939867142759	0.326996197718631	1	1
"Actinorhytis calapparia"	645614	56	16	14	14	645614	16	1596715.4098835	647217.700362143	60	"LC"	"EN"	"647217.700362143"	20.3846895138423	29.0284440517426	0.0296207315113861	24.3511974334717	8.81816682815552	85.5617197672526	53.4430890401204	29.6429074605306	19.3248203277588	10.3180871327718	24.1893501281738	24.2723097483317	24.8856297810872	23.6180253346761	3017.06666666667	346.4	166.533333333333	24.9207116444906	976.2	549.2	776.066666666667	722.933333333333	3.01159833608643	1.09975032709158	5.20499242299604	24.3723055876718	2.9090998662534	3.29865985385408	1.20107101054258	2.95759836342183	3.19608860625714	3.02940864556402	3.0341339927449	912.943392601775	92.1642942947926	61.7747829581279	9.85116983041881	275.662112013965	222.835044691936	162.250893313265	427.905107415629	32.6462478637695	11.2165002822876	604	58	0.649337923743692	0.0960264900662252	0.822435360530137	0.480754426481908	6	2
