"accepted_name"	"ECO"
"Dypsis oreophila"	2
"Dypsis oropedionis"	1
"Dypsis ovobontsira"	1
"Dypsis pachyramea"	1
"Dypsis paludosa"	2
"Dypsis pembana"	1
"Dypsis perrieri"	2
"Dypsis pervillei"	1
"Dypsis pilulifera"	4
"Dypsis pinnatifrons"	5
"Dypsis poivreana"	1
"Dypsis prestoniana"	2
"Dypsis procera"	1
"Dypsis procumbens"	2
"Dypsis psammophila"	2
"Dypsis pulchella"	2
"Dypsis pumila"	3
"Dypsis pusilla"	1
"Dypsis pustulata"	1
"Dypsis rakotonasoloi"	1
"Dypsis ramentacea"	1
"Dypsis reflexa"	2
"Dypsis remotiflora"	1
"Dypsis rivularis"	2
"Dypsis sahanofensis"	2
"Dypsis saintelucei"	2
"Dypsis sanctaemariae"	1
"Dypsis scandens"	1
"Dypsis schatzii"	1
"Dypsis scottiana"	2
"Dypsis serpentina"	2
"Dypsis simianensis"	1
"Dypsis singularis"	1
"Dypsis spicata"	2
"Dypsis subacaulis"	1
"Dypsis tanalensis"	1
"Dypsis tenuissima"	1
"Dypsis thermarum"	1
"Dypsis thiryana"	2
"Dypsis tokoravina"	3
"Dypsis trapezoidea"	1
"Dypsis tsaratananensis"	1
"Dypsis tsaravoasira"	3
"Dypsis turkii"	2
"Dypsis utilis"	2
"Dypsis viridis"	1
"Dypsis vonitrandambo"	1
"Elaeis guineensis"	5
"Elaeis oleifera"	23
"Eleiodoxa conferta"	8
"Eremospatha cabrae"	3
"Eremospatha cuspidata"	4
"Eremospatha dransfieldii"	1
"Eremospatha haullevilleana"	5
"Eremospatha hookeri"	6
"Eremospatha laurentii"	4
"Eremospatha macrocarpa"	6
"Eremospatha quinquecostulata"	2
"Eremospatha tessmanniana"	1
"Eremospatha wendlandiana"	3
"Eugeissona minor"	1
"Eugeissona tristis"	1
"Euterpe broadwayi"	1
"Euterpe catinga"	18
"Euterpe edulis"	13
"Euterpe longibracteata"	6
"Euterpe luminosa"	1
"Euterpe precatoria"	55
"Gaussia attenuata"	1
"Gaussia gomez-pompae"	3
"Gaussia maya"	2
"Geonoma aspidiifolia"	6
"Geonoma baculifera"	10
"Geonoma bernalii"	1
"Geonoma braunii"	1
"Geonoma brenesii"	2
"Geonoma brongniartii"	18
"Geonoma calyptrogynoidea"	5
"Geonoma camana"	8
"Geonoma chlamydostachys"	2
"Geonoma chococola"	4
"Geonoma concinna"	4
"Geonoma concinnoidea"	5
"Geonoma congesta"	9
"Geonoma cuneata"	7
"Geonoma deneversii"	1
"Geonoma deversa"	47
"Geonoma dindoensis"	1
"Geonoma divisa"	2
"Geonoma elegans"	8
"Geonoma epetiolata"	4
"Geonoma euspatha"	12
"Geonoma ferruginea"	8
"Geonoma fosteri"	1
"Geonoma frontinensis"	5
"Geonoma galeanoae"	1
"Geonoma gentryi"	1
"Geonoma hollinensis"	1
"Geonoma hugonis"	4
"Geonoma interrupta"	44
"Geonoma lanata"	3
"Geonoma laxiflora"	6
"Geonoma lehmannii"	1
"Geonoma leptospadix"	27
"Geonoma longepedunculata"	3
"Geonoma longivaginata"	1
"Geonoma macrostachys"	26
"Geonoma maxima"	32
"Geonoma monospatha"	4
"Geonoma mooreana"	3
"Geonoma multisecta"	5
"Geonoma occidentalis"	3
"Geonoma oldemanii"	2
"Geonoma oligoclona"	6
"Geonoma orbignyana"	30
"Geonoma paradoxa"	5
"Geonoma pauciflora"	10
"Geonoma peruviana"	2
"Geonoma pinnatifrons"	27
"Geonoma poeppigiana"	11
"Geonoma pohliana"	19
"Geonoma poiteauana"	9
"Geonoma sanmartinensis"	2
"Geonoma santanderensis"	1
"Geonoma schizocarpa"	2
"Geonoma schottiana"	12
"Geonoma scoparia"	2
"Geonoma simplicifrons"	2
"Geonoma spinescens"	1
"Geonoma stricta"	31
"Geonoma talamancana"	1
"Geonoma tenuissima"	3
"Geonoma triandra"	4
"Geonoma triglochin"	7
"Geonoma trigona"	3
"Geonoma umbraculiformis"	3
"Geonoma undata"	39
"Geonoma venosa"	1
"Guihaia argyrata"	3
"Guihaia grossifibrosa"	2
"Hemithrinax ekmaniana"	1
"Heterospathe annectens"	1
"Heterospathe arfakiana"	1
"Heterospathe brevicaulis"	1
"Heterospathe cagayanensis"	1
"Heterospathe clemensiae"	1
"Heterospathe compsoclada"	1
"Heterospathe delicatula"	1
"Heterospathe dransfieldii"	1
"Heterospathe elata"	4
"Heterospathe elegans"	6
"Heterospathe elmeri"	1
"Heterospathe glabra"	1
"Heterospathe intermedia"	2
"Heterospathe lepidota"	1
"Heterospathe longipes"	1
"Heterospathe macgregorii"	4
"Heterospathe minor"	1
"Heterospathe muelleriana"	4
"Heterospathe negrosensis"	1
"Heterospathe obriensis"	1
"Heterospathe parviflora"	2
"Heterospathe philippinensis"	3
"Heterospathe phillipsii"	1
"Heterospathe porcata"	1
"Heterospathe pulchra"	2
"Heterospathe pullenii"	1
"Heterospathe scitula"	1
"Heterospathe sphaerocarpa"	1
"Heterospathe trispatha"	0
"Heterospathe woodfordiana"	1
"Hydriastele aprica"	1
"Hydriastele beccariana"	2
"Hydriastele beguinii"	1
"Hydriastele biakensis"	1
"Hydriastele brassii"	3
"Hydriastele cariosa"	1
"Hydriastele chaunostachys"	4
"Hydriastele costata"	13
"Hydriastele dransfieldii"	1
"Hydriastele flabellata"	7
"Hydriastele gibbsiana"	1
"Hydriastele gracilis"	1
"Hydriastele hombronii"	1
"Hydriastele kasesa"	2
"Hydriastele ledermanniana"	4
"Hydriastele longispatha"	4
"Hydriastele lurida"	5
"Hydriastele manusii"	1
"Hydriastele micrantha"	1
"Hydriastele microcarpa"	2
"Hydriastele moluccana"	1
"Hydriastele montana"	1
"Hydriastele nannostachys"	0
"Hydriastele pinangoides"	11
"Hydriastele procera"	1
"Hydriastele ramsayi"	1
"Hydriastele rhopalocarpa"	1
"Hydriastele valida"	1
"Hydriastele variabilis"	2
"Hydriastele wendlandiana"	6
"Hyophorbe amaricaulis"	1
"Hyophorbe lagenicaulis"	1
"Hyospathe elegans"	41
"Hyospathe frontinensis"	3
"Hyospathe macrorhachis"	1
"Hyospathe peruviana"	1
"Hyospathe wendlandiana"	1
"Hyphaene compressa"	6
"Hyphaene coriacea"	13
"Hyphaene guineensis"	1
"Hyphaene petersiana"	4
"Hyphaene reptans"	1
"Hyphaene thebaica"	11
"Iguanura ambigua"	2
"Iguanura bicornis"	2
"Iguanura borneensis"	1
"Iguanura curvata"	2
"Iguanura diffusa"	1
"Iguanura elegans"	2
"Iguanura macrostachya"	1
"Iguanura melinauensis"	2
"Iguanura minor"	1
"Iguanura myochodoides"	1
"Iguanura palmuncula"	1
"Iguanura polymorpha"	3
"Iguanura prolifera"	1
"Iguanura sanderiana"	1
"Iguanura thalangensis"	1
"Iguanura wallichiana"	4
"Iriartea deltoidea"	28
"Iriartella setigera"	20
"Iriartella stenocarpa"	9
"Itaya amicorum"	6
"Jailoloa halmaherensis"	1
"Johannesteijsmannia altifrons"	3
"Jubaea chilensis"	1
"Jubaeopsis caffra"	2
"Kentiopsis magnifica"	1
"Kentiopsis oliviformis"	2
"Kentiopsis piersoniorum"	1
"Kentiopsis pyriformis"	1
"Kerriodoxa elegans"	2
"Korthalsia angustifolia"	2
"Korthalsia brassii"	2
"Korthalsia celebica"	2
"Korthalsia cheb"	5
"Korthalsia concolor"	1
"Korthalsia debilis"	2
"Korthalsia echinometra"	5
"Korthalsia ferox"	3
"Korthalsia flagellaris"	2
"Korthalsia furtadoana"	3
"Korthalsia hispida"	4
"Korthalsia jala"	1
"Korthalsia junghuhnii"	1
"Korthalsia laciniosa"	8
"Korthalsia minor"	2
"Korthalsia rigida"	7
"Korthalsia robusta"	5
"Korthalsia rostrata"	4
"Korthalsia zippelii"	11
"Laccospadix australasicus"	2
"Laccosperma acutiflorum"	5
"Laccosperma laeve"	2
"Laccosperma opacum"	4
"Laccosperma robustum"	3
"Laccosperma secundiflorum"	11
"Lanonia acaulis"	1
"Lanonia calciphila"	4
"Lanonia centralis"	4
"Lanonia dasyantha"	4
"Lanonia hainanensis"	1
"Lanonia hexasepala"	3
"Lanonia magalonii"	1
"Latania verschaffeltii"	1
"Lemurophoenix halleuxii"	1
"Leopoldinia piassaba"	5
"Leopoldinia pulchra"	10
"Lepidocaryum tenue"	14
"Leucothrinax morrisii"	7
"Licuala acuminata"	1
"Licuala ahlidurii"	1
"Licuala angustiloba"	2
"Licuala anomala"	1
"Licuala atrovirens"	2
"Licuala atroviridis"	2
"Licuala averyanovii"	2
"Licuala bachmaensis"	3
"Licuala bacularia"	3
"Licuala beccariana"	3
"Licuala bellatula"	3
"Licuala bidentata"	3
"Licuala bidoupensis"	1
"Licuala bifida"	1
"Licuala bintulensis"	2
"Licuala borneensis"	1
"Licuala bracteata"	3
"Licuala brevicalyx"	2
"Licuala bruneiana"	2
"Licuala burretii"	2
"Licuala campestris"	2
"Licuala cattienensis"	1
"Licuala celebica"	2
"Licuala chaiana"	1
"Licuala collina"	1
"Licuala concinna"	5
"Licuala crassiflora"	2
"Licuala dakrongensis"	2
"Licuala densiflora"	1
"Licuala distans"	2
"Licuala ellipsoidalis"	1
"Licuala elliptica"	1
"Licuala ferruginea"	1
"Licuala flavida"	1
"Licuala flexuosa"	1
"Licuala fordiana"	2
"Licuala glaberrima"	1
"Licuala glabra"	5
"Licuala grandiflora"	1
"Licuala grandis"	1
"Licuala hallieriana"	1
"Licuala insignis"	2
"Licuala intermedia"	1
"Licuala klossii"	1
"Licuala kuchingensis"	1
"Licuala kunstleri"	1
"Licuala lanata"	2
"Licuala lauterbachii"	11
"Licuala linearis"	1
"Licuala longiflora"	1
"Licuala longipes"	2
"Licuala longispadix"	1
"Licuala macrantha"	1
"Licuala magna"	2
"Licuala malajana"	1
"Licuala manglaensis"	1
"Licuala mattanensis"	2
"Licuala meijeri"	1
"Licuala merguensis"	1
"Licuala micrantha"	1
"Licuala miriensis"	1
"Licuala modesta"	1
"Licuala montana"	4
"Licuala moszkowskiana"	1
"Licuala naumoniensis"	1
"Licuala olivifera"	6
"Licuala orbicularis"	1
"Licuala paludosa"	9
"Licuala parviflora"	2
"Licuala paucisecta"	1
"Licuala peltata"	4
"Licuala penduliflora"	4
"Licuala petiolulata"	3
"Licuala platydactyla"	2
"Licuala poonsakii"	1
"Licuala pseudovalida"	2
"Licuala pumila"	5
"Licuala punctulata"	1
"Licuala ramsayi"	2
"Licuala robinsoniana"	3
"Licuala rubiginosa"	2
"Licuala rumphii"	1
"Licuala sabahana"	1
"Licuala sarawakensis"	1
"Licuala scortechinii"	1
"Licuala simplex"	1
"Licuala spinosa"	14
"Licuala tanycola"	1
"Licuala telifera"	7
"Licuala triphylla"	4
"Licuala yiiana"	1
"Linospadix albertisianus"	7
"Linospadix apetiolatus"	1
"Linospadix caninus"	2
"Linospadix microcaryus"	2
"Linospadix minor"	3
"Linospadix monostachyos"	1
"Linospadix palmerianus"	2
"Livistona alfredii"	3
"Livistona australis"	6
"Livistona benthamii"	5
"Livistona carinensis"	5
"Livistona chinensis"	10
"Livistona concinna"	1
"Livistona decora"	5
"Livistona drudei"	1
"Livistona eastonii"	1
"Livistona exigua"	1
"Livistona fulva"	1
"Livistona humilis"	3
"Livistona inermis"	3
"Livistona jenkinsiana"	1
"Livistona lanuginosa"	3
"Livistona lorophylla"	3
"Livistona mariae"	4
"Livistona muelleri"	9
"Livistona nasmophila"	2
"Livistona nitida"	1
"Livistona rigida"	6
"Livistona saribus"	7
"Livistona speciosa"	5
"Livistona victoriae"	2
"Lodoicea maldivica"	1
"Manicaria martiana"	5
"Manicaria saccifera"	24
"Manjekia maturbongsii"	2
"Marojejya darianii"	1
"Marojejya insignis"	3
"Masoala kona"	1
"Masoala madagascariensis"	3
"Mauritia carana"	2
"Mauritia flexuosa"	27
"Mauritiella aculeata"	15
"Mauritiella armata"	24
"Mauritiella macroclada"	3
"Mauritiella pumila"	4
"Maxburretia furtadoana"	1
"Maxburretia gracilis"	1
"Medemia argun"	2
"Metroxylon amicarum"	1
"Metroxylon sagu"	12
"Metroxylon salomonense"	1
"Metroxylon warburgii"	1
"Myrialepis paradoxa"	8
"Nannorrhops ritchieana"	1
"Nenga banaensis"	4
"Nenga gajah"	2
"Nenga macrocarpa"	2
"Nenga pumila"	13
"Neonicholsonia watsonii"	5
"Neoveitchia brunnea"	1
"Nephrosperma vanhoutteanum"	1
"Normanbya normanbyi"	1
"Nypa fruticans"	19
"Oenocarpus bacaba"	18
"Oenocarpus bataua"	36
"Oenocarpus circumtextus"	2
"Oenocarpus distichus"	11
"Oenocarpus makeru"	1
"Oenocarpus mapora"	26
"Oenocarpus minor"	22
"Oenocarpus simplex"	1
"Oncocalamus macrospathus"	2
"Oncocalamus mannii"	4
"Oncocalamus tuleyi"	2
"Oncocalamus wrightianus"	1
"Oncosperma gracilipes"	1
"Oncosperma horridum"	10
"Oncosperma tigillarium"	5
"Orania archboldiana"	2
"Orania bakeri"	1
"Orania dafonsoroensis"	1
"Orania decipiens"	2
"Orania deflexa"	1
"Orania disticha"	4
"Orania ferruginea"	1
"Orania gagavu"	1
"Orania glauca"	1
"Orania grandiflora"	1
"Orania lauterbachiana"	6
"Orania littoralis"	1
"Orania longisquama"	3
"Orania longistaminodia"	2
"Orania macropetala"	3
"Orania micrantha"	3
"Orania oreophila"	1
"Orania palindan"	7
"Orania paraguanensis"	1
"Orania ravaka"	1
"Orania regalis"	1
"Orania subdisticha"	1
"Orania sylvicola"	4
"Orania tabubilensis"	1
"Orania timikae"	2
"Orania trispatha"	1
"Orania zonae"	1
"Oraniopsis appendiculata"	2
"Parajubaea cocoides"	4
"Parajubaea sunkha"	2
"Parajubaea torallyi"	1
"Phoenicophorium borsigianum"	1
"Phoenix atlantica"	1
"Phoenix caespitosa"	4
"Phoenix canariensis"	1
"Phoenix dactylifera"	29
"Phoenix loureiroi"	16
"Phoenix paludosa"	5
"Phoenix reclinata"	45
"Phoenix roebelenii"	3
"Phoenix theophrasti"	1
"Pholidocarpus ihur"	1
"Pholidocarpus macrocarpus"	1
"Pholidocarpus majadum"	2
"Pholidocarpus sumatranus"	1
"Pholidostachys dactyloides"	5
"Pholidostachys kalbreyeri"	1
"Pholidostachys occidentalis"	2
"Pholidostachys panamensis"	4
"Pholidostachys sanluisensis"	1
"Pholidostachys synanthera"	16
"Physokentia avia"	1
"Physokentia insolita"	1
"Phytelephas aequatorialis"	5
"Phytelephas macrocarpa"	15
"Phytelephas tenuicaulis"	5
"Phytelephas tumacana"	1
"Pigafetta filaris"	3
"Pinanga acuminata"	2
"Pinanga adangensis"	1
"Pinanga albescens"	2
"Pinanga angustisecta"	2
"Pinanga annamensis"	2
"Pinanga arinasae"	1
"Pinanga aristata"	4
"Pinanga auriculata"	7
"Pinanga baviensis"	5
"Pinanga bicolana"	1
"Pinanga brevipes"	6
"Pinanga caesia"	2
"Pinanga capitata"	3
"Pinanga cattienensis"	1
"Pinanga celebica"	1
"Pinanga chaiana"	1
"Pinanga copelandii"	3
"Pinanga coronata"	3
"Pinanga crassipes"	3
"Pinanga cucullata"	1
"Pinanga cupularis"	2
"Pinanga curranii"	1
"Pinanga declinata"	3
"Pinanga densiflora"	2
"Pinanga disticha"	4
"Pinanga dumetosa"	3
"Pinanga geonomiformis"	1
"Pinanga glaucescens"	1
"Pinanga gracilis"	1
"Pinanga heterophylla"	1
"Pinanga humilis"	1
"Pinanga insignis"	4
"Pinanga isabelensis"	0
"Pinanga javana"	2
"Pinanga keahii"	3
"Pinanga kontumensis"	1
"Pinanga latisecta"	2
"Pinanga lepidota"	3
"Pinanga ligulata"	2
"Pinanga limosa"	4
"Pinanga maculata"	4
"Pinanga malaiana"	3
"Pinanga minuta"	3
"Pinanga mirabilis"	4
"Pinanga modesta"	1
"Pinanga mooreana"	3
"Pinanga nuichuensis"	1
"Pinanga pachyphylla"	1
"Pinanga paradoxa"	2
"Pinanga patula"	5
"Pinanga philippinensis"	5
"Pinanga pilosa"	3
"Pinanga plicata"	1
"Pinanga quadrijuga"	2
"Pinanga ridleyana"	4
"Pinanga rigida"	1
"Pinanga riparia"	2
"Pinanga rivularis"	2
"Pinanga rumphiana"	11
"Pinanga rupestris"	1
"Pinanga salicifolia"	3
"Pinanga sclerophylla"	1
"Pinanga scortechinii"	1
"Pinanga sessilifolia"	1
"Pinanga simplicifrons"	4
"Pinanga speciosa"	2
"Pinanga stricta"	2
"Pinanga stylosa"	2
"Pinanga subintegra"	3
"Pinanga sylvestris"	9
"Pinanga tenacinervis"	1
"Pinanga tenella"	2
"Pinanga tomentella"	2
"Pinanga tomentosa"	1
"Pinanga trichoneura"	1
"Pinanga variegata"	5
"Pinanga veitchii"	1
"Pinanga versicolor"	3
"Pinanga woodiana"	2
"Pinanga yassinii"	1
"Plectocomia elmeri"	1
"Plectocomia elongata"	12
"Plectocomia himalayana"	2
"Plectocomia microstachys"	2
"Plectocomia mulleri"	5
"Plectocomia pierreana"	8
"Plectocomiopsis geminiflora"	9
"Plectocomiopsis mira"	5
"Plectocomiopsis songthanhensis"	1
"Plectocomiopsis triquetra"	3
"Podococcus acaulis"	1
"Podococcus barteri"	2
"Ponapea hentyi"	1
"Prestoea acuminata"	32
"Prestoea carderi"	6
"Prestoea decurrens"	12
"Prestoea ensiformis"	13
"Prestoea longepetiolata"	8
"Prestoea pubens"	5
"Prestoea pubigera"	3
"Prestoea schultzeana"	15
"Prestoea simplicifolia"	3
"Prestoea tenuiramosa"	2
"Pritchardia beccariana"	1
"Pritchardia forbesiana"	1
"Pritchardia glabrata"	1
"Pritchardia hillebrandii"	2
"Pritchardia kahukuensis"	1
"Pritchardia maideniana"	1
"Pritchardia martii"	1
"Pritchardia minor"	1
"Pritchardia munroi"	1
"Pritchardia napaliensis"	1
"Pritchardia pacifica"	1
"Pritchardia waialealeana"	1
"Pseudophoenix ekmanii"	1
"Pseudophoenix lediniana"	1
"Pseudophoenix sargentii"	6
"Pseudophoenix vinifera"	1
"Ptychococcus lepidotus"	4
"Ptychococcus paradoxus"	8
"Ptychosperma buabe"	1
"Ptychosperma burretianum"	2
"Ptychosperma caryotoides"	3
"Ptychosperma cuneatum"	2
"Ptychosperma furcatum"	1
"Ptychosperma gracile"	3
"Ptychosperma lauterbachii"	3
"Ptychosperma lineare"	1
"Ptychosperma macarthurii"	5
"Ptychosperma mambare"	0
"Ptychosperma microcarpum"	1
"Ptychosperma mooreanum"	3
"Ptychosperma propinquum"	3
"Ptychosperma pullenii"	1
"Ptychosperma ramosissimum"	1
"Ptychosperma rosselense"	1
"Ptychosperma salomonense"	1
"Ptychosperma schefferi"	1
"Ptychosperma streimannii"	1
"Ptychosperma tagulense"	1
"Ptychosperma vestitum"	2
"Ptychosperma waitianum"	1
"Raphia africana"	1
"Raphia australis"	5
"Raphia farinifera"	10
"Raphia gentiliana"	3
"Raphia hookeri"	10
"Raphia laurentii"	1
"Raphia mambillensis"	1
"Raphia monbuttorum"	1
"Raphia palma-pinus"	4
"Raphia regalis"	4
"Raphia ruwenzorica"	1
"Raphia sudanica"	5
"Raphia taedigera"	8
"Raphia vinifera"	4
"Ravenea albicans"	1
"Ravenea beentjei"	2
"Ravenea delicatula"	1
"Ravenea dransfieldii"	2
"Ravenea glauca"	3
"Ravenea hildebrandtii"	1
"Ravenea hypoleuca"	2
"Ravenea julietiae"	1
"Ravenea krociana"	2
"Ravenea lakatra"	2
"Ravenea latisecta"	2
"Ravenea louvelii"	1
"Ravenea madagascariensis"	2
"Ravenea moorei"	1
"Ravenea musicalis"	1
"Ravenea nana"	2
"Ravenea rivularis"	2
"Ravenea robustior"	3
"Ravenea sambiranensis"	5
"Ravenea xerophila"	4
"Reinhardtia elegans"	3
"Reinhardtia gracilis"	15
"Reinhardtia koschnyana"	7
"Reinhardtia latisecta"	7
"Reinhardtia paiewonskiana"	2
"Reinhardtia simplex"	12
"Rhapidophyllum hystrix"	3
"Rhapis evansii"	1
"Rhapis excelsa"	8
"Rhapis gracilis"	3
"Rhapis humilis"	5
"Rhapis kebangensis"	1
"Rhapis laosensis"	7
"Rhapis micrantha"	3
"Rhapis puhuongensis"	1
"Rhapis robusta"	1
"Rhapis subtilis"	3
"Rhapis vidalii"	1
"Rhopaloblaste ceramica"	5
"Rhopaloblaste gideonii"	1
"Rhopaloblaste ledermanniana"	9
"Rhopalostylis baueri"	2
"Rhopalostylis sapida"	5
"Roystonea borinquena"	2
"Roystonea dunlapiana"	6
"Roystonea oleracea"	5
"Roystonea princeps"	1
"Roystonea regia"	17
"Sabal causiarum"	3
"Sabal domingensis"	1
"Sabal gretherae"	3
"Sabal mauritiiformis"	19
"Sabal mexicana"	2
"Sabal minor"	13
"Sabal palmetto"	1
"Sabal pumos"	2
"Sabal rosei"	3
"Sabal uresana"	4
"Sabal yapa"	5
"Sabinaria magnifica"	1
"Salacca acehensis"	1
"Salacca affinis"	1
"Salacca clemensiana"	4
"Salacca dolicholepis"	3
"Salacca dransfieldiana"	1
"Salacca glabrescens"	1
"Salacca magnifica"	3
"Salacca ramosiana"	4
"Salacca rupicola"	1
"Salacca sarawakensis"	1
"Salacca secunda"	4
"Salacca sumatrana"	2
"Salacca vermicularis"	3
"Salacca wallichiana"	5
"Salacca zalacca"	3
"Saribus brevifolius"	1
"Saribus chocolatinus"	1
"Saribus jeanneneyi"	1
"Saribus rotundifolius"	3
"Saribus surru"	2
"Saribus tothur"	1
"Saribus woodfordii"	3
"Satakentia liukiuensis"	1
"Satranala decussilvae"	1
"Schippia concolor"	2
"Sclerosperma mannii"	3
"Sclerosperma profizianum"	1
"Sclerosperma walkeri"	3
"Serenoa repens"	10
"Socratea exorrhiza"	46
"Socratea hecatonandra"	2
"Socratea rostrata"	8
"Socratea salazarii"	8
"Sommieria leucophylla"	4
"Syagrus allagopteroides"	2
"Syagrus amara"	3
"Syagrus angustifolia"	1
"Syagrus botryophora"	4
"Syagrus caerulescens"	1
"Syagrus campestris"	2
"Syagrus campylospatha"	1
"Syagrus cardenasii"	6
"Syagrus cearensis"	2
"Syagrus cerqueirana"	2
"Syagrus cocoides"	12
"Syagrus comosa"	8
"Syagrus coronata"	9
"Syagrus deflexa"	1
"Syagrus duartei"	2
"Syagrus emasensis"	1
"Syagrus evansiana"	3
"Syagrus flexuosa"	4
"Syagrus glaucescens"	3
"Syagrus glazioviana"	2
"Syagrus gouveiana"	1
"Syagrus guimaraesensis"	1
"Syagrus harleyi"	5
"Syagrus hoehnei"	3
"Syagrus inajai"	12
"Syagrus insignis"	2
"Syagrus itacambirana"	1
"Syagrus itapebiensis"	1
"Syagrus kellyana"	1
"Syagrus lilliputiana"	2
"Syagrus loefgrenii"	2
"Syagrus longipedunculata"	1
"Syagrus lorenzoniorum"	2
"Syagrus macrocarpa"	4
"Syagrus mendanhensis"	1
"Syagrus menzeliana"	1
"Syagrus microphylla"	2
"Syagrus minor"	1
"Syagrus oleracea"	11
"Syagrus orinocensis"	9
"Syagrus petraea"	10
"Syagrus picrophylla"	3
"Syagrus pleioclada"	3
"Syagrus pleiocladoides"	1
"Syagrus procumbens"	1
"Syagrus pseudococos"	3
"Syagrus romanzoffiana"	5
"Syagrus rupicola"	1
"Syagrus ruschiana"	2
"Syagrus sancona"	22
"Syagrus santosii"	1
"Syagrus schizophylla"	6
"Syagrus smithii"	7
"Syagrus stenopetala"	2
"Syagrus stratincola"	1
"Syagrus vagans"	3
"Syagrus vermicularis"	2
"Syagrus weddelliana"	2
"Syagrus werdermannii"	3
"Synechanthus fibrosus"	11
"Synechanthus warscewiczianus"	13
"Tahina spectabilis"	2
"Thrinax radiata"	2
"Trachycarpus fortunei"	9
"Trachycarpus geminisectus"	2
"Trachycarpus martianus"	1
"Trachycarpus nanus"	1
"Trachycarpus oreophilus"	2
"Trachycarpus princeps"	1
"Trithrinax brasiliensis"	4
"Trithrinax campestris"	2
"Trithrinax schizophylla"	6
"Veitchia arecina"	1
"Veitchia pachyclada"	1
"Veitchia subdisticha"	1
"Verschaffeltia splendida"	1
"Voanioala gerardii"	1
"Wallichia caryotoides"	6
"Wallichia disticha"	3
"Wallichia gracilis"	5
"Wallichia oblongifolia"	1
"Washingtonia filifera"	24
"Washingtonia robusta"	27
"Welfia alfredii"	2
"Wendlandiella gracilis"	8
"Wettinia aequalis"	7
"Wettinia aequatorialis"	1
"Wettinia anomala"	3
"Wettinia augusta"	8
"Wettinia castanea"	2
"Wettinia disticha"	1
"Wettinia drudei"	11
"Wettinia fascicularis"	3
"Wettinia hirsuta"	3
"Wettinia kalbreyeri"	6
"Wettinia lanata"	1
"Wettinia longipetala"	6
"Wettinia maynensis"	8
"Wettinia microcarpa"	1
"Wettinia minima"	1
"Wettinia oxycarpa"	1
"Wettinia panamensis"	2
"Wettinia praemorsa"	8
"Wettinia quinaria"	8
"Wettinia radiata"	3
"Wettinia verruculosa"	1
"Wodyetia bifurcata"	3
"Zombia antillarum"	1
