"accepted_name"	"ECO"
"Bactris herrerana"	2
"Bactris hirta"	31
"Bactris horridispatha"	2
"Bactris killipii"	13
"Bactris kunorum"	3
"Bactris macroacantha"	10
"Bactris major"	49
"Bactris manriquei"	0
"Bactris maraja"	40
"Bactris martiana"	5
"Bactris mexicana"	9
"Bactris militaris"	4
"Bactris oligoclada"	2
"Bactris panamensis"	4
"Bactris pickelii"	5
"Bactris pilosa"	11
"Bactris pliniana"	2
"Bactris plumeriana"	1
"Bactris polystachya"	1
"Bactris ptariana"	4
"Bactris riparia"	15
"Bactris schultesii"	6
"Bactris setiflora"	2
"Bactris setosa"	14
"Bactris setulosa"	14
"Bactris simplicifrons"	34
"Bactris soeiroana"	1
"Bactris sphaerocarpa"	6
"Bactris syagroides"	4
"Bactris tefensis"	1
"Bactris timbuiensis"	1
"Bactris tomentosa"	8
"Bactris turbinocarpa"	2
"Bactris vulgaris"	7
"Balaka samoensis"	1
"Barcella odora"	4
"Basselinia deplanchei"	1
"Basselinia eriostachys"	1
"Basselinia favieri"	1
"Basselinia glabrata"	1
"Basselinia gracilis"	2
"Basselinia humboldtiana"	1
"Basselinia iterata"	1
"Basselinia pancheri"	2
"Basselinia porphyrea"	1
"Basselinia sordida"	1
"Basselinia tomentosa"	1
"Basselinia velutina"	1
"Basselinia vestita"	1
"Beccariophoenix alfredii"	2
"Beccariophoenix fenestralis"	1
"Beccariophoenix madagascariensis"	2
"Bismarckia nobilis"	4
"Borassodendron borneense"	3
"Borassodendron machadonis"	1
"Borassus aethiopum"	20
"Borassus akeassii"	3
"Borassus flabellifer"	7
"Borassus heineanus"	1
"Borassus madagascariensis"	2
"Brahea aculeata"	4
"Brahea armata"	8
"Brahea brandegeei"	7
"Brahea calcarea"	14
"Brahea decumbens"	2
"Brahea edulis"	1
"Brahea moorei"	4
"Brahea pimo"	5
"Brahea sarukhanii"	2
"Brassiophoenix drymophloeoides"	2
"Brassiophoenix schumannii"	3
"Burretiokentia dumasii"	1
"Burretiokentia grandiflora"	1
"Burretiokentia hapala"	1
"Burretiokentia koghiensis"	1
"Burretiokentia vieillardii"	2
"Butia archeri"	3
"Butia campicola"	1
"Butia capitata"	6
"Butia catarinensis"	4
"Butia eriospatha"	4
"Butia exospadix"	2
"Butia lallemantii"	2
"Butia leptospatha"	2
"Butia marmorii"	1
"Butia matogrossensis"	1
"Butia microspadix"	4
"Butia odorata"	6
"Butia paraguayensis"	5
"Butia purpurascens"	2
"Butia witeckii"	1
"Butia yatay"	5
"Calamus acamptostachys"	3
"Calamus acanthochlamys"	4
"Calamus acanthophyllus"	2
"Calamus acanthospathus"	7
"Calamus acaulis"	2
"Calamus altiscandens"	1
"Calamus angustifolius"	3
"Calamus anomalus"	1
"Calamus arborescens"	5
"Calamus aruensis"	18
"Calamus ashtonii"	2
"Calamus asperrimus"	1
"Calamus asteracanthus"	2
"Calamus ater"	4
"Calamus australis"	3
"Calamus axillaris"	4
