"taxa"	"EOO"	"AOO"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"EOO2"	"NOP"	"MER"	"EOOkm2"	"AOO2km"	"EOOcat"	"AOOcat"	"EOO_rCAT_conR2"
"Calamus henryanus"	370300	132	42	30	30	370300	"42"	"907866.427543149"	"370670.493279534"	"128"	"LC"	"EN"	"370670.493279534"
"Calamus heteracanthus"	918355	136	42	29	29	918355	"42"	"2903381.46272567"	"895878.261560764"	"144"	"LC"	"EN"	"895878.261560764"
"Calamus hirsutus"	1439186	152	42	31	34	1439186	"42"	"2196009.21301658"	"1433020.2858313"	"160"	"LC"	"EN"	"1433020.2858313"
"Calamus hukaungensis"	4396	16	4	4	4	4396	"4"	"15178.6423538496"	"4398.98076914595"	"16"	"EN"	"EN"	"4398.98076914595"
"Calamus inermis"	1718581	136	42	29	30	1718581	"42"	"2402018.87904673"	"1720132.77058165"	"148"	"LC"	"EN"	"1720132.77058165"
"Calamus ingens"	163246	120	34	21	23	163246	"34"	"475966.185050312"	"162918.530671474"	"120"	"LC"	"EN"	"162918.530671474"
"Calamus insignis"	8983	36	10	9	9	8983	"10"	"26430.0895047811"	"8954.11455600678"	"36"	"VU"	"EN"	"8954.11455600678"
"Calamus interruptus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus jacobsii"	NA	8	2	2	2	NA	"2"	"1856.17364850147"	"0"	"8"	"CR"	"CR"	NA
"Calamus javensis"	3959372	880	248	143	172	3959372	"248"	"6511793.71149464"	"3893086.65241737"	"892"	"LC"	"VU"	"3893086.65241737"
"Calamus jenkinsianus"	3824839	316	93	68	72	3824839	"93"	"5579356.18393151"	"3796446.75168964"	"320"	"LC"	"EN"	"3796446.75168964"
"Calamus johnsii"	55399	28	8	6	6	55399	"8"	"377245.55928924"	"56964.4549590509"	"28"	"LC"	"EN"	"56964.4549590509"
"Calamus kampucheaensis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus karuensis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus katikii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus kiahii"	16307	40	12	7	8	16307	"12"	"47633.8684843037"	"16311.7199955178"	"36"	"VU"	"EN"	"16311.7199955178"
"Calamus kingianus"	5349	16	4	2	3	5349	"4"	"969104.9302257"	"5105.89243287347"	"16"	"VU"	"EN"	"5105.89243287347"
"Calamus klossii"	33882	56	17	11	13	33882	"17"	"86868.4416167292"	"33838.3815896085"	"56"	"LC"	"EN"	"33838.3815896085"
"Calamus kontumensis"	8	8	3	1	1	1	"3"	"7.12720657699144"	"0.516412598285079"	"8"	"CR"	"CR"	"0.516412598285079"
"Calamus korthalsii"	477428	196	63	34	37	477428	"63"	"901260.326880226"	"476187.110417097"	"204"	"LC"	"EN"	"476187.110417097"
"Calamus kostermansii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus kunstleri"	366981	52	15	13	13	366981	"15"	"675990.418536978"	"365884.216623448"	"52"	"LC"	"EN"	"365884.216623448"
"Calamus kurzianus"	2547	20	5	4	4	2547	"5"	"13772.0727830918"	"2546.17545102397"	"20"	"EN"	"EN"	"2546.17545102397"
"Calamus lambirensis"	1333	16	4	3	3	1333	"4"	"6598.00875082165"	"1335.41014646803"	"16"	"EN"	"EN"	"1335.41014646803"
"Calamus laoensis"	13736	20	5	5	5	13736	"5"	"25724.788944254"	"13715.5441604978"	"20"	"VU"	"EN"	"13715.5441604978"
"Calamus lateralis"	8	8	5	1	1	2	"5"	"2.14599296461229"	"2.01187017035913"	"16"	"CR"	"EN"	"2.01187017035913"
"Calamus latifolius"	1235477	140	40	30	30	1235477	"40"	"2631722.91467979"	"1235005.55598001"	"140"	"LC"	"EN"	"1235005.55598001"
"Calamus lauterbachii"	522481	108	32	20	22	522481	"32"	"1054099.77735941"	"521563.315567748"	"112"	"LC"	"EN"	"521563.315567748"
"Calamus leloi"	97681	24	7	5	5	97681	"7"	"164144.897966446"	"97603.1016909216"	"28"	"LC"	"EN"	"97603.1016909216"
"Calamus leptospadix"	NA	8	2	2	2	NA	"2"	"7612.44244078712"	"0"	"8"	"CR"	"CR"	NA
"Calamus lewisianus"	10131	12	5	3	3	10131	"5"	"30256.399281402"	"10095.3797735046"	"16"	"VU"	"EN"	"10095.3797735046"
"Calamus lobbianus"	412075	36	10	9	9	412075	"10"	"600953.973271198"	"409278.093861977"	"40"	"LC"	"EN"	"409278.093861977"
"Calamus loherianus"	NA	8	2	2	2	NA	"2"	"342467.817602354"	"0"	"8"	"CR"	"CR"	NA
"Calamus longibracteatus"	27776	40	14	8	8	27776	"14"	"310843.33815062"	"27263.5656624665"	"44"	"NT"	"EN"	"27263.5656624665"
"Calamus longipes"	814023	268	67	50	61	814023	"67"	"2083560.78972715"	"811886.786523573"	"268"	"LC"	"EN"	"811886.786523573"
"Calamus longipinna"	503673	100	31	18	21	503673	"31"	"865717.051041585"	"500510.348987526"	"116"	"LC"	"EN"	"500510.348987526"
"Calamus longisetus"	197261	72	22	15	15	197261	"22"	"603751.995302719"	"198566.804777997"	"80"	"LC"	"EN"	"198566.804777997"
"Calamus longistipes"	50657	84	26	14	17	50657	"26"	"152052.901179307"	"50712.8782125086"	"92"	"LC"	"EN"	"50712.8782125086"
"Calamus lucysmithiae"	6946.3	8	3	2	2	6946.3	"3"	"35405.9612801486"	"0.314765638420105"	"8"	"CR"	"CR"	"0.314765638420105"
"Calamus macrochlamys"	467258	80	28	17	19	467258	"28"	"1564201.42556641"	"467661.462243368"	"84"	"LC"	"EN"	"467661.462243368"
"Calamus macropterus"	31243	20	6	5	5	31243	"6"	"137172.825868203"	"31211.7722055753"	"20"	"LC"	"EN"	"31211.7722055753"
"Calamus macrorhynchus"	43208	24	7	6	6	43208	"7"	"55634.7772923022"	"43434.0502014174"	"24"	"LC"	"EN"	"43434.0502014174"
"Calamus maculatus"	75886	36	11	7	7	75886	"11"	"187998.326112843"	"75762.5264130978"	"44"	"LC"	"EN"	"75762.5264130978"
"Calamus maiadum"	NA	8	2	2	2	NA	"2"	"729.256358404036"	"0"	"8"	"CR"	"CR"	NA
"Calamus manan"	342467	28	7	7	7	342467	"7"	"1552305.48213255"	"338850.822529565"	"28"	"LC"	"EN"	"338850.822529565"
"Calamus marginatus"	466964	168	45	37	39	466964	"45"	"846341.799355173"	"466113.279183105"	"176"	"LC"	"EN"	"466113.279183105"
"Calamus mattanensis"	169551	56	14	13	13	169551	"14"	"329257.928538292"	"169521.758935904"	"56"	"LC"	"EN"	"169521.758935904"
"Calamus maturbongsii"	120	12	3	2	2	120	"3"	"945.215522735207"	"119.998548801186"	"8"	"EN"	"CR"	"119.998548801186"
"Calamus melanacanthos"	63	12	3	2	2	63	"3"	"577.463771014199"	"63.491147471714"	"12"	"CR"	"EN"	"63.491147471714"
"Calamus melanochaetes"	363266	48	13	9	10	363266	"13"	"1251393.61043001"	"367111.396447987"	"52"	"LC"	"EN"	"367111.396447987"
"Calamus melanoloma"	NA	4	2	1	1	NA	"2"	"0"	"0"	"8"	"CR"	"CR"	NA
"Calamus micracanthus"	975942	72	21	17	18	975942	"21"	"1518029.98127407"	"971789.216669844"	"80"	"LC"	"EN"	"971789.216669844"
"Calamus micranthus"	NA	8	2	2	2	NA	"2"	"18809.7765673732"	"0"	"8"	"CR"	"CR"	NA
"Calamus microsphaerion"	NA	4	2	1	1	NA	"2"	"1.22641152858959"	"0"	"8"	"CR"	"CR"	NA
"Calamus microstachys"	422218	156	46	27	32	422218	"46"	"773111.550561129"	"422001.117777843"	"164"	"LC"	"EN"	"422001.117777843"
"Calamus minahassae"	10268	24	9	5	5	10268	"9"	"20955.4804387587"	"10264.8351549019"	"36"	"VU"	"EN"	"10264.8351549019"
"Calamus mirabilis"	NA	8	2	2	2	NA	"2"	"12422.5957745094"	"0"	"8"	"CR"	"CR"	NA
"Calamus modestus"	21613	24	8	4	5	21613	"8"	"141625.887750783"	"21791.8518517321"	"24"	"NT"	"EN"	"21791.8518517321"
"Calamus mollispinus"	868	16	4	4	4	868	"4"	"2104.71030589685"	"867.433445303735"	"16"	"EN"	"EN"	"867.433445303735"
"Calamus monticola"	NA	4	2	1	1	NA	"2"	"10.1711747022629"	"0"	"8"	"CR"	"CR"	NA
"Calamus moorei"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus moseleyanus"	421205	24	9	6	6	421205	"9"	"954063.032598183"	"420104.26340507"	"36"	"LC"	"EN"	"420104.26340507"
"Calamus moti"	108518	136	38	20	25	108518	"38"	"311446.725508391"	"109323.696228232"	"140"	"LC"	"EN"	"109323.696228232"
"Calamus muelleri"	236203	1276	585	21	89	236203	"585"	"1097852.19803858"	"255469.287166331"	"1308"	"LC"	"VU"	"255469.287166331"
"Calamus multispicatus"	84799	12	3	3	3	84799	"3"	"180392.930590422"	"85616.142093218"	"12"	"LC"	"EN"	"85616.142093218"
"Calamus muricatus"	332485	140	42	24	27	332485	"42"	"580814.944348677"	"332263.92419938"	"144"	"LC"	"EN"	"332263.92419938"
"Calamus myriacanthus"	150965	104	31	22	23	150965	"31"	"283061.634203072"	"150878.307436946"	"108"	"LC"	"EN"	"150878.307436946"
"Calamus myrianthus"	3985	12	3	3	3	3985	"3"	"14173.694153054"	"3976.38836786246"	"12"	"EN"	"EN"	"3976.38836786246"
"Calamus nanduensis"	4	4	3	1	1	0	"3"	"0.254460349235974"	"0.127230174617976"	"8"	"CR"	"CR"	"0.127230174617976"
"Calamus nannostachys"	1646	12	3	3	3	1646	"3"	"9948.4785761569"	"1646.16044720608"	"12"	"EN"	"EN"	"1646.16044720608"
"Calamus nanodendron"	NA	8	2	2	2	NA	"2"	"2732.01144439029"	"0"	"8"	"CR"	"CR"	NA
"Calamus nematospadix"	18439	44	12	8	9	18439	"12"	"37532.5788436497"	"18438.2835625393"	"44"	"VU"	"EN"	"18438.2835625393"
"Calamus nielsenii"	4	4	3	1	1	0	"3"	"0.368360604572497"	"0.184180302286221"	"8"	"CR"	"CR"	"0.184180302286221"
"Calamus novae-georgii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus nuichuaensis"	8	8	5	1	1	4	"5"	"22.3468811240407"	"4.26908503376687"	"12"	"CR"	"EN"	"4.26908503376687"
"Calamus oblatus"	9303	28	8	7	7	9303	"8"	"28151.4672269636"	"9306.33345677157"	"32"	"VU"	"EN"	"9306.33345677157"
"Calamus oblongus"	NA	4	2	1	1	NA	"2"	"1.22261353943537"	"0"	"8"	"CR"	"CR"	NA
"Calamus ochrolepis"	317247	64	16	16	16	317247	"16"	"680062.810485472"	"317270.411143483"	"64"	"LC"	"EN"	"317270.411143483"
"Calamus ocreatus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus oligostachys"	NA	8	2	2	2	NA	"2"	"1114.45183995165"	"0"	"8"	"CR"	"CR"	NA
"Calamus optimus"	505567	80	22	17	17	505567	"22"	"863102.502836494"	"504798.944856629"	"80"	"LC"	"EN"	"504798.944856629"
"Calamus oresbius"	66365	96	26	17	18	66365	"26"	"169234.069571108"	"66368.4851348784"	"88"	"LC"	"EN"	"66368.4851348784"
"Calamus ornatus"	3376439	136	36	33	33	3376439	"36"	"5413273.03811291"	"3329808.91837853"	"140"	"LC"	"EN"	"3329808.91837853"
"Calamus ovoideus"	NA	4	2	1	1	1	"2"	"9.9191055142184"	"0"	"8"	"CR"	"CR"	"1"
"Calamus oxleyanus"	1608028	88	22	21	21	1608028	"22"	"2938576.52109335"	"1575952.85974276"	"88"	"LC"	"EN"	"1575952.85974276"
"Calamus oxycarpus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus oxycoccus"	101849	52	14	12	12	101849	"14"	"450401.268709004"	"102318.724528472"	"52"	"LC"	"EN"	"102318.724528472"
"Calamus pachypus"	912935	80	22	17	17	912935	"22"	"2040794.20975552"	"912078.965756409"	"84"	"LC"	"EN"	"912078.965756409"
"Calamus pandanosmus"	1379011	52	14	11	11	1379011	"14"	"2857177.86103339"	"1360186.75167628"	"48"	"LC"	"EN"	"1360186.75167628"
"Calamus pannosus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus papuanus"	114536	36	11	7	7	114536	"11"	"349056.211114404"	"114261.749374723"	"36"	"LC"	"EN"	"114261.749374723"
"Calamus papyraceus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus parvulus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus paspalanthus"	911950	144	45	27	30	911950	"45"	"1418683.20474015"	"908603.952454916"	"152"	"LC"	"EN"	"908603.952454916"
"Calamus paulii"	NA	4	2	1	1	NA	"2"	"0"	"0"	"4"	"CR"	"CR"	NA
"Calamus pedicellaris"	55471	36	9	8	9	55471	"9"	"101683.774492596"	"55399.4520364069"	"36"	"LC"	"EN"	"55399.4520364069"
"Calamus penicillatus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus peregrinus"	100214	44	16	10	10	100214	"16"	"307576.575706065"	"98183.271142683"	"44"	"LC"	"EN"	"98183.271142683"
"Calamus periacanthus"	384737	172	51	32	37	384737	"51"	"824181.92838274"	"380522.567167527"	"172"	"LC"	"EN"	"380522.567167527"
"Calamus pholidostachys"	5927	16	4	4	4	5927	"4"	"54477.5987466683"	"5841.32954086574"	"16"	"VU"	"EN"	"5841.32954086574"
"Calamus pilosellus"	326681	44	15	9	9	326681	"15"	"620832.447610893"	"326516.951996818"	"48"	"LC"	"EN"	"326516.951996818"
"Calamus pilosissimus"	134111	16	5	4	4	134111	"5"	"757876.915025281"	"136308.657456158"	"16"	"LC"	"EN"	"136308.657456158"
"Calamus pintaudii"	19403	12	3	3	3	19403	"3"	"188824.960885702"	"19833.7127761855"	"12"	"VU"	"EN"	"19833.7127761855"
"Calamus platyspathus"	177822	36	10	8	8	177822	"10"	"561194.443165769"	"181779.405310943"	"40"	"LC"	"EN"	"181779.405310943"
"Calamus plicatus"	871415	268	80	53	56	871415	"80"	"1709015.78838607"	"865198.035389183"	"288"	"LC"	"EN"	"865198.035389183"
"Calamus poensis"	154	8	3	2	2	154	"3"	"102577.616082561"	"153.559305513004"	"12"	"EN"	"EN"	"153.559305513004"
"Calamus pogonacanthus"	479455	264	82	47	57	479455	"82"	"850662.015218496"	"478527.085872793"	"272"	"LC"	"EN"	"478527.085872793"
"Calamus pogonotium"	NA	8	2	2	2	NA	"2"	"451.011001744163"	"0"	"8"	"CR"	"CR"	NA
"Calamus poilanei"	394568	56	19	14	14	394568	"19"	"878400.418842486"	"396928.519216042"	"64"	"LC"	"EN"	"396928.519216042"
"Calamus polycladus"	NA	8	2	2	2	NA	"2"	"88.3478090558248"	"0"	"8"	"CR"	"CR"	NA
"Calamus pseudozebrinus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus psilocladus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus pumilus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus pygmaeus"	122	24	6	2	4	122	"6"	"461.430958749385"	"121.816780683292"	"24"	"EN"	"EN"	"121.816780683292"
"Calamus quangngaiensis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus radicalis"	43419	100	27	19	21	43419	"27"	"200442.710298735"	"44554.6802947234"	"100"	"LC"	"EN"	"44554.6802947234"
"Calamus reticulatus"	46401	16	5	4	4	46401	"5"	"177988.133107934"	"46629.2875691856"	"20"	"LC"	"EN"	"46629.2875691856"
"Calamus retroflexus"	362263	52	16	8	9	362263	"16"	"1285045.07898223"	"360836.974961853"	"52"	"LC"	"EN"	"360836.974961853"
"Calamus reyesianus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus rhabdocladus"	864630	192	64	38	43	864630	"64"	"1548844.96749818"	"877820.012630855"	"192"	"LC"	"EN"	"877820.012630855"
"Calamus rhomboideus"	1535600	284	80	52	58	1535600	"80"	"2523130.61571081"	"1523332.76565907"	"284"	"LC"	"EN"	"1523332.76565907"
"Calamus rhytidomus"	96707	20	6	4	4	96707	"6"	"245844.2974136"	"96577.732911951"	"20"	"LC"	"EN"	"96577.732911951"
"Calamus rudentum"	754886	60	17	14	14	754886	"17"	"1174094.77410002"	"755386.500722569"	"60"	"LC"	"EN"	"755386.500722569"
"Calamus rugosus"	1442	16	4	3	3	1442	"4"	"3004.42704781721"	"1440.72402666446"	"16"	"EN"	"EN"	"1440.72402666446"
"Calamus ruptilis"	173079	80	24	16	16	173079	"24"	"481091.058240045"	"173289.785062698"	"72"	"LC"	"EN"	"173289.785062698"
"Calamus ruvidus"	8545	12	3	3	3	8545	"3"	"31734.4134022542"	"8559.23629802323"	"12"	"VU"	"EN"	"8559.23629802323"
"Calamus sabalensis"	68	12	3	2	3	68	"3"	"155.068223922172"	"68.3038895466686"	"12"	"CR"	"EN"	"68.3038895466686"
"Calamus sabensis"	166823	108	31	20	22	166823	"31"	"314562.14595807"	"167034.026951457"	"112"	"LC"	"EN"	"167034.026951457"
"Calamus sabut"	2152621	300	89	58	64	2152621	"89"	"3635849.7993884"	"2130650.01582556"	"308"	"LC"	"EN"	"2130650.01582556"
"Calamus salicifolius"	19317	28	7	6	6	19317	"7"	"36306.1550476941"	"19362.7026984018"	"28"	"VU"	"EN"	"19362.7026984018"
"Calamus sarawakensis"	280915	52	16	10	11	280915	"16"	"504622.182524231"	"280726.04381681"	"56"	"LC"	"EN"	"280726.04381681"
"Calamus scabridulus"	NA	8	2	2	2	NA	"2"	"16030.4809789127"	"0"	"8"	"CR"	"CR"	NA
"Calamus scabrispathus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus scapigerus"	447176	56	14	11	11	447176	"14"	"845111.092848187"	"445638.765962882"	"52"	"LC"	"EN"	"445638.765962882"
"Calamus schistoacanthus"	NA	8	2	2	2	NA	"2"	"127544.149457311"	"0"	"8"	"CR"	"CR"	NA
"Calamus schlechterianus"	179177	124	34	25	28	179177	"34"	"499762.597907988"	"178961.583421252"	"124"	"LC"	"EN"	"178961.583421252"
"Calamus scleracanthus"	NA	4	2	1	1	NA	"2"	"0"	"0"	"8"	"CR"	"CR"	NA
"Calamus sedens"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus sepal"	54	8	5	2	2	54	"5"	"38965.7549225302"	"53.4842577035713"	"12"	"CR"	"EN"	"53.4842577035713"
"Calamus seriatus"	NA	8	2	2	2	NA	"2"	"315.333665072503"	"0"	"8"	"CR"	"CR"	NA
"Calamus serpentinus"	12	12	3	2	2	4	"3"	"781.438191332395"	"4.29015303724718"	"12"	"CR"	"EN"	"4.29015303724718"
"Calamus serrulatus"	275365	64	17	13	13	275365	"17"	"710177.831967967"	"275400.247851007"	"64"	"LC"	"EN"	"275400.247851007"
"Calamus siphonospathus"	NA	8	2	2	2	NA	"2"	"300.033779478405"	"0"	"8"	"CR"	"CR"	NA
"Calamus sordidus"	122765	60	18	11	12	122765	"18"	"248319.70210381"	"122867.08330742"	"60"	"LC"	"EN"	"122867.08330742"
"Calamus sparsiflorus"	274765	320	93	48	59	274765	"93"	"522172.739727626"	"274741.471323489"	"332"	"LC"	"EN"	"274741.471323489"
"Calamus spectatissimus"	NA	8	2	2	2	NA	"2"	"5716.78318783318"	"0"	"8"	"CR"	"CR"	NA
"Calamus spinulinervis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus spiralis"	NA	4	2	1	1	NA	"2"	"0.131451857457188"	"0"	"8"	"CR"	"CR"	NA
"Calamus stenophyllus"	37316	24	6	6	6	37316	"6"	"403752.507458494"	"37219.086679687"	"24"	"LC"	"EN"	"37219.086679687"
"Calamus subangulatus"	1081630	192	53	42	44	1081630	"53"	"1544235.7621125"	"1073567.96668121"	"188"	"LC"	"EN"	"1073567.96668121"
"Calamus superciliatus"	8	8	3	2	2	4	"3"	"109.589799952925"	"3.69167776228493"	"8"	"CR"	"CR"	"3.69167776228493"
"Calamus symphysipus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus temii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus tenompokensis"	8212	48	16	5	8	8212	"16"	"49060.3551446936"	"8178.17890304709"	"52"	"VU"	"EN"	"8178.17890304709"
"Calamus tenuis"	2756296	36	10	7	7	2756296	"10"	"7490719.63762082"	"2871721.30096471"	"32"	"LC"	"EN"	"2871721.30096471"
"Calamus tetradactyloides"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus tetradactylus"	1002711	232	70	49	53	1002711	"70"	"1470901.15750373"	"1009347.26921716"	"248"	"LC"	"EN"	"1009347.26921716"
"Calamus thwaitesii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus thysanolepis"	40549	12	4	3	3	40549	"4"	"243359.715505774"	"41433.8326863047"	"12"	"LC"	"EN"	"41433.8326863047"
"Calamus trachycoleus"	46518	16	4	3	3	46518	"4"	"406830.289824351"	"46424.628615889"	"12"	"LC"	"EN"	"46424.628615889"
"Calamus unijugus"	12	12	3	1	1	7	"3"	"15.5883193951009"	"6.56349935046345"	"12"	"CR"	"EN"	"6.56349935046345"
"Calamus urdanetanus"	NA	8	2	2	2	NA	"2"	"49401.6577354652"	"0"	"8"	"CR"	"CR"	NA
"Calamus ursinus"	30155	24	7	4	5	30155	"7"	"203121.151323078"	"30123.98928618"	"28"	"LC"	"EN"	"30123.98928618"
"Calamus uschdraweitianus"	NA	8	2	2	2	NA	"2"	"168685.043109532"	"0"	"8"	"CR"	"CR"	NA
"Calamus usitatus"	1530	12	3	3	3	1530	"3"	"5025.22687387183"	"1529.35779269187"	"12"	"EN"	"EN"	"1529.35779269187"
"Calamus verticillaris"	170005	36	10	9	9	170005	"10"	"401082.770149502"	"170675.399848146"	"36"	"LC"	"EN"	"170675.399848146"
"Calamus vestitus"	280364	64	21	13	13	280364	"21"	"773804.055871943"	"279561.45272116"	"68"	"LC"	"EN"	"279561.45272116"
"Calamus viminalis"	1389559	240	70	55	57	1389559	"70"	"2120301.8581581"	"1391112.39408479"	"244"	"LC"	"EN"	"1391112.39408479"
"Calamus vitiensis"	4475732	140	40	23	25	4475732	"40"	"9026077.5994763"	"4430823.57196724"	"140"	"LC"	"EN"	"4430823.57196724"
"Calamus walkeri"	156524	68	26	17	17	156524	"26"	"360073.6680284"	"158264.761639401"	"72"	"LC"	"EN"	"158264.761639401"
"Calamus wanggaii"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus warburgii"	1286073	148	47	30	33	1286073	"47"	"2369193.36996185"	"1272377.25633458"	"148"	"LC"	"EN"	"1272377.25633458"
"Calamus womersleyi"	110	24	6	2	4	110	"6"	"671.454973237854"	"109.863411372152"	"24"	"EN"	"EN"	"109.863411372152"
"Calamus wuliangshanensis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus yentuensis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus zebrinus"	1164938	164	54	31	34	1164938	"54"	"2299180.36405132"	"1159945.78101318"	"176"	"LC"	"EN"	"1159945.78101318"
"Calamus zeylanicus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calamus zieckii"	1018513	52	20	12	12	1018513	"20"	"2171194.59060697"	"1014691.68855033"	"60"	"LC"	"EN"	"1014691.68855033"
"Calamus zollingeri"	NA	8	2	2	2	NA	"2"	"109212.044266621"	"0"	"8"	"CR"	"CR"	NA
"Calamus zonatus"	202491	156	47	29	32	202491	"47"	"564359.093513809"	"201994.178713427"	"156"	"LC"	"EN"	"201994.178713427"
"Calyptrocalyx albertisianus"	1144267	136	42	30	31	1144267	"42"	"2434238.83741705"	"1145473.51681309"	"144"	"LC"	"EN"	"1145473.51681309"
"Calyptrocalyx arfakianus"	NA	4	2	1	1	NA	"2"	"0"	"0"	"8"	"CR"	"CR"	NA
"Calyptrocalyx awa"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calyptrocalyx doxanthus"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Calyptrocalyx elegans"	47721	32	9	8	8	47721	"9"	"108691.257610168"	"47717.9661312404"	"32"	"LC"	"EN"	"47717.9661312404"
"Calyptrocalyx flabellatus"	NA	4	2	1	1	NA	"2"	"0"	"0"	"8"	"CR"	"CR"	NA
"Calyptrocalyx forbesii"	28638	52	17	7	10	28638	"17"	"80404.9507325777"	"28765.8755025478"	"64"	"NT"	"EN"	"28765.8755025478"
"Calyptrocalyx geonomiformis"	25	12	6	2	2	25	"6"	"154.659406669491"	"25.1627886582477"	"16"	"CR"	"EN"	"25.1627886582477"
"Calyptrocalyx hollrungii"	479074	88	27	16	19	479074	"27"	"1785122.59265635"	"467036.673233343"	"100"	"LC"	"EN"	"467036.673233343"
"Calyptrocalyx julianettii"	NA	8	2	2	2	NA	"2"	"1248.57010267762"	"0"	"8"	"CR"	"CR"	NA
"Calyptrocalyx lauterbachianus"	54284	84	21	20	20	54284	"21"	"107279.507504262"	"54128.9472142934"	"84"	"LC"	"EN"	"54128.9472142934"
"Calyptrocalyx laxiflorus"	NA	4	2	1	1	NA	"2"	"0.44236163208447"	"0"	"8"	"CR"	"CR"	NA
"Calyptrocalyx lepidotus"	11117	16	4	4	4	11117	"4"	"22650.3923412385"	"11119.7360923705"	"16"	"VU"	"EN"	"11119.7360923705"
"Calyptrocalyx leptostachys"	592	12	3	3	3	592	"3"	"393661.677148355"	"657.957152167877"	"12"	"EN"	"EN"	"657.957152167877"
"Calyptrocalyx merrillianus"	NA	8	2	2	2	NA	"2"	"19313.8684438208"	"0"	"8"	"CR"	"CR"	NA
"Calyptrocalyx micholitzii"	11515	24	8	4	5	11515	"8"	"202385.914336188"	"11639.6419303849"	"24"	"VU"	"EN"	"11639.6419303849"
"Calyptrocalyx multifidus"	18	8	3	2	2	18	"3"	"73.8448820753324"	"18.4612205188566"	"8"	"CR"	"CR"	"18.4612205188566"
"Calyptrocalyx pachystachys"	139561	24	7	6	6	139561	"7"	"889063.783811115"	"142404.539176731"	"24"	"LC"	"EN"	"142404.539176731"
"Calyptrocalyx polyphyllus"	24003	16	5	4	4	24003	"5"	"52235.7063172281"	"24009.0702377857"	"20"	"NT"	"EN"	"24009.0702377857"
"Calyptrocalyx pusillus"	225	12	3	3	3	225	"3"	"17891.8502797915"	"221.078797660496"	"12"	"EN"	"EN"	"221.078797660496"
"Calyptrocalyx sessiliflorus"	37548	28	8	7	7	37548	"8"	"277289.173513503"	"37497.6653786157"	"28"	"LC"	"EN"	"37497.6653786157"
"Calyptrocalyx spicatus"	NA	4	2	1	1	NA	"2"	"0"	"0"	"8"	"CR"	"CR"	NA
