"taxa"	"EOO"	"AOO"	"Nbe_unique_occ."	"Nbe_subPop"	"Nbe_loc"	"EOO2"	"NOP"	"MER"	"EOOkm2"	"AOO2km"	"EOOcat"	"AOOcat"	"EOO_rCAT_conR2"
"Bactris bahiensis"	93043	88	22	20	21	93043	"22"	"406238.295415923"	"97747.4031514276"	"88"	"LC"	"EN"	"97747.4031514276"
"Bactris balanophora"	821520	120	33	23	25	821520	"33"	"1565513.41380528"	"819371.287427726"	"124"	"LC"	"EN"	"819371.287427726"
"Bactris barronis"	236741	160	50	20	29	236741	"50"	"404040.829283408"	"237038.747171883"	"168"	"LC"	"EN"	"237038.747171883"
"Bactris bidentula"	2771020	220	66	43	48	2771020	"66"	"4359451.47967958"	"2758405.18969253"	"216"	"LC"	"EN"	"2758405.18969253"
"Bactris bifida"	1282130	360	118	60	68	1282130	"118"	"1750847.33038745"	"1280598.94266971"	"380"	"LC"	"EN"	"1280598.94266971"
"Bactris brongniartii"	6615557	592	194	91	110	6615557	"194"	"10441231.2914917"	"6547765.00230383"	"632"	"LC"	"VU"	"6547765.00230383"
"Bactris campestris"	1091334	68	17	15	15	1091334	"17"	"1623721.51041671"	"1087571.87700363"	"68"	"LC"	"EN"	"1087571.87700363"
"Bactris caryotifolia"	196690	100	26	21	22	196690	"26"	"535325.84674086"	"203692.448150481"	"100"	"LC"	"EN"	"203692.448150481"
"Bactris charnleyae"	86	16	5	2	3	86	"5"	"175.287068963692"	"85.5505246118712"	"20"	"CR"	"EN"	"85.5505246118712"
"Bactris chaveziae"	425636	184	56	28	36	425636	"56"	"1160701.16300517"	"428280.422701267"	"192"	"LC"	"EN"	"428280.422701267"
"Bactris chocoensis"	NA	4	1	1	1	NA	"1"	"0"	"0"	"4"	"CR"	"CR"	"0"
"Bactris coloniata"	458716	148	48	20	24	458716	"48"	"617331.398441848"	"458450.802347318"	"160"	"LC"	"EN"	"458450.802347318"
"Bactris coloradonis"	641311	360	106	47	64	641311	"106"	"1402139.82805995"	"644171.58214579"	"376"	"LC"	"EN"	"644171.58214579"
"Bactris concinna"	2175175	836	267	105	141	2175175	"267"	"3167875.97258061"	"2172098.86687392"	"852"	"LC"	"VU"	"2172098.86687392"
"Bactris constanciae"	58921	28	8	5	6	58921	"8"	"674825.243489473"	"58782.2655589455"	"28"	"LC"	"EN"	"58782.2655589455"
"Bactris corossilla"	1858159	656	202	109	125	1858159	"202"	"3433049.45545295"	"1850298.80248207"	"672"	"LC"	"VU"	"1850298.80248207"
"Bactris cuspidata"	5855	16	8	4	4	5855	"8"	"29284.8809889358"	"5858.9342830241"	"16"	"VU"	"EN"	"5858.9342830241"
