Tree_name	Acc_name	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Eremospatha laurentii	Eremospatha laurentii	LC	LC	0	1	0	1	0	0	0	0	1	30	2.5	canopy	NA	1.5	NA	NA	1.75	1.5	2	1.5	NA	NA	small	ovoid	young fruits pale almost white; turning bright red at maturity; and then brown with age	red; brown	conspicuous	0	0	0	0	0	0	1	0	0	0
Eremospatha macrocarpa	Eremospatha macrocarpa	LC	LC	0	1	0	1	0	0	0	0	1	75	1.8	canopy	NA	1.5	NA	NA	2.85	2.2	3.5	1.25	1	1.5	small	ovoid	young fruits pale almost white; turning bright red at maturity; and then brown with age	red; brown	conspicuous	1	0	1	0	0	0	1	1	0	0
Eremospatha quinquecostulata	Eremospatha quinquecostulata	LC	LC	0	1	0	1	0	0	0	0	1	15	0.9	canopy	NA	0.8	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	young fruits pale almost white; turning bright red at maturity; and then brown with age	red; brown	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eremospatha tessmanniana	Eremospatha tessmanniana	LC	LC	0	1	0	1	0	0	0	0	1	150	1.5	canopy	NA	0.8	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	young fruits pale almost white; turning bright red at maturity; and then brown with age	red; brown	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eremospatha wendlandiana	Eremospatha wendlandiana	LC	LC	0	1	0	1	0	0	0	0	1	60	2	canopy	NA	2	2	NA	3	2.5	3.5	2.1	1.8	2.4	small	ovoid	greenish-brown	brown	cryptic	0	0	0	0	1	0	1	1	0	0
Eugeissona ambigua	Eugeissona ambigua	non-LC	NA	0	0	1	0	1	0	0	NA	1	0	NA	understorey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eugeissona brachystachys	Eugeissona brachystachys	non-LC	NA	0	0	1	0	1	0	0	1	1	0	0	understorey	NA	4	NA	1.55	5	NA	NA	3	NA	NA	large	ovoid	brown	brown	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eugeissona insignis	Eugeissona insignis	LC	NA	0	0	1	0	1	0	0	1	1	1.8	NA	understorey	7	12	NA	3.45	9	NA	NA	5.5	NA	NA	large	NA	brown	brown	cryptic	0	0	0	0	1	0	1	0	0	0
Eugeissona minor	Eugeissona minor	non-LC	non-LC	0	0	1	0	0	1	0	0	1	2	8	understorey	10	5	NA	2.9	5.5	NA	NA	3.3	NA	NA	large	globose	dark brown	brown	cryptic	0	0	0	0	0	0	1	0	0	0
Eugeissona tristis	Eugeissona tristis	non-LC	LC	0	0	1	0	1	0	0	0	1	1.5	15	understorey	10	5	5	NA	8	7	9	4.5	3	6	large	elongate	scales brown	brown	cryptic	0	1	0	0	1	0	1	1	0	0
Eugeissona utilis	Eugeissona utilis	LC	NA	0	0	1	0	0	1	0	1	1	8	25	canopy	12	6	6	NA	7	NA	NA	3.5	NA	NA	large	NA	dark green-brown	green; brown	cryptic	0	0	0	0	1	0	1	0	0	0
Euterpe broadwayi	Euterpe broadwayi	non-LC	non-LC	1	0	0	0	0	1	2	0	0	20	25	canopy	16	4.8	3.6	1.25	1.2	NA	NA	1.2	1	1.4	small	NA	purple-black	purple; black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euterpe catinga	Euterpe catinga	LC	LC	1	0	0	0	0	1	2	0	0	20	15	canopy	11	3	2.5	0.55	1.05	0.8	1.3	1.05	0.8	1.3	small	ovoid	purple-black	purple; black	cryptic	0	0	0	0	1	0	1	1	0	1
Euterpe edulis	Euterpe edulis	LC	LC	1	0	0	0	0	1	2	0	0	12	15	canopy	15	3.54	3	0.59	1.2	NA	NA	1.2	1	1.4	small	NA	purple-black	purple; black	cryptic	0	0	1	0	1	0	1	1	0	0
Euterpe longibracteata	Euterpe longibracteata	LC	LC	1	0	0	0	0	1	2	0	0	20	8	canopy	9	3.41	3	0.46	1.1	NA	NA	1.1	1	1.2	small	NA	purple-black	purple; black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Euterpe luminosa	Euterpe luminosa	non-LC	NA	1	0	0	0	0	1	0	0	0	11	7	canopy	12	1.8	1.45	0.4	2	NA	NA	1	NA	NA	small	globose	black	black	cryptic	0	0	0	0	1	0	0	0	0	0
Euterpe oleracea	Euterpe oleracea	LC	NA	1	0	0	0	0	1	0	0	0	20	20	canopy	14	4.3	3.7	0.65	1.5	1	2	1.5	1	2	small	pyramidal	purple-black;black	purple; black	cryptic	0	1	0	0	1	0	1	1	0	1
Euterpe precatoria	Euterpe precatoria	LC	LC	1	0	0	0	0	1	2	0	0	20	30	canopy	20	4.95	3.6	1.4	1.1	NA	NA	1.1	0.9	1.3	small	globose	purple-black; black	purple; black	cryptic	1	1	1	0	1	0	1	1	0	1
Gaussia attenuata	Gaussia attenuata	non-LC	non-LC	1	0	0	0	0	1	1	0	0	15	25	canopy	7	3.5	NA	NA	1.5	1.4	1.6	1.2	NA	NA	small	NA	orange-red	orange; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gaussia gomez-pompae	Gaussia gomez-pompae	non-LC	non-LC	1	0	0	0	0	1	1	0	0	14	30	canopy	10	NA	NA	NA	1.55	NA	NA	1.55	1.5	1.6	small	NA	orange-red	orange; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gaussia maya	Gaussia maya	non-LC	non-LC	1	0	0	0	0	1	1	0	0	20	15	canopy	8	3.8	2.62	1.23	1.25	1	1.5	1.25	1	1.5	small	NA	bright red	red	conspicuous	0	0	0	0	0	0	1	0	0	0
Gaussia princeps	Gaussia princeps	LC	NA	1	0	0	0	0	1	1	0	0	8	30	canopy	6	1.6	1.6	NA	1	NA	NA	0.7	NA	NA	small	ovoid	orange-red	orange; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gaussia spirituana	Gaussia spirituana	non-LC	NA	1	0	0	0	0	1	1	0	0	7	35	canopy	6	NA	NA	NA	1	NA	NA	1	NA	NA	small	NA	orange-red	orange; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma aspidiifolia	Geonoma aspidiifolia	LC	LC	1	0	0	0	0	1	2	0	0	3	1.6	understorey	12	0.68	0.38	0.33	0.95	0.79	1.12	0.61	0.5	0.78	small	ovoid	greenish then black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma baculifera	Geonoma baculifera	LC	LC	1	0	0	0	0	1	2	0	0	4	3	understorey	12	1.1	0.8	0.33	1.06	0.82	1.28	0.715375	0.5	0.96	small	globose	black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Geonoma bernalii	Geonoma bernalii	non-LC	LC	1	0	0	0	0	1	2	0	0	1.5	0.5	understorey	8	NA	0.141	0.095	0.61	0.6	0.62	0.61	0.6	0.62	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
