Tree_name	Acc_name	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	FruitColorDescription	MainFruitColors	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Acanthophoenix crinita	Acanthophoenix crinita	non-LC	NA	0	1	0	0	0	1	1	1	1	10	20	canopy	15	2.3	NA	NA	0.65	0.6	0.7	0.5	NA	NA	small	NA	black	black	cryptic	0	0	0	0	0	0	1	0	0	0
Acanthophoenix rousselii	Acanthophoenix rousselii	non-LC	NA	0	1	0	0	0	1	1	1	1	25	30	canopy	NA	3	NA	NA	2	NA	NA	0.8	NA	NA	small	ovoid	black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acanthophoenix rubra	Acanthophoenix rubra	non-LC	NA	0	1	0	0	0	1	1	1	1	15	18	canopy	20	3.1	3	NA	1	NA	NA	0.7	NA	NA	small	ovoid	black	black	cryptic	0	1	0	1	1	0	0	1	0	0
Acoelorrhaphe wrightii	Acoelorrhaphe wrightii	LC	LC	1	0	0	0	0	1	0	0	1	9.1	15	canopy	25	1.3	0.7	0.65	0.7	NA	NA	0.7	0.5	0.9	small	ovoid	orange-brown; becomming black	brown; black	cryptic	0	1	0	0	0	0	1	0	0	0
Acrocomia aculeata	Acrocomia aculeata	LC	LC	1	0	0	0	0	1	1	1	1	12	50	canopy	30	3.5	2.5	NA	4.25	3.5	5	4.6	3.8	5.4	large	ovoid	yellowish green	green	cryptic	0	1	0	0	1	0	1	1	0	0
Acrocomia crispa	Acrocomia crispa	LC	NA	1	0	0	0	0	1	1	1	1	18	35	canopy	15	3	NA	0.65	2.5	NA	NA	1.8	NA	NA	small	globose	yellow to orange	yellow; orange	conspicuous	0	0	0	0	0	0	1	0	0	0
Acrocomia emensis	Acrocomia emensis	non-LC	non-LC	1	0	0	0	1	0	1	1	1	0	NA	understorey	NA	NA	NA	NA	2	NA	NA	2	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia glaucescens	Acrocomia glaucescens	non-LC	non-LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia hassleri	Acrocomia hassleri	LC	LC	1	0	0	0	1	0	1	1	1	0	NA	understorey	6	0.9	0.54	0.51	2.25	1.5	3	2.25	1.5	3	small	NA	brown	brown	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia intumescens	Acrocomia intumescens	LC	LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	4.6	3.8	5.4	4.6	3.8	5.4	large	NA	dull yellowish	yellow	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia media	Acrocomia media	LC	NA	1	0	0	0	0	1	1	1	1	15	30	canopy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	dull yellowish	yellow	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia totai	Acrocomia totai	LC	LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	3	2.5	3.5	3	2.5	3.5	small	NA	yellow to orange	yellow; orange	conspicuous	0	0	0	0	0	0	0	1	0	0
Actinokentia divaricata	Actinokentia divaricata	LC	LC	0	0	1	0	0	1	1	0	0	9	9	canopy	7	2.35	2.1	1.3	2.6	1.8	3.4	1.1	0.8	1.4	small	globose	red to dark purple	red; purple	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinokentia huerlimannii	Actinokentia huerlimannii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	9	36	canopy	10	1.2	NA	0.22	3	NA	NA	1.3	NA	NA	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinorhytis calapparia	Actinorhytis calapparia	LC	LC	0	0	1	0	0	1	1	0	0	40	30	canopy	13	4.76	4.3	0.51	10	NA	NA	5.5	5	6	large	ovoid	reddish	red	conspicuous	1	1	0	0	1	0	1	1	0	1
Adonidia maturbongsii	Manjekia maturbongsii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	2.3	NA	NA	1	NA	NA	small	NA	bright orange to red	orange; red	conspicuous	0	0	0	0	0	0	1	0	0	0
Adonidia merrillii	Adonidia merrillii	non-LC	LC	0	0	1	0	0	1	1	0	0	7	30	canopy	17	2.2	2	0.22	2.5	NA	NA	1.3	NA	NA	small	elongate	red	red	conspicuous	0	1	0	0	0	0	1	0	0	1
Aiphanes acanthophylla	Aiphanes acanthophylla	LC	NA	1	0	0	0	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	1.4	NA	NA	small	NA	bright red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes acaulis	Aiphanes acaulis	non-LC	non-LC	1	0	0	0	1	0	1	0	1	0	NA	understorey	10	1.83	1.33	0.33	1	NA	NA	1	NA	NA	small	NA	from purple to vine red	purple; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes bicornis	Aiphanes bicornis	non-LC	non-LC	1	0	0	0	0	1	1	1	1	0.5	2.5	understorey	13	0.54	0.54	NA	0.6	NA	NA	0.8	NA	NA	small	ovoid	red-orange	red; orange	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes buenaventurae	Aiphanes buenaventurae	non-LC	LC	1	0	0	0	0	1	2	NA	1	4	NA	understorey	8	0.22	0.78	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes chiribogensis	Aiphanes chiribogensis	LC	LC	1	0	0	0	0	1	1	1	1	3	6	understorey	9	1.45	1	0.5	1.1	NA	NA	1.1	1	1.2	small	globose	red	red	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes deltoidea	Aiphanes deltoidea	LC	LC	1	0	0	0	0	1	2	1	1	2	6	understorey	12	2.95	1.9	1.1	1.3	NA	NA	0.7	NA	NA	small	globose	yellow	yellow	conspicuous	0	0	0	0	0	0	1	0	0	0
Aiphanes duquei	Aiphanes duquei	non-LC	LC	1	0	0	0	0	1	1	1	1	5	5	understorey	9	1.35	1.1	0.28	1.05	0.9	1.2	NA	NA	NA	small	globose	red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes eggersii	Aiphanes eggersii	non-LC	LC	1	0	0	0	0	1	0	1	1	10	8	canopy	10	2.2	2.05	0.17	1.75	NA	NA	1.75	1.5	2	small	ovoid	bright red	red	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes erinacea	Aiphanes erinacea	LC	LC	1	0	0	0	0	1	0	1	1	5	5	understorey	8	2.2	1.65	0.6	0.75	NA	NA	0.75	0.7	0.8	small	globose	dark red soon turning brown or black	red; brown; black	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes gelatinosa	Aiphanes gelatinosa	non-LC	non-LC	1	0	0	0	0	1	2	1	1	9	10	canopy	11	5.6	4	1.7	1.5	NA	NA	1.5	1	1.5	small	globose	red with black apex; becomming brown or shiny black at maturity	brown; black	cryptic	0	0	0	0	0	0	0	0	0	0
Aiphanes graminifolia	Aiphanes graminifolia	non-LC	NA	1	0	0	0	0	1	0	1	1	5	2	understorey	6	0.89	0.89	NA	0.5	NA	NA	0.5	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes grandis	Aiphanes grandis	non-LC	non-LC	1	0	0	0	0	1	1	1	1	21	20	canopy	10	5.5	2.5	2.75	2.15	NA	NA	2.15	2	3	small	elongate	dull green	green	cryptic	0	0	0	0	1	0	0	0	0	0
Aiphanes hirsuta	Aiphanes hirsuta	LC	LC	1	0	0	0	0	1	0	1	1	10	10	canopy	8	2.94	1.94	NA	1.35	NA	NA	1.35	0.7	2	small	globose	red or less often purple or white; pinkish red	red; purple; white	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes horrida	Aiphanes horrida	LC	LC	1	0	0	0	0	1	1	1	1	10	15	canopy	15	2	NA	NA	1.95	1.6	2.3	1.95	1.6	2.3	small	ovoid	bright red; rarely orange or white; with orange mesocarp	red	conspicuous	0	1	0	0	1	0	1	1	0	1
Aiphanes leiostachys	Aiphanes leiostachys	non-LC	non-LC	1	0	0	0	0	1	0	1	1	5	3	understorey	11	2.08	1.08	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes lindeniana	Aiphanes lindeniana	non-LC	NA	1	0	0	0	0	1	2	1	1	7	10	canopy	10	1.31	0.75	0.61	1.5	NA	NA	1.5	1.4	1.6	small	NA	red to orange	red; orange	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes linearis	Aiphanes linearis	LC	LC	1	0	0	0	0	1	0	1	1	12	12	canopy	9	2.73	2.39	0.49	4.5	NA	NA	2.65	1.8	3.5	large	globose	NA	NA	NA	0	0	0	0	1	0	0	0	0	0
Aiphanes macroloba	Aiphanes macroloba	non-LC	NA	1	0	0	0	0	1	0	1	1	3	3	understorey	8	1.86	1.5	0.41	1	NA	NA	0.7	NA	NA	small	ovoid	red to orange	red; orange	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes minima	Aiphanes minima	LC	LC	1	0	0	0	0	1	1	1	1	18	50	canopy	9	4.2	3	1.25	1.4	1.2	1.6	1.55	1.4	1.7	small	globose	red	red	conspicuous	0	1	0	0	1	0	1	1	0	0
Aiphanes multiplex	Aiphanes multiplex	non-LC	NA	1	0	0	0	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	1.45	NA	NA	small	NA	red	red	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes parvifolia	Aiphanes parvifolia	non-LC	NA	1	0	0	0	0	1	1	0	1	2	3	understorey	10	0.95	0.7	0.28	0.85	0.7	1	NA	NA	NA	small	NA	orange to red	orange; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes pilaris	Aiphanes pilaris	non-LC	NA	1	0	0	0	0	1	1	1	1	7	15	canopy	10	NA	NA	NA	4.7	NA	NA	4.7	NA	NA	large	ovoid	brown	brown	cryptic	0	0	0	0	0	0	0	0	0	0
Aiphanes simplex	Aiphanes simplex	LC	LC	1	0	0	0	0	1	0	1	1	4	2	understorey	9	0.96	0.7	0.29	0.9	NA	NA	0.9	0.8	1	small	ovoid	red	red	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes spicata	Aiphanes spicata	non-LC	NA	1	0	0	0	1	0	1	0	1	0.3	2	understorey	12	1.05	0.8	0.25	1	NA	NA	0.9	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes stergiosii	Aiphanes lindeniana	non-LC	NA	1	0	0	0	0	1	2	1	1	7	10	canopy	10	1.31	0.75	0.61	1.5	NA	NA	1.5	1.4	1.6	small	NA	red to orange	red; orange	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes tricuspidata	Aiphanes tricuspidata	LC	LC	1	0	0	0	0	1	1	1	1	4.5	6	understorey	10	1.38	1.2	0.2	0.75	NA	NA	0.75	0.6	1	small	NA	reddish-brown; speckled brown and red	brown	cryptic	0	0	0	0	0	0	0	0	0	0
Aiphanes ulei	Aiphanes ulei	LC	LC	1	0	0	0	0	1	1	1	1	6	5	canopy	15	2.5	1.8	0.75	0.7	NA	NA	0.7	NA	1	small	NA	red	red	conspicuous	0	0	0	0	1	0	1	1	0	1
Aiphanes verrucosa	Aiphanes verrucosa	non-LC	non-LC	1	0	0	0	0	1	0	1	1	8	5	canopy	5	1.3	1.15	0.17	2.25	NA	NA	2.25	2	2.5	small	globose	greenish white	white	cryptic	0	0	0	0	1	0	1	0	0	0
Aiphanes weberbaueri	Aiphanes weberbaueri	LC	LC	1	0	0	0	0	1	2	0	1	1.5	6	understorey	13	2	1.2	NA	0.85	NA	NA	0.85	0.7	1	small	ovoid	red to purple	red; purple	conspicuous	0	0	0	0	1	0	0	0	0	0
Allagoptera arenaria	Allagoptera arenaria	LC	LC	1	0	0	0	1	0	2	0	0	0.2	15	understorey	15	1.8	NA	1	1.6	1.2	2	1.15	1	1.3	small	NA	yellowish green	green	cryptic	0	1	0	0	0	0	0	0	0	0
Allagoptera brevicalyx	Allagoptera brevicalyx	non-LC	non-LC	1	0	0	0	1	0	2	0	0	2	NA	understorey	8	1.2	NA	0.34	1.75	1.5	2	1.25	1	1.5	small	ovoid	yellowish green	green	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allagoptera campestris	Allagoptera campestris	LC	LC	1	0	0	0	1	0	1	0	0	0.2	NA	understorey	10	0.97	0.66	0.34	1.35	1.2	1.5	0.6	0.5	0.7	small	globose	yellowish green	green	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allagoptera caudescens	Allagoptera caudescens	LC	LC	1	0	0	0	0	1	1	0	0	8	25	canopy	16	4	NA	0.61	4.25	4	4.5	3.25	3	3.5	large	ovoid	greenish brown	brown	cryptic	0	0	0	0	0	0	0	1	0	0
Allagoptera leucocalyx	Allagoptera leucocalyx	LC	LC	1	0	0	0	1	0	1	0	0	2	NA	understorey	30	2	1.3	0.75	2.65	2.3	3	1.75	1.5	2	small	ovoid	yellowish green	green	cryptic	1	0	0	0	1	0	1	0	0	0
Ammandra decasperma	Ammandra decasperma	LC	LC	1	0	0	0	1	0	1	0	0	1.5	15	understorey	10	4.5	4	3.25	10	NA	NA	10	8	12	large	globose	dark brown	brown	cryptic	0	1	0	0	1	0	1	1	0	1
Aphandra natalia	Aphandra natalia	LC	LC	1	0	0	0	0	1	1	0	0	11	30	canopy	36	6	5.4	1.6	4.75	NA	3.2	3.2	NA	NA	large	rounded	brown	brown	cryptic	1	1	1	0	1	0	1	0	0	1
Archontophoenix alexandrae	Archontophoenix alexandrae	LC	LC	1	0	1	0	0	1	1	0	0	30	30	canopy	12	4.5	4	0.55	1.1	0.8	1.4	0.85	0.6	1.1	small	ovoid	bright red	red	conspicuous	0	1	0	0	0	0	0	0	0	0
Archontophoenix cunninghamiana	Archontophoenix cunninghamiana	non-LC	NA	0	0	1	0	0	1	1	0	0	30	30	canopy	12	4.5	4	0.55	1.25	1	1.5	1.1	NA	1.5	small	ovoid	bright red	red	conspicuous	0	1	0	0	0	0	0	0	0	0
Archontophoenix maxima	Archontophoenix maxima	non-LC	non-LC	0	0	1	0	0	1	1	0	0	22	30	canopy	11	5	3.4	1.7	1.25	1.1	1.4	0.9	0.7	1.1	small	globose	red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archontophoenix myolensis	Archontophoenix myolensis	non-LC	NA	0	0	1	0	0	1	1	0	0	20	30	canopy	12	4	3.8	0.22	1.7	1.3	2.1	1.1	1	1.2	small	globose	red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archontophoenix purpurea	Archontophoenix purpurea	non-LC	NA	0	0	1	0	0	1	1	0	0	25	45	canopy	15	6	4	2.1	2.3	2	2.6	2	1.8	2.2	small	globose	red-crimson; dark red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archontophoenix tuckeri	Archontophoenix tuckeri	non-LC	NA	0	0	1	0	0	1	1	0	0	20	26	canopy	12	3.15	1.75	1.45	2	1.5	2.5	1.25	1	1.5	small	ovoid	bright red to dark brick red at maturity (drying dark ocre)	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca abdulrahmanii	Areca abdulrahmanii	non-LC	non-LC	0	0	1	0	1	0	1	0	0	2.5	1.3	understorey	NA	1	NA	NA	4	NA	NA	1.2	NA	NA	large	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca ahmadii	Areca ahmadii	non-LC	NA	0	0	1	0	1	0	1	0	0	0.08	2.5	understorey	NA	1	0.58	0.47	4.3	NA	NA	2	NA	NA	large	globose	black	black	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca andersonii	Areca andersonii	non-LC	NA	0	0	1	0	1	0	1	0	0	2.5	1.3	understorey	NA	0.8	0.8	NA	2.1	NA	NA	0.7	NA	NA	small	ovoid	deep green	green	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca arundinacea	Areca arundinacea	non-LC	non-LC	0	0	1	0	1	0	0	0	0	2.5	0.8	understorey	8	0.5	NA	NA	1.9	NA	NA	1.1	NA	NA	small	elongate	bright red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca bakeri	Areca bakeri	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	6.26	6	6.5	1.4	1.3	1.45	large	NA	young fruit dark green	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca brachypoda	Areca brachypoda	non-LC	NA	0	0	1	0	1	0	1	0	0	0.06	0.3	understorey	NA	1.15	NA	0.45	2.2	NA	NA	0.5	NA	NA	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca caliso	Areca caliso	non-LC	NA	0	0	1	0	0	1	1	0	0	6	12	canopy	6	2.15	NA	NA	3	NA	NA	1.6	NA	NA	small	globose	Bright orange	orange	conspicuous	0	0	0	0	1	0	0	0	0	1
Areca camarinensis	Areca camarinensis	non-LC	non-LC	0	0	1	0	0	1	1	0	0	3	9	understorey	NA	1.5	NA	NA	5	3.5	5.5	1.7	1.5	2.5	large	globose	green to orange to red	green; orange; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca catechu	Areca catechu	LC	LC	1	0	1	0	0	1	1	0	0	25	30	canopy	10	3.15	2.05	1.25	6.5	5	8	4.75	3.5	6	large	ovoid	ripening yellow; orange; red; to scarlet	yellow; orange; red	conspicuous	0	1	1	0	1	1	1	1	1	1
Areca chaiana	Areca chaiana	non-LC	non-LC	0	0	1	0	0	1	1	0	0	3	8	understorey	NA	1.15	NA	0.7	3	NA	NA	0.8	NA	NA	small	elongate	red to black	red; black	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca churchii	Areca churchii	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dull green	green	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca concinna	Areca concinna	non-LC	NA	0	0	1	0	0	1	0	0	0	5	6	understorey	8	2	1.5	0.18	3	NA	NA	1.2	NA	NA	small	ovoid	red; scarlet; from green to orange to red	red; green; orange; red	conspicuous	0	0	0	0	0	0	0	1	0	1
Areca congesta	Areca congesta	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca costulata	Areca costulata	non-LC	NA	0	0	1	0	0	1	1	0	0	5	NA	understorey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca dayung	Areca dayung	non-LC	non-LC	0	0	1	0	0	1	0	0	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca dransfieldii	Areca dransfieldii	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	3.8	NA	NA	1	NA	NA	small	NA	dark green in immature fruit	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca furcata	Areca furcata	LC	LC	0	0	1	0	0	1	0	0	0	2	2	understorey	NA	NA	NA	NA	1	NA	NA	0.4	NA	NA	small	ovoid	pale yellow to red; bright red	yellow; red	conspicuous	0	0	0	0	0	0	0	0	0	1
Areca gurita	Areca gurita	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	small	NA	white with green in immature fruit	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca hutchinsoniana	Areca hutchinsoniana	non-LC	NA	0	0	1	0	0	1	1	0	0	3	3	understorey	NA	2	NA	NA	3	NA	NA	1.7	NA	NA	small	globose	white to yellow to red	white; yellow; red	conspicuous	0	0	0	0	0	0	0	1	0	0
Areca insignis	Areca insignis	non-LC	NA	0	0	1	0	1	0	1	0	0	3.5	2.5	understorey	10	1.2	1.2	0	2.2	NA	NA	1	NA	NA	small	globose	moroon with green tip	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca ipot	Areca ipot	non-LC	non-LC	0	0	1	0	0	1	1	0	0	4	12.7	understorey	NA	2.4	2.4	NA	5	NA	NA	3	NA	NA	large	NA	red	red	conspicuous	0	1	0	0	0	0	0	0	0	1
Areca jugahpunya	Areca jugahpunya	non-LC	non-LC	0	0	1	0	1	0	2	0	0	1.5	15	understorey	NA	2.5	1.5	NA	5.5	NA	NA	1	NA	NA	large	NA	immature dark green	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca kinabaluensis	Areca kinabaluensis	LC	LC	0	0	1	0	0	1	1	0	0	5	2.5	understorey	6	1.5	NA	1.85	2	NA	NA	0.8	NA	NA	small	globose	whitish green to reddish	green	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca klingkangensis	Areca klingkangensis	non-LC	NA	0	0	1	0	0	1	1	0	0	4	10	understorey	NA	1.5	1.15	0.4	2.6	NA	NA	0.5	NA	NA	small	globose	yellow	yellow	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca laosensis	Areca laosensis	LC	LC	0	0	1	0	0	1	2	0	0	6	4	canopy	12	1.26	1.19	0.09	7.5	7	8	5.5	5	6	large	ovoid	orange; infrequently yellow	orange	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca ledermanniana	Areca ledermanniana	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca macrocalyx	Areca macrocalyx	LC	LC	0	0	1	0	0	1	1	0	0	10	10	canopy	12	4	4	NA	3.75	3.5	4	2.5	NA	NA	small	ovoid	yellow to orange	yellow; orange	conspicuous	1	0	0	0	1	0	1	1	0	1
Areca mandacanii	Areca mandacanii	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	4.49	NA	NA	2.29	NA	NA	large	NA	NA	NA	NA	0	0	0	0	0	0	1	0	0	1
Areca minuta	Areca minuta	LC	LC	0	0	1	0	0	1	2	0	0	2	1.5	understorey	NA	0.3	0.3	NA	1.2	NA	NA	0.4	NA	NA	small	ovoid	orange to cherry red	orange; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca mogeana	Areca mogeana	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	0.3	NA	NA	small	NA	light orange to red and darker red at tip in immature fruits	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca montana	Areca montana	non-LC	non-LC	0	0	1	0	0	1	1	0	0	4	8	understorey	8	1.75	1.35	0.45	2.5	NA	NA	1.35	1.2	1.5	small	ovoid	deep red	red	conspicuous	0	1	0	0	1	0	0	1	0	1
Areca novohibernica	Areca novohibernica	non-LC	non-LC	0	0	1	0	0	1	1	0	0	4	NA	understorey	5	1.5	NA	0.17	3.2	NA	NA	1.35	NA	NA	small	NA	green turning bright red	green; red	conspicuous	0	0	0	0	0	0	0	0	0	1
Areca oxycarpa	Areca oxycarpa	non-LC	non-LC	0	0	1	0	0	1	1	0	0	2	2.5	understorey	8	1.5	1.1	0.45	2.5	NA	NA	1.3	NA	NA	small	globose	bright ochrish yellow	yellow	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca parens	Areca parens	non-LC	non-LC	0	0	1	0	0	1	1	0	0	25	15	canopy	NA	2.1	NA	NA	6	NA	NA	4	NA	NA	large	ovoid	white to green to reddish-orange	white; green; orange	conspicuous	0	0	0	0	1	0	0	0	0	0
Areca rheophytica	Areca rheophytica	non-LC	NA	0	0	1	0	0	1	1	0	0	2	2	understorey	8	0.4	0.31	0.11	2	NA	NA	0.7	NA	NA	small	globose	Pink; merah jambu; red	pink; red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca ridleyana	Areca ridleyana	non-LC	NA	0	0	1	0	0	1	2	0	0	2.5	NA	understorey	10	0.3	NA	NA	0.5	NA	0.8	0.4	NA	NA	small	NA	brilliant red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca riparia	Areca riparia	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	2.4	2	2.8	1.25	1	1.5	small	NA	bright crimson skin and flesh	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca songthanhensis	Areca songthanhensis	LC	LC	0	0	1	0	0	1	1	0	0	1.5	2	understorey	NA	NA	0.49	0.13	3	NA	NA	1.3	NA	NA	small	ellipsoid	red	red	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca subacaulis	Areca subacaulis	non-LC	NA	0	0	1	0	1	0	1	0	0	1.5	3.5	understorey	6	1	NA	NA	2.5	NA	NA	1.1	NA	NA	small	NA	purple	purple	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca triandra	Areca triandra	LC	LC	0	0	1	0	0	1	0	0	0	6	7	canopy	7	2	1.8	0.22	2.5	NA	NA	1.5	NA	NA	small	NA	red; bright orange-red; pinkish-red	red; orange	conspicuous	1	1	0	0	1	0	1	1	0	1
Areca triginticollina	Areca triginticollina	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	young fruits green	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca tunku	Areca tunku	non-LC	NA	0	0	1	0	0	1	1	0	0	5	6	understorey	10	2.5	2.5	NA	4.5	NA	NA	3	NA	NA	large	globose	purple-brown; dull	purple; brown	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca vestiaria	Areca vestiaria	LC	LC	0	0	1	0	0	1	2	0	0	15	12	canopy	NA	2.22	1.82	0.45	2	NA	NA	1.15	NA	NA	small	globose	deep orange; orange-red	orange; red	conspicuous	0	0	0	0	0	0	1	0	0	0
