"Species"	"Use_HUF"	"Use_HUMa"	"Use_HUMe"	"Use_HUC"
"Astrocaryum huaimi"	0	0	0	0
"Astrocaryum huicungo"	1	1	1	1
"Astrocaryum jauari"	1	1	1	1
"Astrocaryum javarense"	0	0	0	0
"Astrocaryum macrocalyx"	1	1	1	0
"Astrocaryum malybo"	0	1	0	0
"Astrocaryum mexicanum"	1	1	1	0
"Astrocaryum minus"	0	0	0	0
"Astrocaryum murumuru"	0	0	0	0
"Astrocaryum paramaca"	0	0	0	0
"Astrocaryum perangustatum"	0	0	0	0
"Astrocaryum rodriguesii"	0	0	0	0
"Astrocaryum sciophilum"	1	1	1	1
"Astrocaryum scopatum"	0	0	0	0
"Astrocaryum sociale"	0	0	0	0
"Astrocaryum standleyanum"	1	1	1	1
"Astrocaryum triandrum"	0	0	0	0
"Astrocaryum tucuma"	1	1	0	0
"Astrocaryum ulei"	0	0	0	0
"Astrocaryum urostachys"	1	1	1	1
"Astrocaryum vulgare"	1	1	1	0
"Attalea allenii"	1	1	1	1
"Attalea amygdalina"	1	0	0	1
"Attalea amylacea"	0	0	0	0
"Attalea anisitsiana"	0	0	0	0
"Attalea apoda"	0	0	0	0
"Attalea attaleoides"	0	0	0	0
"Attalea barreirensis"	0	0	0	0
"Attalea bassleriana"	1	1	1	1
"Attalea brasiliensis"	0	0	0	0
"Attalea brejinhoensis"	0	0	0	0
"Attalea burretiana"	0	0	0	0
"Attalea butyracea"	1	1	1	1
"Attalea camopiensis"	0	0	0	0
"Attalea cephalotus"	0	0	0	0
"Attalea cohune"	1	1	1	0
"Attalea colenda"	1	1	1	1
"Attalea compta"	0	0	0	0
"Attalea crassispatha"	0	0	0	0
"Attalea cuatrecasasiana"	1	1	0	1
"Attalea dahlgreniana"	0	0	0	0
"Attalea degranvillei"	0	0	0	0
"Attalea dubia"	0	0	0	0
"Attalea eichleri"	0	0	0	0
"Attalea exigua"	0	0	0	0
"Attalea fairchildensis"	0	1	0	0
"Attalea funifera"	1	1	1	0
"Attalea geraensis"	0	0	0	0
"Attalea guacuyule"	0	0	0	0
"Attalea guianensis"	0	0	0	0
"Attalea hoehnei"	0	0	0	0
"Attalea huebneri"	0	0	0	0
"Attalea humilis"	0	0	0	0
"Attalea iguadummat"	0	0	0	0
"Attalea insignis"	1	1	1	1
"Attalea kewensis"	0	0	0	0
"Attalea lauromuelleriana"	0	0	0	0
"Attalea luetzelburgii"	1	1	0	1
"Attalea macrolepis"	0	0	0	0
"Attalea magdalenica"	0	0	0	0
