"Species"	"Status_BS"	"Status_WS"	"Status_BSWS"
"Chamaedorea fragrans"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea frondosa"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea geonomiformis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea glaucifolia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea graminifolia"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea guntheriana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea hodelii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea hooperiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea ibarrae"	"LC"	"LC"	"LC___LC"
"Chamaedorea incrustata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea keelerorum"	"LC"	"LC"	"LC___LC"
"Chamaedorea klotzschiana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea lehmannii"	"NA"	"NA"	"NA___NA"
"Chamaedorea liebmannii"	"LC"	"LC"	"LC___LC"
"Chamaedorea linearis"	"LC"	"LC"	"LC___LC"
"Chamaedorea lucidifrons"	"LC"	"LC"	"LC___LC"
"Chamaedorea macrospadix"	"LC"	"LC"	"LC___LC"
"Chamaedorea matae"	"LC"	"nonLC"	"LC___nonLC"
"Chamaedorea metallica"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea microphylla"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea microspadix"	"LC"	"LC"	"LC___LC"
"Chamaedorea moliniana"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea nationsiana"	"NA"	"NA"	"NA___NA"
"Chamaedorea neurochlamys"	"LC"	"LC"	"LC___LC"
"Chamaedorea nubium"	"LC"	"LC"	"LC___LC"
"Chamaedorea oblongata"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea oreophila"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Chamaedorea pachecoana"	"NA"	"NA"	"NA___NA"
"Chamaedorea palmeriana"	"LC"	"nonLC"	"LC___nonLC"
