"Species"	"Status_BS"	"Status_WS"	"Status_BSWS"
"Calamus melanoloma"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus melanorhynchus"	"NA"	"NA"	"NA___NA"
"Calamus merrillii"	"NA"	"NA"	"NA___NA"
"Calamus metzianus"	"NA"	"NA"	"NA___NA"
"Calamus micracanthus"	"LC"	"LC"	"LC___LC"
"Calamus micranthus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus microsphaerion"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus microstachys"	"LC"	"LC"	"LC___LC"
"Calamus minahassae"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus minor"	"NA"	"NA"	"NA___NA"
"Calamus minutus"	"NA"	"NA"	"NA___NA"
"Calamus mirabilis"	"LC"	"nonLC"	"LC___nonLC"
"Calamus mitis"	"NA"	"NA"	"NA___NA"
"Calamus modestus"	"LC"	"LC"	"LC___LC"
"Calamus mogeae"	"NA"	"NA"	"NA___NA"
"Calamus mogeanus"	"NA"	"NA"	"NA___NA"
"Calamus mollis"	"NA"	"NA"	"NA___NA"
"Calamus mollispinus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus monticola"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus moorei"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus moorhousei"	"NA"	"NA"	"NA___NA"
"Calamus moseleyanus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus moszkowskianus"	"NA"	"NA"	"NA___NA"
"Calamus moti"	"LC"	"nonLC"	"LC___nonLC"
"Calamus muelleri"	"LC"	"LC"	"LC___LC"
"Calamus multispicatus"	"LC"	"LC"	"LC___LC"
"Calamus muricatus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus myriacanthus"	"LC"	"LC"	"LC___LC"
"Calamus myrianthus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus nagbettai"	"NA"	"NA"	"NA___NA"
"Calamus nanduensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus nannostachys"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus nanodendron"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus nematospadix"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus nicobaricus"	"NA"	"NA"	"NA___NA"
"Calamus nicolai"	"NA"	"NA"	"NA___NA"
"Calamus nielsenii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus niger"	"NA"	"NA"	"NA___NA"
"Calamus nitidus"	"NA"	"NA"	"NA___NA"
"Calamus novae-georgii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus nuichuaensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus oblatus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus oblongus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus occidentalis"	"NA"	"NA"	"NA___NA"
"Calamus ochrolepis"	"LC"	"nonLC"	"LC___nonLC"
"Calamus ocreatus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus oligolepis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus oligophyllus"	"NA"	"NA"	"NA___NA"
"Calamus oligostachys"	"LC"	"nonLC"	"LC___nonLC"
"Calamus optimus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus oresbius"	"LC"	"nonLC"	"LC___nonLC"
"Calamus ornatus"	"LC"	"LC"	"LC___LC"
"Calamus orthostachyus"	"NA"	"NA"	"NA___NA"
"Calamus ovoideus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus oxleyanus"	"LC"	"LC"	"LC___LC"
"Calamus oxycarpus"	"LC"	"LC"	"LC___LC"
"Calamus oxycoccus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus pachypus"	"LC"	"LC"	"LC___LC"
"Calamus pachyrostris"	"NA"	"NA"	"NA___NA"
"Calamus pachystemonus"	"NA"	"NA"	"NA___NA"
"Calamus padangensis"	"NA"	"NA"	"NA___NA"
"Calamus palembanicus"	"NA"	"NA"	"NA___NA"
"Calamus pandanosmus"	"LC"	"LC"	"LC___LC"
"Calamus pannosus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus papuanus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus papyraceus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus parutan"	"NA"	"NA"	"NA___NA"
"Calamus parvifructus"	"NA"	"NA"	"NA___NA"
"Calamus parvulus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus paspalanthus"	"LC"	"LC"	"LC___LC"
"Calamus paulii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus pedicellaris"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus pedicellatus"	"NA"	"NA"	"NA___NA"
"Calamus penicillatus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus perakensis"	"NA"	"NA"	"NA___NA"
"Calamus peregrinus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus periacanthus"	"LC"	"LC"	"LC___LC"
"Calamus pholidostachys"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus pilosellus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus pilosissimus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus pintaudii"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus plagiocyclus"	"NA"	"NA"	"NA___NA"
"Calamus platyspathus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus plicatus"	"LC"	"LC"	"LC___LC"
"Calamus poensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus pogonacanthus"	"LC"	"LC"	"LC___LC"
"Calamus pogonotium"	"LC"	"nonLC"	"LC___nonLC"
"Calamus poilanei"	"LC"	"LC"	"LC___LC"
"Calamus politus"	"NA"	"NA"	"NA___NA"
"Calamus polycladus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus polystachys"	"NA"	"NA"	"NA___NA"
"Calamus pseudoconcolor"	"NA"	"NA"	"NA___NA"
"Calamus pseudotenuis"	"NA"	"NA"	"NA___NA"
"Calamus pseudozebrinus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus psilocladus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus pumilus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus pycnocarpus"	"NA"	"NA"	"NA___NA"
"Calamus pygmaeus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus quangngaiensis"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus radiatus"	"NA"	"NA"	"NA___NA"
"Calamus radicalis"	"LC"	"nonLC"	"LC___nonLC"
"Calamus radulosus"	"NA"	"NA"	"NA___NA"
"Calamus rarispinosus"	"NA"	"NA"	"NA___NA"
"Calamus reinwardtii"	"NA"	"NA"	"NA___NA"
"Calamus reticulatus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus retroflexus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus reyesianus"	"nonLC"	"nonLC"	"nonLC___nonLC"
"Calamus rhabdocladus"	"LC"	"LC"	"LC___LC"
"Calamus rheedei"	"NA"	"NA"	"NA___NA"
"Calamus rhomboideus"	"LC"	"LC"	"LC___LC"
"Calamus rhytidomus"	"LC"	"nonLC"	"LC___nonLC"
"Calamus ridleyanus"	"NA"	"NA"	"NA___NA"
"Calamus riedelianus"	"NA"	"NA"	"NA___NA"
"Calamus robinsonianus"	"NA"	"NA"	"NA___NA"
"Calamus rotang"	"NA"	"NA"	"NA___NA"
"Calamus ruber"	"NA"	"NA"	"NA___NA"
"Calamus rudentum"	"LC"	"LC"	"LC___LC"
"Calamus rugosus"	"LC"	"nonLC"	"LC___nonLC"
