"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Calamus mollis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus mollispinus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus monticola"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus moorei"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus moorhousei"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus moseleyanus"	0.702670300985209	0.57350409383411	0	1	0	0	0.726206405142463	0.528106502769991	0	0.695468005155982	0.58739623497155	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus moszkowskianus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus moti"	0.826982840908707	0.325429034828557	0.000581298129611699	0.829585663680598	0.325429034828557	0.000229471671564163	0.702831184046029	0.564898834525531	0.000581298129611699	0.703264056548366	0.569084340941907	0.000229471671564163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus muelleri"	0.669975999343277	0.63539455827445	8.21256296886912e-05	0.831329846767552	0.324479287516714	6.02654980305637e-05	0.669524267111208	0.636858048739063	4.06273575299437e-05	0.831475130324611	0.324479287516714	4.06273575299437e-05	0.669975999343277	0.63539455827445	8.21256296886912e-05	0.831329846767552	0.324479287516714	6.02654980305637e-05	0.669524267111208	0.636858048739063	4.06273575299437e-05	0.831475130324611	0.324479287516714	4.06273575299437e-05
"Calamus multispicatus"	0.700397145977845	0.569327392343556	0.000599962460226037	0.70132970393711	0.569327392343556	0.000473907560416661	0.79648435829372	0.38398966856131	0.000599962460226037	0.673371961403032	0.616996213058261	0.000912420667138714	0.700397145977845	0.569327392343556	0.000599962460226037	0.70132970393711	0.569327392343556	0.000473907560416661	0.79648435829372	0.38398966856131	0.000599962460226037	0.673371961403032	0.616996213058261	0.000912420667138714
"Calamus muricatus"	0.641710019861005	0.657492223238085	0.00235429529651142	1	0	0	0.660673687158755	0.634272381946414	0.00141817013759824	0.607281136685326	0.656901320929962	0.00704949547804275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus myriacanthus"	0.681403122613024	0.613061435931329	0.000102583477256168	0.750125433535643	0.480539680408129	0.000100256483810977	0.683728879379046	0.608575402309408	0.000102583477256168	0.681403122613028	0.61306143593132	0.000102583477256168	0.681403122613024	0.613061435931329	0.000102583477256168	0.750125433535643	0.480539680408129	0.000100256483810977	0.683728879379046	0.608575402309408	0.000102583477256168	0.681403122613028	0.61306143593132	0.000102583477256168
"Calamus myrianthus"	0.616314553699562	0.660555452939628	0.00557236181864279	0.65851432962208	0.658674295222962	0	0.594985949672062	0.662820161420017	0.00829666533021959	0.65851432962208	0.658674295222962	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nagbettai"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nanduensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nannostachys"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calamus nanodendron"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
