PD	FD	Score1	Score2	PSA
0.71829589211363	0.135863581460588	1	0	0
0.524848780393222	0.0450462622472691	0.87476815636166	0.170808985373418	0.149418261225111
0.204482398160208	0.0761748789999897	0.952009638306711	0.0114158566569815	0.0108680055669742
0.204482398159105	0.045915662666434	1	0.354929408528066	0.354929408528066
0.0349411357377516	0.0124119942330914	0.962371324449808	0.837936793098814	0.80640634137973
0.825728388933918	0.0657976505745876	0.858084505328765	0	0
0.645801507676908	0.00859783110816915	1	0.511344719032931	0.511344719032931
0.212340855625448	0.0711952284900733	0.860434154064379	0.0631881474009899	0.054369240155866
0.825728388934767	0.0749802976172321	0.876171904483221	0	0
0.825728388934536	0.0602937298241129	0.868061528921118	0	0
0.825728388934838	0.0616562590527931	1	0	0
0.825728388934207	0.0238683161856823	1	0.229038254667979	0.229038254667979
0.72061268387441	0.326780560652615	1	0	0
0.999662231584968	0.0387883066968644	0.951528243229501	0	0
0.999662231585506	0.0835942973604079	0.924259244699917	0	0
0.999662231585081	0.00298681453205602	1	0.36077114052232	0.36077114052232
0.720612683874939	0.0835615411364007	1	0	0
0.720612683874989	0.171272406976154	1	0	0
0.825728388932975	0.461807741166764	1	0	0
0.718576076827704	0.219742990667043	1	0	0
0.825728388936475	0.194904793353106	1	0	0
0.999662231585485	0.0537443700518506	0.760645744013922	0	0
0.086553750285201	0.000801419201190493	0.952071462382298	0.938491454486465	0.893510931506219
0.0865537502851908	0.00447698805838749	1	0.896765069395663	0.896765069395663
0.192310359307934	0.0217705280680531	0.896419947287607	0.636404182326127	0.5704854035744
0.935227132400134	0.271186041897329	1	0	0
0.825728388934838	0.0616562590527931	1	0	0
0.825728388934207	0.0238683161856823	1	0.229038254667979	0.229038254667979
0.72061268387441	0.326780560652615	1	0	0
0.999662231584968	0.0387883066968644	1	0	0
0.999662231585506	0.0835942973604079	1	0	0
0.999662231585081	0.00298681453205602	1	0.36077114052232	0.36077114052232
0.720612683874939	0.0835615411364007	1	0	0
0.720612683874989	0.171272406976154	1	0	0
0.825728388932975	0.461807741166764	1	0	0
0.718576076827704	0.219742990667043	1	0	0
0.825728388936475	0.194904793353106	1	0	0
0.999662231585485	0.0537443700518506	1	0	0
0.086553750285201	0.000801419201190493	0.94826167615146	0.938491454486465	0.889935479685157
0.0865537502851908	0.00447698805838749	1	0.896765069395663	0.896765069395663
0.192310359307934	0.0217705280680531	1	0.636404182326127	0.636404182326127
0.935227132400134	0.271186041897329	1	0	0
0.825728388934838	0.0616562590527931	1	0	0
0.825728388934207	0.0238683161856823	1	0.229038254667979	0.229038254667979
0.72061268387441	0.326780560652615	1	0	0
0.999662231584968	0.0387883066968644	0.933684495433385	0	0
0.999662231585506	0.0835942973604079	0.909924783840869	0	0
0.999662231585081	0.00298681453205602	0.90069270156886	0.36077114052232	0.324943933205127
0.720612683874939	0.0835615411364007	1	0	0
0.720612683874989	0.171272406976154	1	0	0
0.825728388932975	0.461807741166764	1	0	0
0.718576076827704	0.219742990667043	1	0	0
0.825728388936475	0.194904793353106	1	0	0
0.999662231585485	0.0537443700518506	0.671398323002546	0	0
0.086553750285201	0.000801419201190493	0.952071462382298	0.938491454486465	0.893510931506219
0.0865537502851908	0.00447698805838749	1	0.896765069395663	0.896765069395663
0.192310359307934	0.0217705280680531	0.893679667598833	0.636404182326127	0.568741478119721
0.935227132400134	0.271186041897329	1	0	0
0.825728388934985	0.0208586603393319	1	0.263204954766112	0.263204954766112
0.825728388934357	0.0298323570493507	1	0.161332308882798	0.161332308882798
0.720612683874558	0.273982073254006	1	0	0
0.999662231585119	0.0149366201906577	0.951528243229501	0.225112631038846	0.214201026341164
0.999662231585657	0.0300223080472279	0.924259244699917	0.0538544543265158	0.0497754772795517
0.999662231585227	0.0507105334992108	1	0	0
0.72061268387509	0.0299341758602663	1	0.22382671631726	0.22382671631726
0.720612683875144	0.122128427172735	1	0	0
0.825728388933126	0.439710942634743	1	0	0
0.718576076827851	0.208104931247408	1	0	0
0.825728388936625	0.143826970288083	1	0	0
0.999662231585629	0.0022964927634313	0.760645744013922	0.368607922547661	0.280380047495692
0.492561941095993	0.0536985600850893	0.952071462382298	0.0921354958818243	0.0877195763015267
0.492561941095983	0.0581681285527799	1	0.0413953404614215	0.0413953404614215
0.492561941096582	0.0378659004623312	0.896419947287607	0.271873565850509	0.243712887568607
0.935227132400279	0.218150680987456	1	0	0
0.825728388934985	0.0208586603393319	1	0.263204954766112	0.263204954766112
0.825728388934357	0.0298323570493507	1	0.161332308882798	0.161332308882798
0.720612683874558	0.273982073254006	1	0	0
0.999662231585119	0.0149366201906577	1	0.225112631038846	0.225112631038846
0.999662231585657	0.0300223080472279	1	0.0538544543265158	0.0538544543265158
0.999662231585227	0.0507105334992108	1	0	0
0.72061268387509	0.0299341758602663	1	0.22382671631726	0.22382671631726
0.720612683875144	0.122128427172735	1	0	0
0.825728388933126	0.439710942634743	1	0	0
0.718576076827851	0.208104931247408	1	0	0
0.825728388936625	0.143826970288083	1	0	0
0.999662231585629	0.0022964927634313	1	0.368607922547661	0.368607922547661
0.492561941095993	0.0536985600850893	0.94826167615146	0.0921354958818243	0.0873685597579447
0.492561941095983	0.0581681285527799	1	0.0413953404614215	0.0413953404614215
0.492561941096582	0.0378659004623312	1	0.271873565850509	0.271873565850509
0.935227132400279	0.218150680987456	1	0	0
0.825728388934985	0.0208586603393319	1	0.263204954766112	0.263204954766112
0.825728388934357	0.0298323570493507	1	0.161332308882798	0.161332308882798
0.720612683874558	0.273982073254006	1	0	0
