PD	FD	Score1	Score2	PSA
0.938553370651546	0.197065067666331	1	0	0
0.880406376365788	0.0690794897065666	0.627522784177315	0.0325065317096437	0.0203985892823838
0.706970745902478	0.114541094095326	0.728265804092946	0	0
0.706970745901494	0.0703734552826821	1	0.112850379901813	0.112850379901813
0.396519309923094	0.0194443985544467	0.77748802700982	0.650576734293968	0.505815621564709
0.964424502050183	0.0995810019701535	0.612751930463153	0	0
0.918822204128689	0.0135034940058337	1	0.42374297633049	0.42374297633049
0.713856527781801	0.107386144069745	0.629560287452114	0	0
0.964424502050374	0.112828656195242	0.633004919625166	0	0
0.964424502050322	0.0915681448523153	0.624661705692075	0	0
0.96442450205039	0.0935568893613687	1	0	0
0.964424502050248	0.0371095446758281	1	0.225462466714917	0.225462466714917
0.939150819022133	0.427662236319141	1	0	0
0.999937207476512	0.0597230788922709	0.723090504947215	0.0397555115068411	0.0287468328899165
0.999937207476612	0.125121149061646	0.684283851599171	0	0
0.999937207476533	0.00470867347627876	1	0.446753745788227	0.446753745788227
0.939150819022269	0.12507464830994	1	0	0
0.939150819022282	0.243405881840798	1	0	0
0.964424502049971	0.567061836068265	1	0	0
0.938625725651254	0.304006691157271	1	0	0
0.964424502050758	0.273344418545892	1	0	0
0.999937207476608	0.0819612906594164	0.568151724165947	0	0
0.552101702964659	0.00126528656015093	0.726633014531486	0.704405611754745	0.511844373122246
0.552101702964638	0.00705085114104351	1	0.661603830095223	0.661603830095223
0.695777394707616	0.033894715642953	0.655488394728963	0.388524323107241	0.254673184866722
0.987554881314866	0.365067775224957	1	0	0
0.96442450205039	0.0935568893613687	1	0	0
0.964424502050248	0.0371095446758281	1	0.225462466714917	0.225462466714917
0.939150819022133	0.427662236319141	1	0	0
0.999937207476512	0.0597230788922709	1	0.0397555115068411	0.0397555115068411
0.999937207476612	0.125121149061646	1	0	0
0.999937207476533	0.00470867347627876	1	0.446753745788227	0.446753745788227
0.939150819022269	0.12507464830994	1	0	0
0.939150819022282	0.243405881840798	1	0	0
0.964424502049971	0.567061836068265	1	0	0
0.938625725651254	0.304006691157271	1	0	0
0.964424502050758	0.273344418545892	1	0	0
0.999937207476608	0.0819612906594164	1	0	0
0.552101702964659	0.00126528656015093	0.722714261566148	0.704405611754745	0.509083981542381
0.552101702964638	0.00705085114104351	1	0.661603830095223	0.661603830095223
0.695777394707616	0.033894715642953	1	0.388524323107241	0.388524323107241
0.987554881314866	0.365067775224957	1	0	0
0.96442450205039	0.0935568893613687	1	0	0
0.964424502050248	0.0371095446758281	1	0.225462466714917	0.225462466714917
0.939150819022133	0.427662236319141	1	0	0
0.999937207476512	0.0597230788922709	0.692993629868753	0.0397555115068411	0.0275503162264148
0.999937207476612	0.125121149061646	0.664875215737002	0	0
0.999937207476533	0.00470867347627876	0.654133401025777	0.446753745788227	0.292236547153458
0.939150819022269	0.12507464830994	1	0	0
0.939150819022282	0.243405881840798	1	0	0
0.964424502049971	0.567061836068265	1	0	0
0.938625725651254	0.304006691157271	1	0	0
0.964424502050758	0.273344418545892	1	0	0
0.999937207476608	0.0819612906594164	0.537332423518648	0	0
0.552101702964659	0.00126528656015093	0.726633014531486	0.704405611754745	0.511844373122246
0.552101702964638	0.00705085114104351	1	0.661603830095223	0.661603830095223
0.695777394707616	0.033894715642953	0.651494789825817	0.388524323107241	0.25312157222497
0.987554881314866	0.365067775224957	1	0	0
0.964424502050423	0.0324945350629171	1	0.259604447336877	0.259604447336877
0.964424502050282	0.046201424639324	1	0.158200463909257	0.158200463909257
0.939150819022171	0.368297061444916	1	0	0
0.99993720747654	0.023360218673976	0.723090504947215	0.308769050603718	0.223267968713115
0.99993720747664	0.046489838560583	0.684283851599171	0.137655423504237	0.0941953833889943
0.99993720747656	0.0774842888338188	1	0	0
0.939150819022308	0.0463560310420628	1	0.170159667862051	0.170159667862051
0.939150819022322	0.178583855028025	1	0	0
0.964424502050005	0.545355111973109	1	0	0
0.938625725651292	0.289739642582585	1	0	0
0.964424502050792	0.207648049484814	1	0	0
0.999937207476635	0.00362207155506273	0.568151724165947	0.454792459647892	0.258391120086622
0.868659013196488	0.0818938164808407	0.726633014531486	0	0
0.868659013196484	0.0884588615257238	1	0	0
0.868659013196709	0.0583376246145637	0.655488394728963	0.118065523147779	0.0773905802409731
0.987554881314895	0.302064919870633	1	0	0
0.964424502050423	0.0324945350629171	1	0.259604447336877	0.259604447336877
0.964424502050282	0.046201424639324	1	0.158200463909257	0.158200463909257
0.939150819022171	0.368297061444916	1	0	0
0.99993720747654	0.023360218673976	1	0.308769050603718	0.308769050603718
0.99993720747664	0.046489838560583	1	0.137655423504237	0.137655423504237
0.99993720747656	0.0774842888338188	1	0	0
0.939150819022308	0.0463560310420628	1	0.170159667862051	0.170159667862051
0.939150819022322	0.178583855028025	1	0	0
0.964424502050005	0.545355111973109	1	0	0
0.938625725651292	0.289739642582585	1	0	0
0.964424502050792	0.207648049484814	1	0	0
0.999937207476635	0.00362207155506273	1	0.454792459647892	0.454792459647892
0.868659013196488	0.0818938164808407	0.722714261566148	0	0
0.868659013196484	0.0884588615257238	1	0	0
0.868659013196709	0.0583376246145637	1	0.118065523147779	0.118065523147779
0.987554881314895	0.302064919870633	1	0	0
0.964424502050423	0.0324945350629171	1	0.259604447336877	0.259604447336877
0.964424502050282	0.046201424639324	1	0.158200463909257	0.158200463909257
0.939150819022171	0.368297061444916	1	0	0
0.99993720747654	0.023360218673976	1	0.308769050603718	0.308769050603718
0.99993720747664	0.046489838560583	0.801399004976162	0.137655423504237	0.110316919425868
