"Continent"	"LC__RLa__PER"	"nonLC__RLa__PER"	"LC__RLa__NUM"	"nonLC__RLa__NUM"	"LC__RLro__PER"	"nonLC__RLro__PER"	"LC__RLro__NUM"	"nonLC__RLro__NUM"	"LC__RLr__PER"	"nonLC__RLr__PER"	"LC__RLr__NUM"	"nonLC__RLr__NUM"	"LC__RLa_MLp_BS__PER"	"nonLC__RLa_MLp_BS__PER"	"LC__RLa_MLp_BS__NUM"	"nonLC__RLa_MLp_BS__NUM"	"LC__RLro_MLpr_BS__PER"	"nonLC__RLro_MLpr_BS__PER"	"LC__RLro_MLpr_BS__NUM"	"nonLC__RLro_MLpr_BS__NUM"	"LC__RLr_MLpr_BS__PER"	"nonLC__RLr_MLpr_BS__PER"	"LC__RLr_MLpr_BS__NUM"	"nonLC__RLr_MLpr_BS__NUM"	"LC__RLa_MLp_WS__PER"	"nonLC__RLa_MLp_WS__PER"	"LC__RLa_MLp_WS__NUM"	"nonLC__RLa_MLp_WS__NUM"	"LC__RLro_MLpr_WS__PER"	"nonLC__RLro_MLpr_WS__PER"	"LC__RLro_MLpr_WS__NUM"	"nonLC__RLro_MLpr_WS__NUM"	"LC__RLr_MLpr_WS__PER"	"nonLC__RLr_MLpr_WS__PER"	"LC__RLr_MLpr_WS__NUM"	"nonLC__RLr_MLpr_WS__NUM"	"LC__RLro_MLpr_EG_BS__PER"	"nonLC__RLro_MLpr_EG_BS__PER"	"LC__RLro_MLpr_EG_BS__NUM"	"nonLC__RLro_MLpr_EG_BS__NUM"	"LC__RLro_MLpr_EG_WS__PER"	"nonLC__RLro_MLpr_EG_WS__PER"	"LC__RLro_MLpr_EG_WS__NUM"	"nonLC__RLro_MLpr_EG_WS__NUM"	"Category"
"11"	"Americas"	20	80	15	60	47.6190476190476	52.3809523809524	10	11	52.6315789473684	47.3684210526316	10	9	61.7283950617284	38.2716049382716	100	62	88.8888888888889	11.1111111111111	144	18	90	10	144	16	54.320987654321	45.679012345679	88	74	74.0740740740741	25.9259259259259	120	42	75	25	120	40	88.622754491018	11.377245508982	148	19	74.251497005988	25.748502994012	124	43	"Used_speciesF"
"12"	"EAsiaPacific"	35.8490566037736	64.1509433962264	19	34	40	60	12	18	57.1428571428571	42.8571428571429	12	9	59.504132231405	40.495867768595	72	49	66.9421487603306	33.0578512396694	81	40	72.3214285714286	27.6785714285714	81	31	43.801652892562	56.198347107438	53	68	45.4545454545455	54.5454545454545	55	66	49.1071428571429	50.8928571428571	55	57	67.175572519084	32.824427480916	88	43	47.3282442748092	52.6717557251908	62	69	"Used_speciesF"
"13"	"A_World"	34.6153846153846	65.3846153846154	90	170	45.7142857142857	54.2857142857143	64	76	60.3960396039604	39.6039603960396	61	40	59.5978062157221	40.4021937842779	326	221	73.308957952468	26.691042047532	401	146	78.3464566929134	21.6535433070866	398	110	45.3382084095064	54.6617915904936	248	299	53.7477148080439	46.2522851919561	294	253	57.2834645669291	42.7165354330709	291	217	70.7979626485569	29.2020373514431	417	172	52.6315789473684	47.3684210526316	310	279	"Used_speciesMa"
"14"	"AfricaWAsia"	48.2142857142857	51.7857142857143	27	29	55.1020408163265	44.8979591836735	27	22	60	40	27	18	55.7142857142857	44.2857142857143	39	31	61.4285714285714	38.5714285714286	43	27	65.1515151515152	34.8484848484849	43	23	50	50	35	35	51.4285714285714	48.5714285714286	36	34	54.5454545454545	45.4545454545455	36	30	58.1081081081081	41.8918918918919	43	31	48.6486486486487	51.3513513513513	36	38	"Used_speciesMa"
"15"	"Americas"	25.5555555555556	74.4444444444444	23	67	53.5714285714286	46.4285714285714	15	13	63.1578947368421	36.8421052631579	12	7	63.9175257731959	36.0824742268041	124	70	88.659793814433	11.340206185567	172	22	91.3513513513514	8.64864864864865	169	16	53.6082474226804	46.3917525773196	104	90	70.6185567010309	29.3814432989691	137	57	72.4324324324324	27.5675675675676	134	51	88.5	11.5	177	23	71	29	142	58	"Used_speciesMa"
"16"	"EAsiaPacific"	35.0877192982456	64.9122807017544	40	74	34.9206349206349	65.0793650793651	22	41	59.4594594594595	40.5405405405405	22	15	57.5971731448763	42.4028268551237	163	120	65.7243816254417	34.2756183745583	186	97	72.3735408560311	27.6264591439689	186	71	38.5159010600707	61.4840989399293	109	174	42.756183745583	57.243816254417	121	162	47.0817120622568	52.9182879377432	121	136	62.5396825396825	37.4603174603175	197	118	41.9047619047619	58.0952380952381	132	183	"Used_speciesMa"
"17"	"A_World"	44.6043165467626	55.3956834532374	62	77	64.2857142857143	35.7142857142857	45	25	84.9056603773585	15.0943396226415	45	8	68.9922480620155	31.0077519379845	178	80	87.5968992248062	12.4031007751938	226	32	93.7759336099585	6.22406639004149	226	15	62.015503875969	37.984496124031	160	98	77.5193798449613	22.4806201550388	200	58	82.9875518672199	17.0124481327801	200	41	86.1313868613139	13.8686131386861	236	38	76.6423357664234	23.3576642335766	210	64	"Used_speciesMe"
"18"	"AfricaWAsia"	75.8620689655172	24.1379310344828	22	7	84.6153846153846	15.3846153846154	22	4	88	12	22	3	81.5789473684211	18.4210526315789	31	7	86.8421052631579	13.1578947368421	33	5	89.1891891891892	10.8108108108108	33	4	73.6842105263158	26.3157894736842	28	10	76.3157894736842	23.6842105263158	29	9	78.3783783783784	21.6216216216216	29	8	84.6153846153846	15.3846153846154	33	6	74.3589743589744	25.6410256410256	29	10	"Used_speciesMe"
"19"	"Americas"	29.0909090909091	70.9090909090909	16	39	80	20	8	2	88.8888888888889	11.1111111111111	8	1	65.8333333333333	34.1666666666667	79	41	96.6666666666667	3.33333333333333	116	4	97.4789915966387	2.52100840336134	116	3	60	40	72	48	87.5	12.5	105	15	88.2352941176471	11.7647058823529	105	14	95.9349593495935	4.0650406504065	118	5	86.9918699186992	13.0081300813008	107	16	"Used_speciesMe"
"20"	"EAsiaPacific"	43.6363636363636	56.3636363636364	24	31	44.1176470588235	55.8823529411765	15	19	78.9473684210526	21.0526315789474	15	4	68	32	68	32	77	23	77	23	90.5882352941177	9.41176470588235	77	8	60	40	60	40	66	34	66	34	77.6470588235294	22.3529411764706	66	19	75.8928571428571	24.1071428571429	85	27	66.0714285714286	33.9285714285714	74	38	"Used_speciesMe"
"21"	"A_World"	27.4509803921569	72.5490196078431	28	74	48.7179487179487	51.2820512820513	19	20	61.2903225806452	38.7096774193548	19	12	56.8627450980392	43.1372549019608	116	88	78.921568627451	21.078431372549	161	43	82.1428571428571	17.8571428571429	161	35	46.078431372549	53.921568627451	94	110	62.2549019607843	37.7450980392157	127	77	64.7959183673469	35.2040816326531	127	69	78.3018867924528	21.6981132075472	166	46	62.2641509433962	37.7358490566038	132	80	"Used_speciesC"
"22"	"AfricaWAsia"	77.7777777777778	22.2222222222222	7	2	87.5	12.5	7	1	87.5	12.5	7	1	80	20	12	3	86.6666666666667	13.3333333333333	13	2	86.6666666666667	13.3333333333333	13	2	80	20	12	3	80	20	12	3	80	20	12	3	86.6666666666667	13.3333333333333	13	2	80	20	12	3	"Used_speciesC"
