LEVEL3_NAM	LEVEL3_COD	LEVEL2_COD	LEVEL1_COD	LEVEL3_SPE_HUF_B	LEVEL3_SPE_HUMa_B	LEVEL3_SPE_HUMe_B	LEVEL3_SPE_HUC_B	LEVEL3_SPE_HUA_B	LEVEL3_SPE_FD2_B	LEVEL3_SPE_ED2_B	LEVEL3_SPE_COM_B	LEVEL3_SPE_HUF_W	LEVEL3_SPE_HUMa_W	LEVEL3_SPE_HUMe_W	LEVEL3_SPE_HUC_W	LEVEL3_SPE_HUA_W	LEVEL3_SPE_FD2_W	LEVEL3_SPE_ED2_W	LEVEL3_SPE_COM_W	LEVEL3_SPE_HUF_R	LEVEL3_SPE_HUMa_R	LEVEL3_SPE_HUMe_R	LEVEL3_SPE_HUC_R	LEVEL3_SPE_HUA_R	LEVEL3_SPE_FD2_R	LEVEL3_SPE_ED2_R	LEVEL3_SPE_COM_R	LEVEL3_SPE_HUF_B2	LEVEL3_SPE_HUMa_B2	LEVEL3_SPE_HUMe_B2	LEVEL3_SPE_HUC_B2	LEVEL3_SPE_HUA_B2	LEVEL3_SPE_FD2_B2	LEVEL3_SPE_ED2_B2	LEVEL3_SPE_COM_B2	LEVEL3_SPE_HUF_W2	LEVEL3_SPE_HUMa_W2	LEVEL3_SPE_HUMe_W2	LEVEL3_SPE_HUC_W2	LEVEL3_SPE_HUA_W2	LEVEL3_SPE_FD2_W2	LEVEL3_SPE_ED2_W2	LEVEL3_SPE_COM_W2	LEVEL3_SPE_HUF_R2	LEVEL3_SPE_HUMa_R2	LEVEL3_SPE_HUMe_R2	LEVEL3_SPE_HUC_R2	LEVEL3_SPE_HUA_R2	LEVEL3_SPE_FD2_R2	LEVEL3_SPE_ED2_R2	LEVEL3_SPE_COM_R2	LEVEL3_SPE_GAP_RL	LEVEL3_SPE_GAP_RLML	LEVEL3_SPE_speNum	LEVEL3_SPE_speNumCat	Continent
France	FRA	12	1	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0	0	1	1-10	AfricaWAsia
Germany	GER	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Great Britain	GRB	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Greece	GRC	13	1	NA	NA	0	NA	0	0	NA	0	NA	NA	0	NA	50	0	NA	50	NA	NA	0	NA	0	0	NA	0	NOC	NOC	0_20	NOC	0_20	0_20	NOC	0_20	NOC	NOC	0_20	NOC	40_60	0_20	NOC	40_60	NOC	NOC	0_20	NOC	0_20	0_20	NOC	0_20	1	0	2	1-10	AfricaWAsia
Hungary	HUN	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Iceland	ICE	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Ireland	IRE	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Italy	ITA	13	1	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	3	0	5	1-10	AfricaWAsia
Kriti	KRI	13	1	0	0	0	NA	0	0	0	0	0	0	0	NA	50	0	0	50	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	40_60	0_20	0_20	40_60	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	2	0	2	1-10	AfricaWAsia
Krym	KRY	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Netherlands	NET	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Norway	NOR	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Poland	POL	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Portugal	POR	12	1	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0	0	1	1-10	AfricaWAsia
Romania	ROM	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Central European Russia	RUC	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
East European Russia	RUE	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
North European Russia	RUN	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
South European Russia	RUS	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Northwest European Russia	RUW	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
Sardegna	SAR	12	1	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0	0	1	1-10	AfricaWAsia
Sicilia	SIC	13	1	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	0_20	0_20	0_20	NOC	0_20	0_20	0_20	0_20	1	0	3	1-10	AfricaWAsia
Spain	SPA	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	0_20	3	0	5	1-10	AfricaWAsia
Svalbard	SVA	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AfricaWAsia
