"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Astrocaryum murumuru"	0.967383209197188	0.014105652307198	0.00212074399451868	0.967383209197188	0.014105652307198	0.00212074399451868	0.967383209197188	0.014105652307198	0.00212074399451868	0.967383209197188	0.014105652307198	0.00212074399451868	0.967383209197188	0.014105652307198	0.00212074399451868	0.967383209197188	0.014105652307198	0.00212074399451868	0.967383209197188	0.014105652307198	0.00212074399451868	0.967383209197188	0.014105652307198	0.00212074399451868
"Astrocaryum paramaca"	0.864941589842083	0.114466141491866	0.00579141076275721	0.864941589842083	0.114466141491866	0.00579141076275721	0.864700038871238	0.114865052479868	0.00579141076275721	0.864700038871238	0.114865052479868	0.00579141076275721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Astrocaryum perangustatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Astrocaryum rodriguesii"	0.913088531670421	0.113043500741668	0.00162615427875331	0.913088531670421	0.113043500741668	0.00162615427875331	0.893936283071104	0.114198246430784	0.00325163287590063	0.895097341444164	0.114198246430784	0.00314935826025585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Astrocaryum sciophilum"	1	0	0	1	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Astrocaryum scopatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Astrocaryum sociale"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Astrocaryum standleyanum"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Astrocaryum triandrum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Astrocaryum tucuma"	1	0	0	1	0	0	0.926395415500354	0.0800933052160391	0.00221152289437978	0.937457164899229	0.0800933052160391	0.00123712212833832	1	0	0	1	0	0	0.926395415500354	0.0800933052160391	0.00221152289437978	0.937457164899229	0.0800933052160391	0.00123712212833832
