"Tree_name"	"Acc_name"	"AverageED"	"AverageED_noBurnin"
"Copernicia brittonorum"	"Copernicia brittonorum"	9.50278815425615	9.5244087849957
"Copernicia cowellii"	"Copernicia cowellii"	9.71496086726387	9.84290949319518
"Copernicia curbeloi"	"Copernicia curbeloi"	9.4842411815783	9.6849825694681
"Copernicia curtissii"	"Copernicia curtissii"	7.14372765770629	7.29177264088668
"Copernicia ekmanii"	"Copernicia ekmanii"	8.69574841824926	8.72728362806468
"Copernicia fallaensis"	"Copernicia fallaensis"	10.1721217317518	10.2864655115873
"Copernicia gigas"	"Copernicia gigas"	9.74219107704367	9.87748327993013
"Copernicia glabrescens"	"Copernicia glabrescens"	10.4554599126222	10.4901104121327
"Copernicia hospita"	"Copernicia hospita"	6.73416155283225	6.81758141313439
"Copernicia humicola"	"Copernicia humicola"	9.51473760422606	9.65515710907368
"Copernicia longiglossa"	"Copernicia longiglossa"	9.75179417942377	9.80233154971256
"Copernicia macroglossa"	"Copernicia macroglossa"	7.08922270091434	7.20269045265186
"Copernicia molinetii"	"Copernicia molinetii"	9.61234314106477	9.53883110941106
"Copernicia oxycalyx"	"Copernicia oxycalyx"	9.61270806722166	9.62958619592646
"Copernicia prunifera"	"Copernicia prunifera"	12.3314648621124	12.3548642783513
"Copernicia rigida"	"Copernicia rigida"	7.81895812577044	7.84840430767995
"Copernicia roigii"	"Copernicia roigii"	9.56804978182498	9.58009774775871
"Copernicia tectorum"	"Copernicia tectorum"	9.75918629122084	9.7980247421468
"Copernicia yarey"	"Copernicia yarey"	6.8080445192965	6.87904848776554
"Corypha lecomtei"	"Corypha lecomtei"	25.6586468852462	25.5149981419261
"Corypha microclada"	"Corypha microclada"	26.5347838775392	26.1920055765862
"Corypha taliera"	"Corypha taliera"	22.8390040621813	22.6163376967777
"Corypha umbraculifera"	"Corypha umbraculifera"	22.825501253376	22.464375672461
"Corypha utan"	"Corypha utan"	28.48543346324	28.1737117157671
"Cryosophila bartlettii"	"Cryosophila bartlettii"	11.6599855253252	11.614998976417
"Cryosophila cookii"	"Cryosophila cookii"	11.3867865403601	11.3735230345609
"Cryosophila grayumii"	"Cryosophila grayumii"	11.4941776650665	11.5002980869577
"Cryosophila guagara"	"Cryosophila guagara"	11.3409107338556	11.4511979948148
"Cryosophila kalbreyeri"	"Cryosophila kalbreyeri"	11.5802890184678	11.6915705789191
"Cryosophila macrocarpa"	"Cryosophila macrocarpa"	11.0802803556867	11.076658031383
"Cryosophila nana"	"Cryosophila nana"	11.4116812406579	11.3881480722185
"Cryosophila stauracantha"	"Cryosophila stauracantha"	10.077334220201	10.1478214048256
"Cryosophila warscewiczii"	"Cryosophila warscewiczii"	10.6441213142438	10.7409395417045
"Cryosophila williamsii"	"Cryosophila williamsii"	11.4887042010355	11.6014774123133
"Cyphokentia cerifera"	"Cyphokentia cerifera"	9.52483796369466	9.55452804969875
"Cyphokentia macrostachya"	"Cyphokentia macrostachya"	9.52483796369466	9.55452804969875
"Cyphophoenix alba"	"Cyphophoenix alba"	7.02095122155227	7.0386224482923
"Cyphophoenix elegans"	"Cyphophoenix elegans"	5.14974174361199	5.15766256345888
"Cyphophoenix fulcita"	"Cyphophoenix fulcita"	7.46612856074124	7.48407928359779
"Cyphophoenix nucele"	"Cyphophoenix nucele"	5.15648569255589	5.16565118636055
"Cyphosperma balansae"	"Cyphosperma balansae"	5.06320488119632	5.0539104971846
"Cyphosperma naboutinense"	"Cyphosperma naboutinense"	5.0370380029496	5.00822108842279
"Cyphosperma tanga"	"Cyphosperma tanga"	5.06584765521009	5.04460063255712
"Cyphosperma trichospadix"	"Cyphosperma trichospadix"	5.07138038736249	5.03462701675123
"Cyphosperma voutmelense"	"Cyphosperma voutmelense"	4.98287551510729	5.01118014677995
"Cyrtostachys bakeri"	"Cyrtostachys bakeri"	8.94604316865825	9.00556088729563
"Cyrtostachys barbata"	"Cyrtostachys barbata"	10.0816568226539	10.0678011164562
"Cyrtostachys elegans"	"Cyrtostachys elegans"	11.4555574188795	11.3885090980736
"Cyrtostachys excelsa"	"Cyrtostachys excelsa"	12.6784036646115	12.7923118659295
"Cyrtostachys glauca"	"Cyrtostachys glauca"	7.99710692798511	8.00516689407069
"Cyrtostachys loriae"	"Cyrtostachys loriae"	8.71490561640517	8.74404753945848
"Cyrtostachys renda"	"Cyrtostachys renda"	7.99009265413274	7.99416082078073
"Daemonorops acamptostachys"	"Calamus acamptostachys"	4.89540671120937	4.91513698742868
"Daemonorops acehensis"	"Calamus acehensis"	4.84568413826778	4.85948126759025
"Daemonorops affinis"	"Calamus affinis"	4.90057265477281	4.92304741465648
"Daemonorops angustifolia"	"Calamus angustifolius"	4.93009033060188	4.86376600566503
"Daemonorops aruensis"	"Calamus melanochaetes"	4.96464151749784	4.95343263940718
"Daemonorops asteracantha"	"Calamus asteracanthus"	4.87681411921726	4.86788195684623
"Daemonorops atra"	"Calamus ater"	4.83610947472034	4.84503214613281
"Daemonorops aurea"	"Calamus luteus"	4.87555472910286	4.88891814437137
"Daemonorops banggiensis"	"Calamus banggiensis"	4.81857139272948	4.89851260672648
"Daemonorops beguinii"	"Calamus beguinii"	4.73042147996562	4.69327049220634
"Daemonorops binnendijkii"	"Calamus binnendijkii"	4.952636053423	4.94225955930998
"Daemonorops brachystachys"	"Calamus brachypodus"	4.89057843252929	4.88173105934282
"Daemonorops brevicaulis"	"Calamus brevicaulis"	3.9108303571401	3.89481904164318
"Daemonorops calapparia"	"Calamus calapparius"	4.65913215888559	4.71648578877405
"Daemonorops calicarpa"	"Calamus calicarpus"	4.99495976338676	4.99798612013488
"Daemonorops clemensiana"	"Calamus clemensianus"	4.85440870072165	4.88895455182076
"Daemonorops collarifera"	"Calamus collarifer"	4.78515759807635	4.84936671827013
"Daemonorops confusa"	"Calamus confusus"	4.78815049652114	4.85230260604837
"Daemonorops crinita"	"Calamus crinitus"	4.7964734732715	4.7956064688568
"Daemonorops cristata"	"Calamus cristatus"	4.60308890045685	4.79100414980217
"Daemonorops curranii"	"Calamus curranii"	4.7822375252561	4.8196425445691
"Daemonorops depressiuscula"	"Calamus depressiusculus"	5.0250342232051	5.11558300791467
"Daemonorops didymophylla"	"Calamus didymophyllus"	5.51129475966349	5.52979107062579
"Daemonorops draco"	"Calamus draco"	4.91518067987392	4.93205969096585
"Daemonorops dracunculus"	"Calamus dracunculus"	4.74945278878741	4.77498729301911
"Daemonorops dransfieldii"	"Calamus johndransfieldii"	4.88413611895751	4.93807880442416
"Daemonorops elongata"	"Calamus elongatus"	4.79209568022939	4.85249060417053
"Daemonorops fissa"	"Calamus fissus"	4.94490290940778	4.99745707220838
"Daemonorops fissilis"	"Calamus fissilis"	3.91902096363366	3.89524078824026
"Daemonorops forbesii"	"Calamus forbesii"	4.76532626805875	4.71876952684073
"Daemonorops formicaria"	"Calamus formicarius"	5.0438429186786	5.07371472179309
"Daemonorops geniculata"	"Calamus geniculatus"	4.86960157892495	4.95432674880248
"Daemonorops gracilipes"	"Calamus gracilipes"	4.94594658278531	5.0148542664533
"Daemonorops gracilis"	"Calamus flexilis"	4.91945690384614	4.91047730159472
"Daemonorops grandis"	"Calamus grandis"	4.75628432559449	4.75126394014616
"Daemonorops hirsuta"	"Calamus hirsutus"	4.70014850451518	4.63153723135145
"Daemonorops horrida"	"Calamus horridus"	4.86093954472053	4.79887502107278
"Daemonorops ingens"	"Calamus ingens"	4.70572332678058	4.70349046032982
"Daemonorops jenkinsiana"	"Calamus jenkinsianus"	4.71746576751286	4.73967889858794
"Daemonorops korthalsii"	"Calamus korthalsii"	4.76752218260811	4.76875678382272
"Daemonorops kunstleri"	"Calamus kunstleri"	4.72553577663971	4.76015943906677
"Daemonorops kurziana"	"Calamus kurzianus"	4.81195460983135	4.79490405644061
"Daemonorops lamprolepis"	"Calamus lamprolepis"	4.64218939425657	4.6421560915235
"Daemonorops leptopus"	"Calamus leptopus"	4.8473162652001	4.86390574438148
"Daemonorops lewisiana"	"Calamus lewisianus"	4.89008164111816	4.82341621810517
"Daemonorops loheriana"	"Calamus loherianus"	4.68082629991168	4.71543273012523
"Daemonorops longipes"	"Calamus gracilipes"	5.15984172696905	5.14373043765853
"Daemonorops longispatha"	"Calamus longibracteatus"	5.02655936971687	4.95963160782364
"Daemonorops longispinosa"	"Calamus longispinosus"	4.72719052681771	4.7784561010483
"Daemonorops longistipes"	"Calamus longistipes"	4.83497111431659	4.89039838775962
"Daemonorops macrophylla"	"Calamus macrophyllus"	4.74844079602497	4.80751477689949
"Daemonorops macroptera"	"Calamus macropterus"	4.81036632390838	4.84315297579854
"Daemonorops maculata"	"Calamus maculatus"	4.863192466517	4.84525062303954
"Daemonorops manii"	"Calamus manii"	4.65346064375998	4.76422894904021
"Daemonorops megalocarpa"	"Calamus megalocarpus"	4.76549408511156	4.8096351157225
"Daemonorops melanochaetes"	"Calamus melanochaetes"	4.63512797701233	4.60017231462449
"Daemonorops micracantha"	"Calamus micracanthus"	4.80428966263599	4.82645354642595
"Daemonorops microcarpa"	"Calamus parvifructus"	4.71740238800552	4.7533160981971
"Daemonorops microstachys"	"Calamus microstachys"	4.78120456119408	4.72622338393102
"Daemonorops mirabilis"	"Calamus mirabilis"	4.91943009622541	4.90694711944157
"Daemonorops mogeana"	"Calamus mogeanus"	4.67106398311301	4.68660180420391
"Daemonorops mollis"	"Calamus mollis"	4.69904000888802	4.65496990718451
"Daemonorops mollispina"	"Calamus mollispinus"	4.74323562761183	4.78972143328985
"Daemonorops monticola"	"Calamus monticola"	4.73811415311398	4.76518348973234
"Daemonorops nigra"	"Calamus niger"	4.72688308272076	4.75461482032491
"Daemonorops nuichuaensis"	"Calamus nuichuaensis"	4.01436559737979	3.98937576925215
"Daemonorops oblata"	"Calamus oblatus"	4.72037988161214	4.75343356870667
"Daemonorops oblonga"	"Calamus oblongus"	4.69430128227004	4.66548962002739
"Daemonorops ochrolepis"	"Calamus ochrolepis"	4.77191773901513	4.75661648904923
"Daemonorops ocreata"	"Calamus ocreatus"	4.87312184097561	4.93036009531401
"Daemonorops oligolepis"	"Calamus oligolepis"	4.64287223939521	4.69913217514704
"Daemonorops oligophylla"	"Calamus oligophyllus"	5.05147462580372	5.07997819033538
"Daemonorops oxycarpa"	"Calamus oxycoccus"	4.94412248185667	5.02947285117706
"Daemonorops pachyrostris"	"Calamus pachyrostris"	4.84751659588416	4.8385619680607
"Daemonorops palembanica"	"Calamus palembanicus"	4.75990637935544	4.7962519533272
"Daemonorops pannosa"	"Calamus pannosus"	4.68794174714512	4.72936947165449
"Daemonorops pedicellaris"	"Calamus pedicellaris"	4.73803270803686	4.76874257038677
"Daemonorops periacantha"	"Calamus periacanthus"	5.47472956100667	5.57680386535334
"Daemonorops plagiocycla"	"Calamus plagiocyclus"	4.79232917869927	4.86439873779258
"Daemonorops poilanei"	"Calamus eugenei"	4.00813763030914	4.00903609016018
"Daemonorops polita"	"Calamus politus"	4.56729494771113	4.61724301884513
"Daemonorops pumila"	"Calamus pumilus"	4.80318517826379	4.80848235153633
"Daemonorops rarispinosa"	"Calamus rarispinosus"	4.81050017967998	4.83380187333827
"Daemonorops riedeliana"	"Calamus riedelianus"	4.85877146980007	4.86389713203448
"Daemonorops robusta"	"Calamus validus"	4.78916387312113	4.78526427305346
"Daemonorops rubra"	"Calamus ruber"	4.83350556714699	4.84393450175993
"Daemonorops ruptilis"	"Calamus ruptilis"	4.8495693955353	4.93106424421087
"Daemonorops sabut"	"Calamus sabut"	4.81821495665009	4.84019274116257
"Daemonorops sarasinorum"	"Calamus sarasinorum"	4.72730963932917	4.8206032928729
"Daemonorops scapigera"	"Calamus scapigerus"	4.7004534675299	4.62530681569887
"Daemonorops schlechteri"	"Calamus schlechteri"	4.8770753475992	4.81060234784705
"Daemonorops sekundurensis"	"Calamus sekundurensis"	4.94679197953727	5.00895956888035
"Daemonorops sepal"	"Calamus sepal"	4.72163217823809	4.78152271502284
"Daemonorops serpentina"	"Calamus serpentinus"	4.9773607713012	4.98336313644912
"Daemonorops siberutensis"	"Calamus siberutensis"	4.76322839598871	4.77619374991835
"Daemonorops singalana"	"Calamus singalanus"	4.88331388008921	4.83410501642469
"Daemonorops sparsiflora"	"Calamus sparsiflorus"	4.68186146936139	4.74171200002858
"Daemonorops spectabilis"	"Calamus conspectus"	4.92901790877881	4.90972721092639
"Daemonorops stenophylla"	"Calamus stenophyllus"	4.87642586448386	4.85156013998213
"Daemonorops takanensis"	"Calamus takanensis"	4.68655190780676	4.69799335655785
"Daemonorops treubiana"	"Calamus treubianus"	4.77486234884782	4.79750676615712
"Daemonorops trichroa"	"Calamus trichrous"	4.80375692665485	4.83197879960805
"Daemonorops unijuga"	"Calamus unijugus"	4.75536053395768	4.79508411839215
"Daemonorops urdanetana"	"Calamus urdanetanus"	4.86977272859845	4.8151357510731
"Daemonorops uschdraweitiana"	"Calamus uschdraweitianus"	4.73925257860543	4.76389622920321
"Daemonorops verticillaris"	"Calamus verticillaris"	4.78961983709459	4.82150747819204
"Daemonorops wrightmyoensis"	"Calamus wrightmyoensis"	4.88640943017709	4.86434735347147
"Deckenia nobilis"	"Deckenia nobilis"	17.0027826233314	16.9696047744449
"Desmoncus chinantlensis"	"Desmoncus chinantlensis"	7.02517612052693	7.07887897052655
"Desmoncus cirrhifer"	"Desmoncus cirrhifer"	8.15438168553519	8.12192300240463
"Desmoncus costaricensis"	"Desmoncus costaricensis"	6.98387044478182	6.98166559504058
"Desmoncus giganteus"	"Desmoncus giganteus"	6.80081947172966	6.80900820546565
"Desmoncus horridus"	"Desmoncus horridus"	6.95772248697193	6.91646092887874
"Desmoncus interjectus"	"Desmoncus interjectus"	7.043913466882	7.08064386805255
"Desmoncus kunarius"	"Desmoncus kunarius"	6.94923535411614	6.87735060988853
"Desmoncus latisectus"	"Desmoncus latisectus"	6.77644289030395	6.7879954908448
"Desmoncus leptoclonos"	"Desmoncus leptoclonos"	6.8195038646956	6.86068159088309
"Desmoncus loretanus"	"Desmoncus loretanus"	7.01899671752159	6.97588371175203
"Desmoncus madrensis"	"Desmoncus madrensis"	6.94161016190383	6.95086434030219
"Desmoncus mitis"	"Desmoncus mitis"	5.92094666955592	5.91698760255259
"Desmoncus moorei"	"Desmoncus moorei"	7.03413980693532	7.07558328410489
"Desmoncus myriacanthos"	"Desmoncus myriacanthos"	6.87002179866431	6.84492808374564
"Desmoncus obovoideus"	"Desmoncus obovoideus"	6.76798436487702	6.68813895417812
"Desmoncus orthacanthos"	"Desmoncus orthacanthos"	7.07830555812642	7.11721956593754
"Desmoncus osensis"	"Desmoncus osensis"	6.89346924312436	6.86108793232122
"Desmoncus parvulus"	"Desmoncus parvulus"	6.9517384381725	6.98973673286993
"Desmoncus polyacanthos"	"Desmoncus polyacanthos"	5.90433386065726	5.93407188350375
"Desmoncus prunifer"	"Desmoncus prunifer"	6.8480420869359	6.83209771602595
"Desmoncus pumilus"	"Desmoncus pumilus"	6.69999343193185	6.78021681891523
"Desmoncus setosus"	"Desmoncus setosus"	6.88147852283876	6.82147765352453
"Desmoncus stans"	"Desmoncus stans"	6.86713729134893	6.93987977051882
"Desmoncus vacivus"	"Desmoncus vacivus"	6.86343993665137	6.83691351089012
"Dictyocaryum fuscum"	"Dictyocaryum fuscum"	13.9826004035453	13.9942135244391
"Dictyocaryum lamarckianum"	"Dictyocaryum lamarckianum"	13.9368109110837	13.9227361151755
"Dictyocaryum ptarianum"	"Dictyocaryum ptarianum"	14.2885327411953	14.2779496250624
"Dictyosperma album"	"Dictyosperma album"	24.5863426494359	24.5181855939158
"Dransfieldia micrantha"	"Dransfieldia micrantha"	17.3471593710417	17.3424198194583
"Drymophloeus litigiosus"	"Drymophloeus litigiosus"	9.0242167439095	8.9718733964503
"Drymophloeus oliviformis"	"Drymophloeus oliviformis"	8.90301213585401	8.87489651714878
"Drymophloeus whitmeeanus"	"Drymophloeus whitmeeanus"	7.83565312748271	7.7804456146446
"Dypsis acaulis"	"Dypsis acaulis"	3.91296764490773	3.90133647546118
"Dypsis acuminum"	"Dypsis acuminum"	3.97790421377533	3.96386553925538
"Dypsis albofarinosa"	"Dypsis albofarinosa"	3.94325932953344	3.94911554627497
"Dypsis ambanjae"	"Dypsis ambanjae"	3.88891057181427	3.92719105310642
"Dypsis ambilaensis"	"Dypsis ambilaensis"	3.92992493299913	3.88267634508596
