"FD_G","species"
0.285064483367257,"Astrocaryum huicungo"
0.239167226032511,"Astrocaryum jauari"
0.279712836592055,"Astrocaryum javarense"
0.246905208680578,"Astrocaryum macrocalyx"
0.339363981047652,"Astrocaryum malybo"
0.223090105998397,"Astrocaryum mexicanum"
0.256079131430916,"Astrocaryum minus"
0.252826857789811,"Astrocaryum murumuru"
0.224228518906883,"Astrocaryum paramaca"
0.260238318824568,"Astrocaryum perangustatum"
0.227892137103779,"Astrocaryum rodriguesii"
0.235224122608745,"Astrocaryum sciophilum"
0.22044863329403,"Astrocaryum scopatum"
0.309070204954159,"Astrocaryum sociale"
0.236811418641154,"Astrocaryum standleyanum"
0.255172996271809,"Astrocaryum triandrum"
0.226040551645542,"Astrocaryum tucuma"
0.231072379668496,"Astrocaryum ulei"
0.245408661506237,"Astrocaryum urostachys"
0.265148803997471,"Astrocaryum vulgare"
0.339904841323871,"Attalea allenii"
0.347654867290762,"Attalea amygdalina"
0.219256795874945,"Attalea amylacea"
0.315727994324296,"Attalea anisitsiana"
0.223644210710428,"Attalea apoda"
0.331053139995529,"Attalea attaleoides"
0.33039247264896,"Attalea barreirensis"
0.248769002955225,"Attalea bassleriana"
0.227803821645295,"Attalea brasiliensis"
0.257777281418816,"Attalea brejinhoensis"
0.238726983193575,"Attalea burretiana"
0.281362312251661,"Attalea butyracea"
0.315727994324296,"Attalea camopiensis"
0.219256795874945,"Attalea cephalotus"
0.2666056125694,"Attalea cohune"
0.258707518817965,"Attalea colenda"
0.239116722044545,"Attalea compta"
0.225224621491979,"Attalea crassispatha"
0.369604840213737,"Attalea cuatrecasasiana"
0.243346606656865,"Attalea dahlgreniana"
0.315727994324296,"Attalea degranvillei"
0.241978582788732,"Attalea dubia"
0.332201912828893,"Attalea eichleri"
0.332426788948802,"Attalea exigua"
0.222687723602351,"Attalea fairchildensis"
0.258157150985405,"Attalea funifera"
0.327961521393596,"Attalea geraensis"
0.219256795874945,"Attalea guacuyule"
0.315727994324296,"Attalea guianensis"
0.315727994324296,"Attalea hoehnei"
0.219256795874945,"Attalea huebneri"
0.343016163416485,"Attalea humilis"
0.351211708579448,"Attalea iguadummat"
0.340877122052675,"Attalea insignis"
0.219256795874945,"Attalea kewensis"
0.219256795874945,"Attalea lauromuelleriana"
0.221748200322881,"Attalea leandroana"
0.334503671392558,"Attalea luetzelburgii"
0.219256795874945,"Attalea macrolepis"
0.218892636939293,"Attalea magdalenica"
0.219256795874945,"Attalea maracaibensis"
0.254393114477415,"Attalea maripa"
0.315727994324296,"Attalea maripensis"
0.334458207652616,"Attalea microcarpa"
0.22922164088264,"Attalea moorei"
0.337259839556306,"Attalea nucifera"
0.26475515312689,"Attalea oleifera"
0.219256795874945,"Attalea osmantha"
0.221748200322881,"Attalea pacensis"
0.218892636939293,"Attalea peruviana"
0.256255111820078,"Attalea phalerata"
0.253834929173767,"Attalea pindobassu"
0.347069961592505,"Attalea plowmanii"
0.226291513712354,"Attalea princeps"
0.35560632657025,"Attalea racemosa"
0.250211418965406,"Attalea rostrata"
0.219256795874945,"Attalea salazarii"
0.241970403036517,"Attalea salvadorensis"
0.24264392083566,"Attalea seabrensis"
0.250633500838883,"Attalea septuagenata"
0.253054163747528,"Attalea speciosa"
0.328267407221145,"Attalea spectabilis"
0.263015456123848,"Attalea tessmannii"
0.253859232704496,"Attalea vitrivir"
0.315727994324296,"Attalea weberbaueri"
0.219256795874945,"Attalea wesselsboeri"
0.336129744214765,"Bactris acanthocarpa"
0.278353325003588,"Bactris acanthocarpoides"
0.279504244821074,"Bactris ana-juliae"
0.257991939056619,"Bactris aubletiana"
0.249560215766169,"Bactris bahiensis"
0.250160935225328,"Bactris balanophora"
0.250918700004649,"Bactris barronis"
0.271456603315056,"Bactris bidentula"
0.270768077759975,"Bactris bifida"
0.247198318797919,"Bactris brongniartii"
0.280523267827241,"Bactris campestris"
0.271572809808476,"Bactris caryotifolia"
0.25536434296434,"Bactris caudata"
0.272062451923222,"Bactris charnleyae"
0.272652620244677,"Bactris chaveziae"
0.221748200322881,"Bactris chocoensis"
0.251809909040971,"Bactris coloniata"
0.229120205781113,"Bactris coloradonis"
0.245009156007634,"Bactris concinna"
0.279692226747681,"Bactris constanciae"
0.22772197539188,"Bactris corossilla"
0.248792573085227,"Bactris cubensis"
0.281877961632078,"Bactris cuspidata"
0.277837989880331,"Bactris dianeura"
0.271326217340661,"Bactris elegans"
0.246524660920811,"Bactris faucium"
0.243376386951851,"Bactris ferruginea"
0.271785531428064,"Bactris fissifrons"
0.241067530128833,"Bactris gasipaes"
0.332800546213919,"Bactris gastoniana"
0.256084328579047,"Bactris glandulosa"
0.254987880776491,"Bactris glassmanii"
0.270226328439555,"Bactris glaucescens"
0.276982269839594,"Bactris gracilior"
0.254749945553927,"Bactris grayumii"
0.271801442990271,"Bactris guineensis"
0.249090653508825,"Bactris halmoorei"
0.271154869410132,"Bactris hatschbachii"
0.279410725478957,"Bactris herrerana"
0.278512404783376,"Bactris hirta"
0.247104070530268,"Bactris horridispatha"
0.250782887538574,"Bactris jamaicana"
0.276559256693505,"Bactris killipii"
0.249277233421862,"Bactris kunorum"
0.250101620506352,"Bactris longiseta"
0.274879488874903,"Bactris macroacantha"
0.247039975655433,"Bactris major"
0.221748200322881,"Bactris manriquei"
0.243356556282521,"Bactris maraja"
0.247431331958704,"Bactris martiana"
0.27819143162108,"Bactris mexicana"
0.25501572308929,"Bactris militaris"
0.221846662561064,"Bactris nancibaensis"
0.220898774221207,"Bactris obovata"
0.249620118620104,"Bactris oligocarpa"
0.27678823757286,"Bactris oligoclada"
0.278046324042578,"Bactris panamensis"
0.250089378592868,"Bactris pickelii"
0.222516934343237,"Bactris pilosa"
0.277014106907053,"Bactris pliniana"
0.226426579210953,"Bactris plumeriana"
0.221748200322881,"Bactris polystachya"
0.255201704384136,"Bactris ptariana"
0.256119153829475,"Bactris rhaphidacantha"
0.24857880919053,"Bactris riparia"
0.246066686541208,"Bactris rostrata"
0.247715124113746,"Bactris schultesii"
0.274661308860181,"Bactris setiflora"
0.247257528579458,"Bactris setosa"
0.229199929268289,"Bactris setulosa"
0.257406900590931,"Bactris simplicifrons"
0.279036362786645,"Bactris soeiroana"
0.273042544042824,"Bactris sphaerocarpa"
0.279115257373997,"Bactris syagroides"
0.254563882243296,"Bactris tefensis"
0.279446058969354,"Bactris timbuiensis"
0.270942477363208,"Bactris tomentosa"
0.271816660784661,"Bactris turbinocarpa"
0.271712261608843,"Bactris vulgaris"
0.215146241651562,"Balaka diffusa"
0.212822699094214,"Balaka insularis"
0.212839104669803,"Balaka longirostris"
0.240656829507609,"Balaka macrocarpa"
0.215299408242132,"Balaka microcarpa"
0.242055560178212,"Balaka pauciflora"
0.21327822691044,"Balaka samoensis"
0.213520084510458,"Balaka seemannii"
0.21214684116394,"Balaka streptostachys"
0.239687794803874,"Balaka tahitensis"
0.326031034867695,"Barcella odora"
0.22094926000548,"Basselinia deplanchei"
0.246177675114329,"Basselinia eriostachys"
0.210367954665232,"Basselinia favieri"
0.208017187834835,"Basselinia glabrata"
0.236715202570096,"Basselinia gracilis"
0.208454770208549,"Basselinia humboldtiana"
0.209345465223146,"Basselinia iterata"
0.214686887959264,"Basselinia moorei"
0.208374720891072,"Basselinia pancheri"
0.233250159933509,"Basselinia porphyrea"
0.207631186249341,"Basselinia sordida"
0.211974455080678,"Basselinia tomentosa"
0.209171143360874,"Basselinia velutina"
0.26688937470714,"Basselinia vestita"
0.227526711601647,"Beccariophoenix alfredii"
0.221748200322881,"Beccariophoenix fenestralis"
0.226025417450992,"Beccariophoenix madagascariensis"
0.206592328633168,"Bentinckia condapanna"
0.214418368321058,"Bentinckia nicobarica"
0.233180155621266,"Bismarckia nobilis"
0.253003829354545,"Borassodendron borneense"
0.278783882405225,"Borassodendron machadonis"
0.323735849365766,"Borassus aethiopum"
0.292977343176069,"Borassus akeassii"
0.411097333836809,"Borassus flabellifer"
0.298103144765497,"Borassus heineanus"
0.346835384607197,"Borassus madagascariensis"
0.20923165962478,"Brahea aculeata"
0.222814497100935,"Brahea armata"
0.253691105395203,"Brahea brandegeei"
0.214294656586845,"Brahea calcarea"
0.269802115141693,"Brahea decumbens"
0.221836188721493,"Brahea dulcis"
0.227301993319005,"Brahea edulis"
0.319135966221721,"Brahea moorei"
0.248574069023535,"Brahea pimo"
0.207566745321742,"Brahea salvadorensis"
0.243089994084978,"Brahea sarukhanii"
0.212309962104675,"Brassiophoenix drymophloeoides"
0.213907401541592,"Brassiophoenix schumannii"
0.206997361496087,"Burretiokentia dumasii"
0.212394282278315,"Burretiokentia grandiflora"
0.207670752976345,"Burretiokentia hapala"
0.208532422826243,"Burretiokentia koghiensis"
0.208296487838527,"Burretiokentia vieillardii"
0.317079442345478,"Butia archeri"
0.221748200322881,"Butia arenicola"
0.323184171531778,"Butia campicola"
