"Region"	"Scenario"	"Use"	"Category"	"PercentageA"	"NumberA"	"NumberUT"
"1126"	"CHC"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1127"	"CHC"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1128"	"CHC"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1129"	"CHC"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1130"	"CHC"	"BS"	"HUMa"	"C1"	"100"	"1"	"1"
"1131"	"CHC"	"WS"	"HUMa"	"C1"	"100"	"2"	"2"
"1132"	"CHC"	"BS"	"HUMa"	"C2"	"100"	"1"	"1"
"1133"	"CHC"	"WS"	"HUMa"	"C2"	"100"	"2"	"2"
"1134"	"CHC"	"BS"	"HUMa"	"C3"	"0"	"0"	"1"
"1135"	"CHC"	"WS"	"HUMa"	"C3"	"50"	"1"	"2"
"1136"	"CHC"	"BS"	"HUMa"	"C4"	"0"	"0"	"1"
"1137"	"CHC"	"WS"	"HUMa"	"C4"	"50"	"1"	"2"
"1138"	"CHC"	"BS"	"HUMe"	"C1"	"100"	"1"	"1"
"1139"	"CHC"	"WS"	"HUMe"	"C1"	"100"	"1"	"1"
"1140"	"CHC"	"BS"	"HUMe"	"C2"	"100"	"1"	"1"
"1141"	"CHC"	"WS"	"HUMe"	"C2"	"100"	"1"	"1"
"1142"	"CHC"	"BS"	"HUMe"	"C3"	"0"	"0"	"1"
"1143"	"CHC"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"1144"	"CHC"	"BS"	"HUMe"	"C4"	"0"	"0"	"1"
"1145"	"CHC"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"1146"	"CHC"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1147"	"CHC"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1148"	"CHC"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1149"	"CHC"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1150"	"CHC"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1151"	"CHC"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1152"	"CHC"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1153"	"CHC"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1154"	"CHH"	"BS"	"HUF"	"C1"	"100"	"1"	"1"
"1155"	"CHH"	"WS"	"HUF"	"C1"	"100"	"1"	"1"
"1156"	"CHH"	"BS"	"HUF"	"C2"	"100"	"1"	"1"
"1157"	"CHH"	"WS"	"HUF"	"C2"	"100"	"1"	"1"
"1158"	"CHH"	"BS"	"HUF"	"C3"	"100"	"1"	"1"
"1159"	"CHH"	"WS"	"HUF"	"C3"	"100"	"1"	"1"
"1160"	"CHH"	"BS"	"HUF"	"C4"	"100"	"1"	"1"
"1161"	"CHH"	"WS"	"HUF"	"C4"	"100"	"1"	"1"
"1162"	"CHH"	"BS"	"HUMa"	"C1"	"100"	"2"	"2"
"1163"	"CHH"	"WS"	"HUMa"	"C1"	"100"	"2"	"2"
"1164"	"CHH"	"BS"	"HUMa"	"C2"	"100"	"2"	"2"
"1165"	"CHH"	"WS"	"HUMa"	"C2"	"100"	"2"	"2"
"1166"	"CHH"	"BS"	"HUMa"	"C3"	"50"	"1"	"2"
"1167"	"CHH"	"WS"	"HUMa"	"C3"	"50"	"1"	"2"
"1168"	"CHH"	"BS"	"HUMa"	"C4"	"50"	"1"	"2"
"1169"	"CHH"	"WS"	"HUMa"	"C4"	"50"	"1"	"2"
"1170"	"CHH"	"BS"	"HUMe"	"C1"	"100"	"1"	"1"
"1171"	"CHH"	"WS"	"HUMe"	"C1"	"100"	"1"	"1"
"1172"	"CHH"	"BS"	"HUMe"	"C2"	"100"	"1"	"1"
"1173"	"CHH"	"WS"	"HUMe"	"C2"	"100"	"1"	"1"
"1174"	"CHH"	"BS"	"HUMe"	"C3"	"0"	"0"	"1"
"1175"	"CHH"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"1176"	"CHH"	"BS"	"HUMe"	"C4"	"0"	"0"	"1"
"1177"	"CHH"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"1178"	"CHH"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1179"	"CHH"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1180"	"CHH"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1181"	"CHH"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1182"	"CHH"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1183"	"CHH"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1184"	"CHH"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1185"	"CHH"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1186"	"CHS"	"BS"	"HUF"	"C1"	"100"	"1"	"1"
"1187"	"CHS"	"WS"	"HUF"	"C1"	"100"	"1"	"1"
"1188"	"CHS"	"BS"	"HUF"	"C2"	"100"	"1"	"1"
"1189"	"CHS"	"WS"	"HUF"	"C2"	"100"	"1"	"1"
"1190"	"CHS"	"BS"	"HUF"	"C3"	"100"	"1"	"1"
"1191"	"CHS"	"WS"	"HUF"	"C3"	"100"	"1"	"1"
"1192"	"CHS"	"BS"	"HUF"	"C4"	"0"	"0"	"1"
"1193"	"CHS"	"WS"	"HUF"	"C4"	"0"	"0"	"1"
"1194"	"CHS"	"BS"	"HUMa"	"C1"	"100"	"1"	"1"
"1195"	"CHS"	"WS"	"HUMa"	"C1"	"100"	"1"	"1"
"1196"	"CHS"	"BS"	"HUMa"	"C2"	"100"	"1"	"1"
"1197"	"CHS"	"WS"	"HUMa"	"C2"	"100"	"1"	"1"
"1198"	"CHS"	"BS"	"HUMa"	"C3"	"0"	"0"	"1"
"1199"	"CHS"	"WS"	"HUMa"	"C3"	"0"	"0"	"1"
"1200"	"CHS"	"BS"	"HUMa"	"C4"	"0"	"0"	"1"
"1201"	"CHS"	"WS"	"HUMa"	"C4"	"0"	"0"	"1"
"1202"	"CHS"	"BS"	"HUMe"	"C1"	"100"	"1"	"1"
"1203"	"CHS"	"WS"	"HUMe"	"C1"	"100"	"1"	"1"
"1204"	"CHS"	"BS"	"HUMe"	"C2"	"100"	"1"	"1"
"1205"	"CHS"	"WS"	"HUMe"	"C2"	"100"	"1"	"1"
"1206"	"CHS"	"BS"	"HUMe"	"C3"	"0"	"0"	"1"
"1207"	"CHS"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"1208"	"CHS"	"BS"	"HUMe"	"C4"	"0"	"0"	"1"
"1209"	"CHS"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"1210"	"CHS"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1211"	"CHS"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1212"	"CHS"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1213"	"CHS"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1214"	"CHS"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1215"	"CHS"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1216"	"CHS"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1217"	"CHS"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1218"	"CHT"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1219"	"CHT"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1220"	"CHT"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1221"	"CHT"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1222"	"CHT"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1223"	"CHT"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1224"	"CHT"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1225"	"CHT"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1226"	"CHT"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1227"	"CHT"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1228"	"CHT"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1229"	"CHT"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1230"	"CHT"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1231"	"CHT"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1232"	"CHT"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1233"	"CHT"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1234"	"CHT"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1235"	"CHT"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1236"	"CHT"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1237"	"CHT"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1238"	"CHT"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1239"	"CHT"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1240"	"CHT"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1241"	"CHT"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1242"	"CHT"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1243"	"CHT"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1244"	"CHT"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1245"	"CHT"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1246"	"CHT"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1247"	"CHT"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1248"	"CHT"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1249"	"CHT"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1250"	"CKI"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1251"	"CKI"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1252"	"CKI"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1253"	"CKI"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1254"	"CKI"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1255"	"CKI"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1256"	"CKI"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1257"	"CKI"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1258"	"CKI"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1259"	"CKI"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1260"	"CKI"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1261"	"CKI"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1262"	"CKI"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1263"	"CKI"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1264"	"CKI"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1265"	"CKI"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1266"	"CKI"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1267"	"CKI"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1268"	"CKI"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1269"	"CKI"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1270"	"CKI"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1271"	"CKI"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1272"	"CKI"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1273"	"CKI"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1274"	"CKI"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1275"	"CKI"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1276"	"CKI"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1277"	"CKI"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1278"	"CKI"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1279"	"CKI"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1280"	"CKI"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1281"	"CKI"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1282"	"CLC"	"BS"	"HUF"	"C1"	"0"	"0"	"1"
"1283"	"CLC"	"WS"	"HUF"	"C1"	"0"	"0"	"1"
"1284"	"CLC"	"BS"	"HUF"	"C2"	"0"	"0"	"1"
"1285"	"CLC"	"WS"	"HUF"	"C2"	"0"	"0"	"1"
"1286"	"CLC"	"BS"	"HUF"	"C3"	"0"	"0"	"1"
"1287"	"CLC"	"WS"	"HUF"	"C3"	"0"	"0"	"1"
"1288"	"CLC"	"BS"	"HUF"	"C4"	"0"	"0"	"1"
"1289"	"CLC"	"WS"	"HUF"	"C4"	"0"	"0"	"1"
"1290"	"CLC"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1291"	"CLC"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1292"	"CLC"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1293"	"CLC"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1294"	"CLC"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1295"	"CLC"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1296"	"CLC"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1297"	"CLC"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1298"	"CLC"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1299"	"CLC"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1300"	"CLC"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1301"	"CLC"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1302"	"CLC"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1303"	"CLC"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1304"	"CLC"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1305"	"CLC"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1306"	"CLC"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1307"	"CLC"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1308"	"CLC"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1309"	"CLC"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1310"	"CLC"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1311"	"CLC"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1312"	"CLC"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1313"	"CLC"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1314"	"CLM"	"BS"	"HUF"	"C1"	"100"	"2"	"2"
"1315"	"CLM"	"WS"	"HUF"	"C1"	"100"	"16"	"16"
"1316"	"CLM"	"BS"	"HUF"	"C2"	"100"	"2"	"2"
"1317"	"CLM"	"WS"	"HUF"	"C2"	"87.5"	"14"	"16"
"1318"	"CLM"	"BS"	"HUF"	"C3"	"100"	"2"	"2"
"1319"	"CLM"	"WS"	"HUF"	"C3"	"81.25"	"13"	"16"
"1320"	"CLM"	"BS"	"HUF"	"C4"	"50"	"1"	"2"
"1321"	"CLM"	"WS"	"HUF"	"C4"	"37.5"	"6"	"16"
"1322"	"CLM"	"BS"	"HUMa"	"C1"	"100"	"5"	"5"
"1323"	"CLM"	"WS"	"HUMa"	"C1"	"100"	"25"	"25"
"1324"	"CLM"	"BS"	"HUMa"	"C2"	"80"	"4"	"5"
"1325"	"CLM"	"WS"	"HUMa"	"C2"	"88"	"22"	"25"
"1326"	"CLM"	"BS"	"HUMa"	"C3"	"80"	"4"	"5"
"1327"	"CLM"	"WS"	"HUMa"	"C3"	"84"	"21"	"25"
"1328"	"CLM"	"BS"	"HUMa"	"C4"	"20"	"1"	"5"
"1329"	"CLM"	"WS"	"HUMa"	"C4"	"40"	"10"	"25"
"1330"	"CLM"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1331"	"CLM"	"WS"	"HUMe"	"C1"	"100"	"5"	"5"
"1332"	"CLM"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1333"	"CLM"	"WS"	"HUMe"	"C2"	"80"	"4"	"5"
"1334"	"CLM"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1335"	"CLM"	"WS"	"HUMe"	"C3"	"60"	"3"	"5"
"1336"	"CLM"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1337"	"CLM"	"WS"	"HUMe"	"C4"	"20"	"1"	"5"
"1338"	"CLM"	"BS"	"HUC"	"C1"	"100"	"4"	"4"
"1339"	"CLM"	"WS"	"HUC"	"C1"	"100"	"12"	"12"
"1340"	"CLM"	"BS"	"HUC"	"C2"	"100"	"4"	"4"
"1341"	"CLM"	"WS"	"HUC"	"C2"	"83.3333333333333"	"10"	"12"
"1342"	"CLM"	"BS"	"HUC"	"C3"	"100"	"4"	"4"
"1343"	"CLM"	"WS"	"HUC"	"C3"	"75"	"9"	"12"
"1344"	"CLM"	"BS"	"HUC"	"C4"	"25"	"1"	"4"
"1345"	"CLM"	"WS"	"HUC"	"C4"	"16.6666666666667"	"2"	"12"
"1346"	"CLN"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1347"	"CLN"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1348"	"CLN"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1349"	"CLN"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1350"	"CLN"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1351"	"CLN"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1352"	"CLN"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1353"	"CLN"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1354"	"CLN"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1355"	"CLN"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1356"	"CLN"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1357"	"CLN"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1358"	"CLN"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1359"	"CLN"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1360"	"CLN"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1361"	"CLN"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1362"	"CLN"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1363"	"CLN"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1364"	"CLN"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1365"	"CLN"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1366"	"CLN"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1367"	"CLN"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1368"	"CLN"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1369"	"CLN"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1370"	"CLN"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1371"	"CLN"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1372"	"CLN"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1373"	"CLN"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1374"	"CLN"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1375"	"CLN"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1376"	"CLN"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1377"	"CLN"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1378"	"CMN"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1379"	"CMN"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1380"	"CMN"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1381"	"CMN"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1382"	"CMN"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1383"	"CMN"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1384"	"CMN"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1385"	"CMN"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1386"	"CMN"	"BS"	"HUMa"	"C1"	"100"	"1"	"1"
"1387"	"CMN"	"WS"	"HUMa"	"C1"	"100"	"2"	"2"
"1388"	"CMN"	"BS"	"HUMa"	"C2"	"100"	"1"	"1"
"1389"	"CMN"	"WS"	"HUMa"	"C2"	"100"	"2"	"2"
"1390"	"CMN"	"BS"	"HUMa"	"C3"	"100"	"1"	"1"
"1391"	"CMN"	"WS"	"HUMa"	"C3"	"0"	"0"	"2"
"1392"	"CMN"	"BS"	"HUMa"	"C4"	"0"	"0"	"1"
"1393"	"CMN"	"WS"	"HUMa"	"C4"	"0"	"0"	"2"
"1394"	"CMN"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1395"	"CMN"	"WS"	"HUMe"	"C1"	"100"	"1"	"1"
"1396"	"CMN"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1397"	"CMN"	"WS"	"HUMe"	"C2"	"100"	"1"	"1"
"1398"	"CMN"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1399"	"CMN"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"1400"	"CMN"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1401"	"CMN"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"1402"	"CMN"	"BS"	"HUC"	"C1"	"100"	"1"	"1"
"1403"	"CMN"	"WS"	"HUC"	"C1"	"100"	"1"	"1"
"1404"	"CMN"	"BS"	"HUC"	"C2"	"100"	"1"	"1"
"1405"	"CMN"	"WS"	"HUC"	"C2"	"0"	"0"	"1"
"1406"	"CMN"	"BS"	"HUC"	"C3"	"0"	"0"	"1"
"1407"	"CMN"	"WS"	"HUC"	"C3"	"0"	"0"	"1"
"1408"	"CMN"	"BS"	"HUC"	"C4"	"0"	"0"	"1"
"1409"	"CMN"	"WS"	"HUC"	"C4"	"0"	"0"	"1"
"1410"	"CNY"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1411"	"CNY"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1412"	"CNY"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1413"	"CNY"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1414"	"CNY"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1415"	"CNY"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1416"	"CNY"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1417"	"CNY"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1418"	"CNY"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1419"	"CNY"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"1420"	"CNY"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1421"	"CNY"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"1422"	"CNY"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1423"	"CNY"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"1424"	"CNY"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1425"	"CNY"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"1426"	"CNY"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1427"	"CNY"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1428"	"CNY"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1429"	"CNY"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1430"	"CNY"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1431"	"CNY"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1432"	"CNY"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1433"	"CNY"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1434"	"CNY"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1435"	"CNY"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1436"	"CNY"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1437"	"CNY"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"1438"	"CNY"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1439"	"CNY"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"1440"	"CNY"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1441"	"CNY"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"1442"	"COM"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1443"	"COM"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"1444"	"COM"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1445"	"COM"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"1446"	"COM"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1447"	"COM"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"1448"	"COM"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1449"	"COM"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"1450"	"COM"	"BS"	"HUMa"	"C1"	"100"	"1"	"1"
"1451"	"COM"	"WS"	"HUMa"	"C1"	"100"	"1"	"1"
"1452"	"COM"	"BS"	"HUMa"	"C2"	"0"	"0"	"1"
"1453"	"COM"	"WS"	"HUMa"	"C2"	"0"	"0"	"1"
"1454"	"COM"	"BS"	"HUMa"	"C3"	"0"	"0"	"1"
"1455"	"COM"	"WS"	"HUMa"	"C3"	"0"	"0"	"1"
"1456"	"COM"	"BS"	"HUMa"	"C4"	"0"	"0"	"1"
"1457"	"COM"	"WS"	"HUMa"	"C4"	"0"	"0"	"1"
"1458"	"COM"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1459"	"COM"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"1460"	"COM"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1461"	"COM"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"1462"	"COM"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1463"	"COM"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"1464"	"COM"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1465"	"COM"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"1466"	"COM"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"1467"	"COM"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
