"Region"	"Scenario"	"Use"	"Category"	"PercentageA"	"NumberA"	"NumberUT"
"80"	"AGW"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"81"	"AGW"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"82"	"AGW"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"83"	"AGW"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"84"	"AGW"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"85"	"AGW"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"86"	"AGW"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"87"	"AGW"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"88"	"AGW"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"89"	"AGW"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"90"	"AGW"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"91"	"AGW"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"92"	"AGW"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"93"	"AGW"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"94"	"AGW"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"95"	"AGW"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"96"	"AGW"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"97"	"AGW"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"98"	"ALA"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"99"	"ALA"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"100"	"ALA"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"101"	"ALA"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"102"	"ALA"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"103"	"ALA"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"104"	"ALA"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"105"	"ALA"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"106"	"ALA"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"107"	"ALA"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"108"	"ALA"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"109"	"ALA"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"110"	"ALA"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"111"	"ALA"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"112"	"ALA"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"113"	"ALA"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"114"	"ALA"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"115"	"ALA"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"116"	"ALA"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"117"	"ALA"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"118"	"ALA"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"119"	"ALA"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"120"	"ALA"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"121"	"ALA"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"122"	"ALA"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"123"	"ALA"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"124"	"ALA"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"125"	"ALA"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"126"	"ALA"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"127"	"ALA"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"128"	"ALA"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"129"	"ALA"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"130"	"ALG"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"131"	"ALG"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"132"	"ALG"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"133"	"ALG"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"134"	"ALG"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"135"	"ALG"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"136"	"ALG"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"137"	"ALG"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"138"	"ALG"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"139"	"ALG"	"WS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"140"	"ALG"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"141"	"ALG"	"WS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"142"	"ALG"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"143"	"ALG"	"WS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"144"	"ALG"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"145"	"ALG"	"WS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"146"	"ALG"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"147"	"ALG"	"WS"	"HUMe"	"C1"	"NaN"	"0"	"0"
"148"	"ALG"	"BS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"149"	"ALG"	"WS"	"HUMe"	"C2"	"NaN"	"0"	"0"
"150"	"ALG"	"BS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"151"	"ALG"	"WS"	"HUMe"	"C3"	"NaN"	"0"	"0"
"152"	"ALG"	"BS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"153"	"ALG"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"154"	"ALG"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"155"	"ALG"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"156"	"ALG"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"157"	"ALG"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"158"	"ALG"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"159"	"ALG"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"160"	"ALG"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"161"	"ALG"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"162"	"AND"	"BS"	"HUF"	"C1"	"100"	"2"	"2"
"163"	"AND"	"WS"	"HUF"	"C1"	"100"	"2"	"2"
"164"	"AND"	"BS"	"HUF"	"C2"	"50"	"1"	"2"
"165"	"AND"	"WS"	"HUF"	"C2"	"50"	"1"	"2"
"166"	"AND"	"BS"	"HUF"	"C3"	"50"	"1"	"2"
"167"	"AND"	"WS"	"HUF"	"C3"	"50"	"1"	"2"
"168"	"AND"	"BS"	"HUF"	"C4"	"50"	"1"	"2"
"169"	"AND"	"WS"	"HUF"	"C4"	"50"	"1"	"2"
"170"	"AND"	"BS"	"HUMa"	"C1"	"100"	"2"	"2"
"171"	"AND"	"WS"	"HUMa"	"C1"	"100"	"2"	"2"
"172"	"AND"	"BS"	"HUMa"	"C2"	"50"	"1"	"2"
"173"	"AND"	"WS"	"HUMa"	"C2"	"50"	"1"	"2"
"174"	"AND"	"BS"	"HUMa"	"C3"	"50"	"1"	"2"
"175"	"AND"	"WS"	"HUMa"	"C3"	"50"	"1"	"2"
"176"	"AND"	"BS"	"HUMa"	"C4"	"50"	"1"	"2"
"177"	"AND"	"WS"	"HUMa"	"C4"	"50"	"1"	"2"
"178"	"AND"	"BS"	"HUMe"	"C1"	"100"	"1"	"1"
"179"	"AND"	"WS"	"HUMe"	"C1"	"100"	"1"	"1"
"180"	"AND"	"BS"	"HUMe"	"C2"	"0"	"0"	"1"
"181"	"AND"	"WS"	"HUMe"	"C2"	"0"	"0"	"1"
"182"	"AND"	"BS"	"HUMe"	"C3"	"0"	"0"	"1"
"183"	"AND"	"WS"	"HUMe"	"C3"	"0"	"0"	"1"
"184"	"AND"	"BS"	"HUMe"	"C4"	"0"	"0"	"1"
"185"	"AND"	"WS"	"HUMe"	"C4"	"0"	"0"	"1"
"186"	"AND"	"BS"	"HUC"	"C1"	"100"	"1"	"1"
"187"	"AND"	"WS"	"HUC"	"C1"	"100"	"1"	"1"
"188"	"AND"	"BS"	"HUC"	"C2"	"100"	"1"	"1"
"189"	"AND"	"WS"	"HUC"	"C2"	"100"	"1"	"1"
"190"	"AND"	"BS"	"HUC"	"C3"	"100"	"1"	"1"
"191"	"AND"	"WS"	"HUC"	"C3"	"100"	"1"	"1"
"192"	"AND"	"BS"	"HUC"	"C4"	"100"	"1"	"1"
"193"	"AND"	"WS"	"HUC"	"C4"	"100"	"1"	"1"
"194"	"ANG"	"BS"	"HUF"	"C1"	"NaN"	"0"	"0"
"195"	"ANG"	"WS"	"HUF"	"C1"	"NaN"	"0"	"0"
"196"	"ANG"	"BS"	"HUF"	"C2"	"NaN"	"0"	"0"
"197"	"ANG"	"WS"	"HUF"	"C2"	"NaN"	"0"	"0"
"198"	"ANG"	"BS"	"HUF"	"C3"	"NaN"	"0"	"0"
"199"	"ANG"	"WS"	"HUF"	"C3"	"NaN"	"0"	"0"
"200"	"ANG"	"BS"	"HUF"	"C4"	"NaN"	"0"	"0"
"201"	"ANG"	"WS"	"HUF"	"C4"	"NaN"	"0"	"0"
"202"	"ANG"	"BS"	"HUMa"	"C1"	"NaN"	"0"	"0"
"203"	"ANG"	"WS"	"HUMa"	"C1"	"100"	"2"	"2"
"204"	"ANG"	"BS"	"HUMa"	"C2"	"NaN"	"0"	"0"
"205"	"ANG"	"WS"	"HUMa"	"C2"	"0"	"0"	"2"
"206"	"ANG"	"BS"	"HUMa"	"C3"	"NaN"	"0"	"0"
"207"	"ANG"	"WS"	"HUMa"	"C3"	"0"	"0"	"2"
"208"	"ANG"	"BS"	"HUMa"	"C4"	"NaN"	"0"	"0"
"209"	"ANG"	"WS"	"HUMa"	"C4"	"0"	"0"	"2"
"210"	"ANG"	"BS"	"HUMe"	"C1"	"NaN"	"0"	"0"
