"LEVEL3_NAM"	"LEVEL3_COD"	"LEVEL2_COD"	"LEVEL1_COD"	"LEVEL3_SPE_HUF_B"	"LEVEL3_SPE_HUMa_B"	"LEVEL3_SPE_HUMe_B"	"LEVEL3_SPE_HUC_B"	"LEVEL3_SPE_HUA_B"	"LEVEL3_SPE_FD2_B"	"LEVEL3_SPE_ED2_B"	"LEVEL3_SPE_COM_B"	"LEVEL3_SPE_HUF_W"	"LEVEL3_SPE_HUMa_W"	"LEVEL3_SPE_HUMe_W"	"LEVEL3_SPE_HUC_W"	"LEVEL3_SPE_HUA_W"	"LEVEL3_SPE_FD2_W"	"LEVEL3_SPE_ED2_W"	"LEVEL3_SPE_COM_W"	"LEVEL3_SPE_HUF_R"	"LEVEL3_SPE_HUMa_R"	"LEVEL3_SPE_HUMe_R"	"LEVEL3_SPE_HUC_R"	"LEVEL3_SPE_HUA_R"	"LEVEL3_SPE_FD2_R"	"LEVEL3_SPE_ED2_R"	"LEVEL3_SPE_COM_R"	"LEVEL3_SPE_HUF_B2"	"LEVEL3_SPE_HUMa_B2"	"LEVEL3_SPE_HUMe_B2"	"LEVEL3_SPE_HUC_B2"	"LEVEL3_SPE_HUA_B2"	"LEVEL3_SPE_FD2_B2"	"LEVEL3_SPE_ED2_B2"	"LEVEL3_SPE_COM_B2"	"LEVEL3_SPE_HUF_W2"	"LEVEL3_SPE_HUMa_W2"	"LEVEL3_SPE_HUMe_W2"	"LEVEL3_SPE_HUC_W2"	"LEVEL3_SPE_HUA_W2"	"LEVEL3_SPE_FD2_W2"	"LEVEL3_SPE_ED2_W2"	"LEVEL3_SPE_COM_W2"	"LEVEL3_SPE_HUF_R2"	"LEVEL3_SPE_HUMa_R2"	"LEVEL3_SPE_HUMe_R2"	"LEVEL3_SPE_HUC_R2"	"LEVEL3_SPE_HUA_R2"	"LEVEL3_SPE_FD2_R2"	"LEVEL3_SPE_ED2_R2"	"LEVEL3_SPE_COM_R2"	"LEVEL3_SPE_GAP_RL"	"LEVEL3_SPE_GAP_RLML"	"LEVEL3_SPE_speNum"	"LEVEL3_SPE_speNumCat"
"Kirgizistan"	"KGZ"	32	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Khabarovsk"	"KHA"	31	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Korea"	"KOR"	38	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Krasnoyarsk"	"KRA"	30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Kriti"	"KRI"	13	1	0	0	0	NA	0	0	0	0	0	0	0	NA	50	0	0	50	0	0	0	NA	0	0	0	0	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"40_60"	"0_20"	"0_20"	"40_60"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	2	"1-10"
"Krym"	"KRY"	14	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Kentucky"	"KTY"	78	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Kuril Is."	"KUR"	31	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Kuwait"	"KUW"	35	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Kazan-retto"	"KZN"	38	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	"NOC"	1	1	1	"1-10"
"Labrador"	"LAB"	72	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Laos"	"LAO"	41	4	0	3.57142857142857	4.76190476190476	0	3.44827586206897	15.1515151515152	5	10.8695652173913	0	3.57142857142857	4.76190476190476	0	3.44827586206897	27.2727272727273	10	19.5652173913043	0	3.57142857142857	4.76190476190476	0	3.44827586206897	6.06060606060606	0	4.34782608695652	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	44	6	52	"51-100"
"Liberia"	"LBR"	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	4	0	15	"11-50"
"Lebanon-Syria"	"LBS"	34	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Libya"	"LBY"	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	3	"1-10"
"Laccadive Is."	"LDV"	40	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	1	"1-10"
"Leeward Is. AB Ant"	"LEE"	81	8	0	14.2857142857143	0	14.2857142857143	18.75	0	20	26.3157894736842	0	21.4285714285714	0	28.5714285714286	25	0	26.6666666666667	31.5789473684211	0	14.2857142857143	0	14.2857142857143	18.75	0	20	26.3157894736842	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"20_40"	"0_20"	"20_40"	"20_40"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"20_40"	9	2	22	"11-50"
"Lesotho"	"LES"	27	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Line Is."	"LIN"	61	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	1	"1-10"
"Louisiana"	"LOU"	78	7	NA	0	0	NA	0	0	0	0	NA	0	0	NA	0	0	0	0	NA	0	0	NA	0	0	0	0	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	2	"1-10"
"Lesser Sunda Is."	"LSI"	42	4	0	0	0	0	0	0	0	0	9.09090909090909	0	11.1111111111111	0	15.3846153846154	8.33333333333333	12.5	11.7647058823529	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	14	5	18	"11-50"
"Magadan"	"MAG"	31	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Maine"	"MAI"	75	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Manitoba"	"MAN"	71	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Macquarie Is."	"MAQ"	90	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Massachusetts"	"MAS"	75	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Mauritius"	"MAU"	29	2	0	0	0	0	8.33333333333333	0	8.33333333333333	7.14285714285714	12.5	10	0	0	16.6666666666667	0	16.6666666666667	14.2857142857143	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	12	5	14	"11-50"
"Mozambique Channel Is."	"MCI"	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	3	"1-10"
"Marcus I."	"MCS"	62	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	1	"1-10"
"Madagascar"	"MDG"	29	2	54.8387096774194	53.5714285714286	22.2222222222222	20	60.9756097560976	90.5660377358491	71.7948717948718	81.8181818181818	54.8387096774194	53.5714285714286	22.2222222222222	20	60.9756097560976	90.5660377358491	71.7948717948718	81.8181818181818	51.6129032258064	53.5714285714286	22.2222222222222	20	58.5365853658537	86.7924528301887	71.7948717948718	80	"40_60"	"40_60"	"20_40"	"20_40"	"60_80"	"80_100"	"60_80"	"80_100"	"40_60"	"40_60"	"20_40"	"20_40"	"60_80"	"80_100"	"60_80"	"80_100"	"40_60"	"40_60"	"20_40"	"20_40"	"40_60"	"80_100"	"60_80"	"80_100"	16	7	199	">100"
"Madeira"	"MDR"	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	2	"1-10"
"Maldives"	"MDV"	40	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	2	"1-10"
"Michigan"	"MIC"	75	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Minnesota"	"MIN"	74	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Mali"	"MLI"	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	5	"1-10"
"Malawi"	"MLW"	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	0	0	5	"1-10"
"Malaya"	"MLY"	42	4	10	6.52173913043478	4	9.09090909090909	5.71428571428571	7.2289156626506	8.10810810810811	8.45771144278607	22.5	21.7391304347826	14	13.6363636363636	24.7619047619048	25.9036144578313	21.6216216216216	25.8706467661692	5	2.17391304347826	2	4.54545454545455	1.9047619047619	0.602409638554217	2.7027027027027	1.49253731343284	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	222	102	238	">100"
"Montana"	"MNT"	73	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Maluku"	"MOL"	42	4	9.52380952380952	19.4444444444444	0	18.75	18.9189189189189	24	20	23.2558139534884	28.5714285714286	33.3333333333333	0	18.75	35.1351351351351	32	53.3333333333333	37.2093023255814	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"20_40"	"20_40"	"20_40"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"40_60"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	43	12	50	"11-50"
"Mongolia"	"MON"	37	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Morocco"	"MOR"	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	1	0	2	"1-10"
"Mozambique"	"MOZ"	26	2	0	11.1111111111111	0	0	11.1111111111111	20	11.1111111111111	11.1111111111111	0	11.1111111111111	0	0	11.1111111111111	20	11.1111111111111	11.1111111111111	0	11.1111111111111	0	0	11.1111111111111	20	11.1111111111111	11.1111111111111	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	1	0	9	"1-10"
"Marion-Prince Edward Is."	"MPE"	90	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Marianas"	"MRN"	62	6	20	16.6666666666667	20	0	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667	20	16.6666666666667	20	0	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667	20	16.6666666666667	20	0	16.6666666666667	33.3333333333333	33.3333333333333	16.6666666666667	"20_40"	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"20_40"	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"20_40"	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	3	0	6	"1-10"
"Marquesas"	"MRQ"	61	6	0	0	0	0	50	0	33.3333333333333	33.3333333333333	0	0	0	0	50	0	33.3333333333333	33.3333333333333	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	3	1	3	"1-10"
"Marshall Is."	"MRS"	62	6	0	0	0	0	50	0	50	50	0	0	0	0	50	0	50	50	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"40_60"	"40_60"	"0_20"	"0_20"	"0_20"	"0_20"	"40_60"	"0_20"	"40_60"	"40_60"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	2	0	2	"1-10"
"Maryland"	"MRY"	78	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Mississippi"	"MSI"	78	7	NA	0	0	NA	0	0	0	0	NA	0	0	NA	0	0	0	0	NA	0	0	NA	0	0	0	0	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"NOC"	"0_20"	"0_20"	"0_20"	"0_20"	3	0	3	"1-10"
"Missouri"	"MSO"	74	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Mauritania"	"MTN"	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	3	0	4	"1-10"
"Mexico Central"	"MXC"	79	7	NA	0	0	NA	33.3333333333333	NA	20	28.5714285714286	NA	0	0	NA	33.3333333333333	NA	40	42.8571428571429	NA	0	0	NA	33.3333333333333	NA	20	28.5714285714286	"NOC"	"0_20"	"0_20"	"NOC"	"20_40"	"NOC"	"20_40"	"20_40"	"NOC"	"0_20"	"0_20"	"NOC"	"20_40"	"NOC"	"40_60"	"40_60"	"NOC"	"0_20"	"0_20"	"NOC"	"20_40"	"NOC"	"20_40"	"20_40"	3	0	9	"1-10"
"Mexico Northeast"	"MXE"	79	7	50	33.3333333333333	0	NA	37.5	0	23.0769230769231	28.5714285714286	50	33.3333333333333	0	NA	37.5	0	30.7692307692308	35.7142857142857	50	33.3333333333333	0	NA	37.5	0	23.0769230769231	28.5714285714286	"40_60"	"20_40"	"0_20"	"NOC"	"20_40"	"0_20"	"20_40"	"20_40"	"40_60"	"20_40"	"0_20"	"NOC"	"20_40"	"0_20"	"20_40"	"20_40"	"40_60"	"20_40"	"0_20"	"NOC"	"20_40"	"0_20"	"20_40"	"20_40"	7	0	14	"11-50"
"Mexico Gulf"	"MXG"	79	7	0	0	0	0	7.69230769230769	20	18.75	18.5185185185185	0	0	0	0	7.69230769230769	20	18.75	18.5185185185185	0	0	0	0	7.69230769230769	0	18.75	14.8148148148148	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	22	1	35	"11-50"
"Mexican Pacific Is."	"MXI"	79	7	100	100	100	NA	100	NA	100	100	100	100	100	NA	100	NA	100	100	100	100	100	NA	100	NA	100	100	"80_100"	"80_100"	"80_100"	"NOC"	"80_100"	"NOC"	"80_100"	"80_100"	"80_100"	"80_100"	"80_100"	"NOC"	"80_100"	"NOC"	"80_100"	"80_100"	"80_100"	"80_100"	"80_100"	"NOC"	"80_100"	"NOC"	"80_100"	"80_100"	0	0	1	"1-10"
"Mexico Northwest"	"MXN"	79	7	16.6666666666667	12.5	0	0	22.2222222222222	0	30	25	33.3333333333333	25	0	0	33.3333333333333	0	40	33.3333333333333	16.6666666666667	12.5	0	0	22.2222222222222	0	30	25	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"20_40"	"20_40"	"20_40"	"20_40"	"0_20"	"0_20"	"20_40"	"0_20"	"40_60"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"20_40"	"20_40"	5	1	12	"11-50"
"Mexico Southwest"	"MXS"	79	7	0	0	0	0	6.25	0	22.7272727272727	17.6470588235294	11.1111111111111	11.1111111111111	0	0	12.5	0	36.3636363636364	26.4705882352941	0	0	0	0	6.25	0	18.1818181818182	14.7058823529412	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	32	5	50	"11-50"
"Mexico Southeast"	"MXT"	79	7	0	8.33333333333333	0	25	9.09090909090909	9.09090909090909	16	17.5	0	16.6666666666667	0	25	13.6363636363636	18.1818181818182	20	22.5	0	8.33333333333333	0	25	9.09090909090909	9.09090909090909	16	17.5	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"20_40"	"20_40"	"0_20"	"0_20"	"0_20"	"20_40"	"0_20"	"0_20"	"0_20"	"0_20"	39	2	61	"51-100"
