species	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Chamaedorea dammeriana	LC	LC	1	0	0	0	0	1	1	0	0	1	0.8	understorey	15	0.5	0.3	0.22	1.15	0.8	1.5	0.75	0.5	1	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea deckeriana	non-LC	LC	1	0	0	0	0	1	1	0	0	2	3	understorey	5	0.7	0.35	0.4	1.25	1	1.5	0.75	0.5	1	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea deneversiana	LC	LC	1	0	0	0	0	1	1	0	0	2	1.6	understorey	4	1.05	0.6	0.6	0.75	1	1.5	0.55	0.5	0.6	small	ovoid	cryptic	0	0	0	0	0	0	0	0	0	0
Chamaedorea elatior	LC	LC	1	0	0	2	0	2	2	0	0	20	2	canopy	15	3.3	3	0.33	1.5	NA	NA	0.95	0.8	1.1	small	ovoid	cryptic	0	1	0	0	0	0	1	1	0	0
Chamaedorea elegans	LC	LC	1	0	0	0	0	1	1	0	0	2	2	understorey	8	1	0.6	0.45	0.55	0.4	0.7	0.55	0.4	0.7	small	ovoid	cryptic	0	1	0	0	0	0	0	0	0	0
Chamaedorea ernesti-augusti	LC	NA	1	0	0	0	0	1	1	0	0	2	1.5	understorey	8	0.5	0.25	0.28	1.25	1	1.5	0.9	0.8	1	small	ovoid	cryptic	0	1	0	0	0	0	0	0	0	0
Chamaedorea falcifera	non-LC	non-LC	1	0	0	0	0	1	1	0	0	6	0.7	canopy	5	0.25	0.25	NA	1.4	NA	NA	0.4	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea foveata	non-LC	non-LC	1	0	0	0	0	1	1	0	0	2.5	3	understorey	5	1.25	0.6	0.7	NA	NA	NA	NA	NA	NA	NA	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea fractiflexa	non-LC	non-LC	1	0	0	0	0	1	1	0	0	1	0.8	understorey	8	0.25	0.2	0.07	0.75	NA	NA	0.75	0.7	0.8	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chamaedorea fragrans	non-LC	non-LC	1	0	0	0	0	1	0	0	0	4	1.5	understorey	7	0.5	0.2	0.33	1.2	NA	NA	0.6	NA	NA	small	elongate	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
