species	NO_EXT	DO_CON	Americas	AfricaWAsia	EAsiaPacific	Climbing	Acaulescent	Erect	StemSolitary	StemArmed	LeavesArmed	MaxStemHeight_m	MaxStemDia_cm	UnderstoreyCanopy	MaxLeafNumber	Max_Blade_Length_m	Max_Rachis_Length_m	Max_Petiole_length_m	AverageFruitLength_cm	MinFruitLength_cm	MaxFruitLength_cm	AverageFruitWidth_cm	MinFruitWidth_cm	MaxFruitWidth_cm	FruitSizeCategorical	FruitShape	Conspicuousness	AnimalFood	EnvironmentalUses	Fuels	GeneSources	HumanFood	InvertebrateFood	Materials	Medicines	Poisons	SocialUses
Acanthophoenix crinita	non-LC	NA	0	1	0	0	0	1	1	1	1	10	20	canopy	15	2.3	NA	NA	0.65	0.6	0.7	0.5	NA	NA	small	NA	cryptic	0	0	0	0	0	0	1	0	0	0
Acanthophoenix rousselii	non-LC	NA	0	1	0	0	0	1	1	1	1	25	30	canopy	NA	3	NA	NA	2	NA	NA	0.8	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acanthophoenix rubra	non-LC	NA	0	1	0	0	0	1	1	1	1	15	18	canopy	20	3.1	3	NA	1	NA	NA	0.7	NA	NA	small	ovoid	cryptic	0	1	0	1	1	0	0	1	0	0
Acoelorrhaphe wrightii	LC	LC	1	0	0	0	0	1	0	0	1	9.1	15	canopy	25	1.3	0.7	0.65	0.7	NA	NA	0.7	0.5	0.9	small	ovoid	cryptic	0	1	0	0	0	0	1	0	0	0
Acrocomia aculeata	LC	LC	1	0	0	0	0	1	1	1	1	12	50	canopy	30	3.5	2.5	NA	4.25	3.5	5	4.6	3.8	5.4	large	ovoid	cryptic	0	1	0	0	1	0	1	1	0	0
Acrocomia crispa	LC	NA	1	0	0	0	0	1	1	1	1	18	35	canopy	15	3	NA	0.65	2.5	NA	NA	1.8	NA	NA	small	globose	conspicuous	0	0	0	0	0	0	1	0	0	0
Acrocomia emensis	non-LC	non-LC	1	0	0	0	1	0	1	1	1	0	NA	understorey	NA	NA	NA	NA	2	NA	NA	2	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia glaucescens	non-LC	non-LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia hassleri	LC	LC	1	0	0	0	1	0	1	1	1	0	NA	understorey	6	0.9	0.54	0.51	2.25	1.5	3	2.25	1.5	3	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia intumescens	LC	LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	4.6	3.8	5.4	4.6	3.8	5.4	large	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia media	LC	NA	1	0	0	0	0	1	1	1	1	15	30	canopy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acrocomia totai	LC	LC	1	0	0	0	0	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	3	2.5	3.5	3	2.5	3.5	small	NA	conspicuous	0	0	0	0	0	0	0	1	0	0
Actinokentia divaricata	LC	LC	0	0	1	0	0	1	1	0	0	9	9	canopy	7	2.35	2.1	1.3	2.6	1.8	3.4	1.1	0.8	1.4	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinokentia huerlimannii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	9	36	canopy	10	1.2	NA	0.22	3	NA	NA	1.3	NA	NA	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinorhytis calapparia	LC	LC	0	0	1	0	0	1	1	0	0	40	30	canopy	13	4.76	4.3	0.51	10	NA	NA	5.5	5	6	large	ovoid	conspicuous	1	1	0	0	1	0	1	1	0	1
Adonidia dransfieldii	non-LC	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adonidia merrillii	non-LC	LC	0	0	1	0	0	1	1	0	0	7	30	canopy	17	2.2	2	0.22	2.5	NA	NA	1.3	NA	NA	small	elongate	conspicuous	0	1	0	0	0	0	1	0	0	1
Aiphanes acanthophylla	LC	NA	1	0	0	0	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA	1.4	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes acaulis	non-LC	non-LC	1	0	0	0	1	0	1	0	1	0	NA	understorey	10	1.83	1.33	0.33	1	NA	NA	1	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes argos	non-LC	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes bicornis	non-LC	non-LC	1	0	0	0	0	1	1	1	1	0.5	2.5	understorey	13	0.54	0.54	NA	0.6	NA	NA	0.8	NA	NA	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes buenaventurae	non-LC	LC	1	0	0	0	0	1	2	NA	1	4	NA	understorey	8	0.22	0.78	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes chiribogensis	LC	LC	1	0	0	0	0	1	1	1	1	3	6	understorey	9	1.45	1	0.5	1.1	NA	NA	1.1	1	1.2	small	globose	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes concinna	non-LC	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes deltoidea	LC	LC	1	0	0	0	0	1	2	1	1	2	6	understorey	12	2.95	1.9	1.1	1.3	NA	NA	0.7	NA	NA	small	globose	conspicuous	0	0	0	0	0	0	1	0	0	0
Aiphanes duquei	non-LC	LC	1	0	0	0	0	1	1	1	1	5	5	understorey	9	1.35	1.1	0.28	1.05	0.9	1.2	NA	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes eggersii	non-LC	LC	1	0	0	0	0	1	0	1	1	10	8	canopy	10	2.2	2.05	0.17	1.75	NA	NA	1.75	1.5	2	small	ovoid	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes erinacea	LC	LC	1	0	0	0	0	1	0	1	1	5	5	understorey	8	2.2	1.65	0.6	0.75	NA	NA	0.75	0.7	0.8	small	globose	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes gelatinosa	non-LC	non-LC	1	0	0	0	0	1	2	1	1	9	10	canopy	11	5.6	4	1.7	1.5	NA	NA	1.5	1	1.5	small	globose	cryptic	0	0	0	0	0	0	0	0	0	0
Aiphanes graminifolia	non-LC	NA	1	0	0	0	0	1	0	1	1	5	2	understorey	6	0.89	0.89	NA	0.5	NA	NA	0.5	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes grandis	non-LC	non-LC	1	0	0	0	0	1	1	1	1	21	20	canopy	10	5.5	2.5	2.75	2.15	NA	NA	2.15	2	3	small	elongate	cryptic	0	0	0	0	1	0	0	0	0	0
Aiphanes hirsuta	LC	LC	1	0	0	0	0	1	0	1	1	10	10	canopy	8	2.94	1.94	NA	1.35	NA	NA	1.35	0.7	2	small	globose	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes horrida	LC	LC	1	0	0	0	0	1	1	1	1	10	15	canopy	15	2	NA	NA	1.95	1.6	2.3	1.95	1.6	2.3	small	ovoid	conspicuous	0	1	0	0	1	0	1	1	0	1
Aiphanes killipii	non-LC	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes leiostachys	non-LC	non-LC	1	0	0	0	0	1	0	1	1	5	3	understorey	11	2.08	1.08	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes lindeniana	non-LC	NA	1	0	0	0	0	1	2	1	1	7	10	canopy	10	1.31	0.75	0.61	1.5	NA	NA	1.5	1.4	1.6	small	NA	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes linearis	LC	LC	1	0	0	0	0	1	0	1	1	12	12	canopy	9	2.73	2.39	0.49	4.5	NA	NA	2.65	1.8	3.5	large	globose	NA	0	0	0	0	1	0	0	0	0	0
Aiphanes macroloba	non-LC	NA	1	0	0	0	0	1	0	1	1	3	3	understorey	8	1.86	1.5	0.41	1	NA	NA	0.7	NA	NA	small	ovoid	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes minima	LC	LC	1	0	0	0	0	1	1	1	1	18	50	canopy	9	4.2	3	1.25	1.4	1.2	1.6	1.55	1.4	1.7	small	globose	conspicuous	0	1	0	0	1	0	1	1	0	0
Aiphanes multiplex	non-LC	NA	1	0	0	0	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	1.45	NA	NA	small	NA	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes parvifolia	non-LC	NA	1	0	0	0	0	1	1	0	1	2	3	understorey	10	0.95	0.7	0.28	0.85	0.7	1	NA	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes pilaris	non-LC	NA	1	0	0	0	0	1	1	1	1	7	15	canopy	10	NA	NA	NA	4.7	NA	NA	4.7	NA	NA	large	ovoid	cryptic	0	0	0	0	0	0	0	0	0	0
Aiphanes simplex	LC	LC	1	0	0	0	0	1	0	1	1	4	2	understorey	9	0.96	0.7	0.29	0.9	NA	NA	0.9	0.8	1	small	ovoid	conspicuous	0	0	0	0	0	0	0	0	0	0
Aiphanes spicata	non-LC	NA	1	0	0	0	1	0	1	0	1	0.3	2	understorey	12	1.05	0.8	0.25	1	NA	NA	0.9	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes tricuspidata	LC	LC	1	0	0	0	0	1	1	1	1	4.5	6	understorey	10	1.38	1.2	0.2	0.75	NA	NA	0.75	0.6	1	small	NA	cryptic	0	0	0	0	0	0	0	0	0	0
Aiphanes truncata	non-LC	non-LC	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aiphanes ulei	LC	LC	1	0	0	0	0	1	1	1	1	6	5	canopy	15	2.5	1.8	0.75	0.7	NA	NA	0.7	NA	1	small	NA	conspicuous	0	0	0	0	1	0	1	1	0	1
Aiphanes verrucosa	non-LC	non-LC	1	0	0	0	0	1	0	1	1	8	5	canopy	5	1.3	1.15	0.17	2.25	NA	NA	2.25	2	2.5	small	globose	cryptic	0	0	0	0	1	0	1	0	0	0
Aiphanes weberbaueri	LC	LC	1	0	0	0	0	1	2	0	1	1.5	6	understorey	13	2	1.2	NA	0.85	NA	NA	0.85	0.7	1	small	ovoid	conspicuous	0	0	0	0	1	0	0	0	0	0
Allagoptera arenaria	LC	LC	1	0	0	0	1	0	2	0	0	0.2	15	understorey	15	1.8	NA	1	1.6	1.2	2	1.15	1	1.3	small	NA	cryptic	0	1	0	0	0	0	0	0	0	0
Allagoptera brevicalyx	non-LC	non-LC	1	0	0	0	1	0	2	0	0	2	NA	understorey	8	1.2	NA	0.34	1.75	1.5	2	1.25	1	1.5	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allagoptera campestris	LC	LC	1	0	0	0	1	0	1	0	0	0.2	NA	understorey	10	0.97	0.66	0.34	1.35	1.2	1.5	0.6	0.5	0.7	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allagoptera caudescens	LC	LC	1	0	0	0	0	1	1	0	0	8	25	canopy	16	4	NA	0.61	4.25	4	4.5	3.25	3	3.5	large	ovoid	cryptic	0	0	0	0	0	0	0	1	0	0
Allagoptera leucocalyx	LC	LC	1	0	0	0	1	0	1	0	0	2	NA	understorey	30	2	1.3	0.75	2.65	2.3	3	1.75	1.5	2	small	ovoid	cryptic	1	0	0	0	1	0	1	0	0	0
Allagoptera robusta	non-LC	non-LC	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ammandra decasperma	LC	LC	1	0	0	0	1	0	1	0	0	1.5	15	understorey	10	4.5	4	3.25	10	NA	NA	10	8	12	large	globose	cryptic	0	1	0	0	1	0	1	1	0	1
Aphandra natalia	LC	LC	1	0	0	0	0	1	1	0	0	11	30	canopy	36	6	5.4	1.6	4.75	NA	3.2	3.2	NA	NA	large	rounded	cryptic	1	1	1	0	1	0	1	0	0	1
Archontophoenix alexandrae	LC	LC	1	0	1	0	0	1	1	0	0	30	30	canopy	12	4.5	4	0.55	1.1	0.8	1.4	0.85	0.6	1.1	small	ovoid	conspicuous	0	1	0	0	0	0	0	0	0	0
Archontophoenix cunninghamiana	non-LC	NA	0	0	1	0	0	1	1	0	0	30	30	canopy	12	4.5	4	0.55	1.25	1	1.5	1.1	NA	1.5	small	ovoid	conspicuous	0	1	0	0	0	0	0	0	0	0
Archontophoenix maxima	non-LC	non-LC	0	0	1	0	0	1	1	0	0	22	30	canopy	11	5	3.4	1.7	1.25	1.1	1.4	0.9	0.7	1.1	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archontophoenix myolensis	non-LC	NA	0	0	1	0	0	1	1	0	0	20	30	canopy	12	4	3.8	0.22	1.7	1.3	2.1	1.1	1	1.2	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archontophoenix purpurea	non-LC	NA	0	0	1	0	0	1	1	0	0	25	45	canopy	15	6	4	2.1	2.3	2	2.6	2	1.8	2.2	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Archontophoenix tuckeri	non-LC	NA	0	0	1	0	0	1	1	0	0	20	26	canopy	12	3.15	1.75	1.45	2	1.5	2.5	1.25	1	1.5	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca abdulrahmanii	non-LC	non-LC	0	0	1	0	1	0	1	0	0	2.5	1.3	understorey	NA	1	NA	NA	4	NA	NA	1.2	NA	NA	large	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca ahmadii	non-LC	NA	0	0	1	0	1	0	1	0	0	0.08	2.5	understorey	NA	1	0.58	0.47	4.3	NA	NA	2	NA	NA	large	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca andersonii	non-LC	NA	0	0	1	0	1	0	1	0	0	2.5	1.3	understorey	NA	0.8	0.8	NA	2.1	NA	NA	0.7	NA	NA	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca arundinacea	non-LC	non-LC	0	0	1	0	1	0	0	0	0	2.5	0.8	understorey	8	0.5	NA	NA	1.9	NA	NA	1.1	NA	NA	small	elongate	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca bakeri	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	6.26	6	6.5	1.4	1.3	1.45	large	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca brachypoda	non-LC	NA	0	0	1	0	1	0	1	0	0	0.06	0.3	understorey	NA	1.15	NA	0.45	2.2	NA	NA	0.5	NA	NA	small	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca caliso	non-LC	NA	0	0	1	0	0	1	1	0	0	6	12	canopy	6	2.15	NA	NA	3	NA	NA	1.6	NA	NA	small	globose	conspicuous	0	0	0	0	1	0	0	0	0	1
Areca camarinensis	non-LC	non-LC	0	0	1	0	0	1	1	0	0	3	9	understorey	NA	1.5	NA	NA	5	3.5	5.5	1.7	1.5	2.5	large	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca catechu	LC	LC	1	0	1	0	0	1	1	0	0	25	30	canopy	10	3.15	2.05	1.25	6.5	5	8	4.75	3.5	6	large	ovoid	conspicuous	0	1	1	0	1	1	1	1	1	1
Areca chaiana	non-LC	non-LC	0	0	1	0	0	1	1	0	0	3	8	understorey	NA	1.15	NA	0.7	3	NA	NA	0.8	NA	NA	small	elongate	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca churchii	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca concinna	non-LC	NA	0	0	1	0	0	1	0	0	0	5	6	understorey	8	2	1.5	0.18	3	NA	NA	1.2	NA	NA	small	ovoid	conspicuous	0	0	0	0	0	0	0	1	0	1
Areca congesta	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca costulata	non-LC	NA	0	0	1	0	0	1	1	0	0	5	NA	understorey	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca dayung	non-LC	non-LC	0	0	1	0	0	1	0	0	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	globose	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca dransfieldii	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	3.8	NA	NA	1	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca furcata	LC	LC	0	0	1	0	0	1	0	0	0	2	2	understorey	NA	NA	NA	NA	1	NA	NA	0.4	NA	NA	small	ovoid	conspicuous	0	0	0	0	0	0	0	0	0	1
Areca gurita	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca hutchinsoniana	non-LC	NA	0	0	1	0	0	1	1	0	0	3	3	understorey	NA	2	NA	NA	3	NA	NA	1.7	NA	NA	small	globose	conspicuous	0	0	0	0	0	0	0	1	0	0
Areca insignis	non-LC	NA	0	0	1	0	1	0	1	0	0	3.5	2.5	understorey	10	1.2	1.2	0	2.2	NA	NA	1	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca ipot	non-LC	non-LC	0	0	1	0	0	1	1	0	0	4	12.7	understorey	NA	2.4	2.4	NA	5	NA	NA	3	NA	NA	large	NA	conspicuous	0	1	0	0	0	0	0	0	0	1
Areca jokowi	non-LC	NA	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	1
Areca jugahpunya	non-LC	non-LC	0	0	1	0	1	0	2	0	0	1.5	15	understorey	NA	2.5	1.5	NA	5.5	NA	NA	1	NA	NA	large	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca kinabaluensis	LC	LC	0	0	1	0	0	1	1	0	0	5	2.5	understorey	6	1.5	NA	1.85	2	NA	NA	0.8	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca klingkangensis	non-LC	NA	0	0	1	0	0	1	1	0	0	4	10	understorey	NA	1.5	1.15	0.4	2.6	NA	NA	0.5	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca laosensis	LC	LC	0	0	1	0	0	1	2	0	0	6	4	canopy	12	1.26	1.19	0.09	7.5	7	8	5.5	5	6	large	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca ledermanniana	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ovoid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca macrocalyx	LC	LC	0	0	1	0	0	1	1	0	0	10	10	canopy	12	4	4	NA	3.75	3.5	4	2.5	NA	NA	small	ovoid	conspicuous	1	0	0	0	1	0	1	1	0	1
Areca mandacanii	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	4.49	NA	NA	2.29	NA	NA	large	NA	NA	0	0	0	0	0	0	1	0	0	1
Areca minuta	LC	LC	0	0	1	0	0	1	2	0	0	2	1.5	understorey	NA	0.3	0.3	NA	1.2	NA	NA	0.4	NA	NA	small	ovoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca mogeana	non-LC	non-LC	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	0.3	NA	NA	small	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca montana	non-LC	non-LC	0	0	1	0	0	1	1	0	0	4	8	understorey	8	1.75	1.35	0.45	2.5	NA	NA	1.35	1.2	1.5	small	ovoid	conspicuous	0	1	0	0	1	0	0	1	0	1
Areca novohibernica	non-LC	non-LC	0	0	1	0	0	1	1	0	0	4	NA	understorey	5	1.5	NA	0.17	3.2	NA	NA	1.35	NA	NA	small	NA	conspicuous	0	0	0	0	0	0	0	0	0	1
Areca oxycarpa	non-LC	non-LC	0	0	1	0	0	1	1	0	0	2	2.5	understorey	8	1.5	1.1	0.45	2.5	NA	NA	1.3	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca parens	non-LC	non-LC	0	0	1	0	0	1	1	0	0	25	15	canopy	NA	2.1	NA	NA	6	NA	NA	4	NA	NA	large	ovoid	conspicuous	0	0	0	0	1	0	0	0	0	0
Areca rheophytica	non-LC	NA	0	0	1	0	0	1	1	0	0	2	2	understorey	8	0.4	0.31	0.11	2	NA	NA	0.7	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca ridleyana	non-LC	NA	0	0	1	0	0	1	2	0	0	2.5	NA	understorey	10	0.3	NA	NA	0.5	NA	0.8	0.4	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca riparia	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	2.4	2	2.8	1.25	1	1.5	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca songthanhensis	LC	LC	0	0	1	0	0	1	1	0	0	1.5	2	understorey	NA	NA	0.49	0.13	3	NA	NA	1.3	NA	NA	small	ellipsoid	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca subacaulis	non-LC	NA	0	0	1	0	1	0	1	0	0	1.5	3.5	understorey	6	1	NA	NA	2.5	NA	NA	1.1	NA	NA	small	NA	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca triandra	LC	LC	0	0	1	0	0	1	0	0	0	6	7	canopy	7	2	1.8	0.22	2.5	NA	NA	1.5	NA	NA	small	NA	conspicuous	1	1	0	0	1	0	1	1	0	1
Areca triginticollina	non-LC	NA	0	0	1	0	0	1	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca tunku	non-LC	NA	0	0	1	0	0	1	1	0	0	5	6	understorey	10	2.5	2.5	NA	4.5	NA	NA	3	NA	NA	large	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca unipa	non-LC	non-LC	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	1
Areca vestiaria	LC	LC	0	0	1	0	0	1	2	0	0	15	12	canopy	NA	2.22	1.82	0.45	2	NA	NA	1.15	NA	NA	small	globose	conspicuous	0	0	0	0	0	0	1	0	0	0
Areca vidaliana	non-LC	LC	0	0	1	0	0	1	1	0	0	3	5	understorey	7	1.5	1.2	0.33	1.4	NA	NA	0.5	NA	NA	small	NA	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Areca whitfordii	non-LC	non-LC	0	0	1	0	0	1	1	0	0	10	20	canopy	NA	NA	NA	NA	4.5	4	5	2	NA	NA	large	globose	cryptic	0	0	0	0	0	0	0	0	0	1
Arenga australasica	LC	LC	0	0	1	0	0	1	0	0	0	20	30	canopy	18	4	3.5	0.55	1.7	0.8	2.6	1.8	0.8	2.8	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arenga brevipes	LC	LC	0	0	1	0	0	1	0	0	0	15	35	canopy	10	5	5	NA	2.65	1.3	4	2.05	1.1	3	small	ovoid	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arenga caudata	LC	LC	0	0	1	0	0	1	0	0	0	1.5	2	understorey	10	1	0.6	0.45	1.5	NA	NA	0.8	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arenga distincta	LC	LC	0	0	1	0	0	1	0	0	0	5	1.5	understorey	9	NA	NA	NA	1	NA	NA	0.92	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arenga engleri	LC	NA	0	0	1	0	0	1	0	0	0	4	15	understorey	8	4.5	3	1.55	1.5	NA	NA	1.5	NA	NA	small	NA	conspicuous	0	1	0	0	1	0	0	0	0	0
Arenga hastata	LC	LC	0	0	1	0	0	1	0	0	0	2	1.2	understorey	6	1	NA	NA	0.7	NA	NA	0.7	NA	NA	small	globose	cryptic	0	0	0	0	0	0	0	1	0	0
Arenga hookeriana	LC	LC	0	0	1	0	0	1	0	0	0	0.5	2	understorey	10	1.3	0.8	0.55	1.2	NA	NA	1.2	NA	NA	small	globose	conspicuous	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arenga listeri	non-LC	non-LC	0	0	1	0	0	1	1	0	0	20	30	canopy	14	7	5.5	1.55	1.5	1.3	1.7	1	NA	NA	small	globose	conspicuous	0	0	0	0	1	0	0	0	0	0
Arenga longicarpa	non-LC	NA	0	0	1	0	0	1	0	0	0	3	7	understorey	NA	2.5	NA	NA	1.8	NA	NA	1	NA	NA	small	globose	cryptic	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arenga longipes	non-LC	NA	0	0	1	0	1	0	0	0	0	0.25	5	understorey	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	elongate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
