"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Iguanura wallichiana"	25	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0287162162162162	0.0194063926940639	0.00801526717557252	0.00112990130824299	0.286779257183738	0.032	0.0476190476190476
"Iriartella setigera"	247	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.239864864864865	0.189497716894977	0.0782442748091603	0.011940591642925	0.0447611935609123	0.16	0.0714285714285714
"Iriartella stenocarpa"	191	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.109797297297297	0.113013698630137	0.0591603053435115	0.0062911899073976	0.121802025251661	0.072	0.0714285714285714
"Jailoloa halmaherensis"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0.000381679389312977	1.97864539688688e-12	0.077279296999261	0.008	0
"Johannesteijsmannia altifrons"	7	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	0.0101351351351351	0.00684931506849315	0.00229007633587786	0.000831243684691525	0.272807017411144	0.024	0.0714285714285714
"Jubaea chilensis"	1	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	0	0	0	NA	0.0293760390499829	0.008	0
"Jubaeopsis caffra"	9	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	0.00337837837837838	0.00570776255707763	0.00305343511450382	3.65677054029059e-06	0.0459123738035578	0.016	0.0238095238095238
"Kerriodoxa elegans"	6	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	0.00337837837837838	0.00342465753424658	0.00190839694656489	4.24750426159489e-06	0.246480352460586	0.016	0
"Korthalsia angustifolia"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00337837837837838	0.00228310502283105	0.000763358778625954	1.68239206005107e-05	0.600316767303949	0.016	0
"Korthalsia brassii"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.173211418915013	0.016	0
"Korthalsia celebica"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000381679389312977	NA	0.226037643964819	0.016	0.0238095238095238
"Korthalsia cheb"	20	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0185810810810811	0.0136986301369863	0.00648854961832061	0.00111200227150105	0.291019225525525	0.04	0
"Korthalsia concolor"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0	0	0	NA	0.163556252263663	0.008	0
"Korthalsia debilis"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.00168918918918919	0.00114155251141553	0.000763358778625954	6.20980438080889e-08	0.129691568616179	0.016	0.0238095238095238
"Korthalsia echinometra"	24	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.027027027027027	0.0182648401826484	0.00763358778625954	0.00380514553042166	0.29153791337907	0.04	0.0476190476190476
"Korthalsia ferox"	15	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	0.0118243243243243	0.00799086757990868	0.00381679389312977	0.000792182894086461	0.152711014513711	0.024	0
