"model"	"Method"	"Model"	"Sample"	"AUCROC"	"Sensitivity"	"Specificity"	"DPM"	"Accuracy"	"Balanced_accuracy"	"Kappa"	"Precision"	"NegativePrecision"	"Recall"	"F1score"
"RFt___D_1_smote"	"RFt"	"D_1_smote"	"RFt___D_1_smote_Test"	0.750721500721501	0.619047619047619	0.787878787878788	0.436027665618892	0.693333333333333	0.703463203463203	0.395373291272345	0.787878787878788	0.619047619047619	0.619047619047619	0.693333333333333
"RFt___D_1_up"	"RFt"	"D_1_up"	"RFt___D_1_up_Test"	0.780663780663781	0.761904761904762	0.787878787878788	0.318880465120397	0.773333333333333	0.774891774891775	0.544480171489818	0.82051282051282	0.722222222222222	0.761904761904762	0.790123456790123
"RFt___D_1_down"	"RFt"	"D_1_down"	"RFt___D_1_down_Test"	0.775252525252525	0.738095238095238	0.818181818181818	0.318829038119271	0.773333333333333	0.778138528138528	0.547390841320554	0.837837837837838	0.710526315789474	0.738095238095238	0.784810126582279
"RFt___DS_0.75_none"	"RFt"	"DS_0.75_none"	"RFt___DS_0.75_none_Test"	0.813131313131313	0.738095238095238	0.818181818181818	0.318829038119271	0.773333333333333	0.778138528138528	0.547390841320554	0.837837837837838	0.710526315789474	0.738095238095238	0.784810126582279
"RFt___DS_0.75_smote"	"RFt"	"DS_0.75_smote"	"RFt___DS_0.75_smote_Test"	0.768398268398268	0.69047619047619	0.848484848484849	0.344618382853833	0.76	0.769480519480519	0.525316455696202	0.852941176470588	0.682926829268293	0.69047619047619	0.763157894736842
"RFt___DS_0.75_up"	"RFt"	"DS_0.75_up"	"RFt___DS_0.75_up_Test"	0.814213564213564	0.714285714285714	0.848484848484849	0.323402990400342	0.773333333333333	0.781385281385281	0.55026455026455	0.857142857142857	0.7	0.714285714285714	0.779220779220779
"RFt___DS_0.75_down"	"RFt"	"DS_0.75_down"	"RFt___DS_0.75_down_Test"	0.797258297258297	0.69047619047619	0.818181818181818	0.358974706493091	0.746666666666667	0.754329004329004	0.497354497354497	0.828571428571429	0.675	0.69047619047619	0.753246753246753
"RFt___DS_1_none"	"RFt"	"DS_1_none"	"RFt___DS_1_none_Test"	0.80050505050505	0.666666666666667	0.878787878787879	0.354687876082413	0.76	0.772727272727273	0.528301886792453	0.875	0.674418604651163	0.666666666666667	0.756756756756757
"RFt___DS_1_smote"	"RFt"	"DS_1_smote"	"RFt___DS_1_smote_Test"	0.784992784992785	0.619047619047619	0.848484848484849	0.409977508763526	0.72	0.733766233766234	0.45141065830721	0.838709677419355	0.636363636363636	0.619047619047619	0.712328767123288
"RFt___DS_1_up"	"RFt"	"DS_1_up"	"RFt___DS_1_up_Test"	0.800865800865801	0.666666666666667	0.848484848484849	0.366152908290745	0.746666666666667	0.757575757575758	0.500525762355415	0.848484848484849	0.666666666666667	0.666666666666667	0.746666666666667
"RFt___DS_1_down"	"RFt"	"DS_1_down"	"RFt___DS_1_down_Test"	0.792929292929293	0.619047619047619	0.909090909090909	0.391649306603759	0.746666666666667	0.764069264069264	0.5067497403946	0.896551724137931	0.652173913043478	0.619047619047619	0.732394366197183
