"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Syagrus lilliputiana"	4	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	3	3	16	792.509286209175	0.105967171955854	2	2
"Syagrus loefgrenii"	15	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	8	9	44	71185.6486899374	0.225879407394677	2	2
"Syagrus longipedunculata"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	1	8	NA	0.0313602052628994	1	1
"Syagrus lorenzoniorum"	4	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	13.192646727066	0.12479851115495	2	2
"Syagrus menzeliana"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	1	4	NA	0.0146804545074701	1	1
"Syagrus microphylla"	39	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	13	20	124	64692.5479257397	0.027407546975435	2	1
"Syagrus minor"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	12	198.92351861795	0.0208299144481619	1	1
"Syagrus oleracea"	42	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	37	37	152	3458243.69377029	0.0588849401323213	11	7
"Syagrus orinocensis"	59	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	33	36	200	569368.452964877	0.072671989020048	9	3
"Syagrus petraea"	135	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	78	84	424	3229474.13181189	0.074700112636546	10	1
"Syagrus pleioclada"	26	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	12	16	96	26006.023775825	0.0243949272240011	3	1
"Syagrus pleiocladoides"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	95	0.0651864055544138	1	1
"Syagrus procumbens"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	2.95740323545837	0.171992305666208	1	1
"Syagrus romanzoffiana"	6	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	5	5	24	18592035.714251	0.0651483557497462	5	7
"Syagrus rupicola"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	2	8	3	0.00198028446175158	1	1
"Syagrus sancona"	56	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	45	47	208	3966951.54568588	0.0701825568456635	22	6
"Syagrus santosii"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	12	244.326895497841	0.0880944033463796	1	1
"Syagrus smithii"	20	"NE"	"NE"	"LC"	"LC"	"NOT_ASSESSED"	16	16	72	518827.410927746	0.0442100954176567	7	4
"Syagrus stenopetala"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	692	0.0385404825210571	2	1
"Syagrus stratincola"	1	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.0103913564234972	1	4
"Syagrus vagans"	33	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	25	28	124	93401.3178092148	0.0495900679097483	3	2
"Syagrus vermicularis"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	7605	0.185396619141102	2	3
"Syagrus weddelliana"	8	"NE"	"NE"	"Threatened"	"nonLC"	"NOT_ASSESSED"	4	6	32	31082.1828693527	0.0246138601505663	2	1
"Syagrus werdermannii"	16	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	7	8	56	46083.8741477627	0.0510750392277259	3	1
"Synechanthus fibrosus"	99	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	51	62	352	438844.167819769	0.0677889395738021	11	9
"Synechanthus warscewiczianus"	337	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	115	166	1036	953988.397649866	0.0664446697598365	13	5
"Thrinax radiata"	3	"NE"	"NE"	"Not Threatened"	"LC"	"NOT_ASSESSED"	3	3	12	203.889649222555	0.0786639833822846	2	10
"Trachycarpus fortunei"	191	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	51	82	680	2224989.9390316	0.0119248153014031	9	2
"Trachycarpus geminisectus"	9	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	3	4	32	12847.6712996761	0.0302940795405044	2	1
"Trachycarpus martianus"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	1	4	NA	0.00151596043724567	1	6
"Trachycarpus oreophilus"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	NA	0.155245596077293	2	1
"Trachycarpus princeps"	3	"Data Deficient"	"NE"	"Data Deficient"	"NE"	"NOT_ASSESSED"	1	1	8	6.0478474766016e-05	0.00243523111566901	1	1
"Trithrinax brasiliensis"	13	"NE"	"NE"	"Data Deficient"	"NE"	"NOT_ASSESSED"	12	12	48	171578.631104631	0.0529162108611602	4	3
"Trithrinax campestris"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	9392	0.0142383834754582	2	3
"Trithrinax schizophylla"	44	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	28	31	144	448651.964666015	0.0878247482723964	6	5
"Veitchia arecina"	1	"NE"	"NE"	"LC,EN"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.0454131215810776	1	1
"Veitchia pachyclada"	1	"NE"	"NE"	"Data Deficient"	"NE"	"NOT_ASSESSED"	1	1	4	NA	0.0245133377611637	1	1
"Veitchia subdisticha"	6	"NE"	"NE"	"Data Deficient"	"NE"	"NOT_ASSESSED"	3	3	20	1059.18992270075	0.138422720134258	1	1
"Wallichia caryotoides"	9	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	9	9	36	401420.392610513	0.0461051501075013	6	4
"Wallichia disticha"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	3	3	12	197.691713578855	0.0473015618820985	3	7
"Wallichia gracilis"	18	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	15	15	60	295320.404244991	0.070276089814595	5	3
"Wallichia oblongifolia"	4	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	1	12	2.20451293807101	0.0528166256844997	1	7
"Washingtonia filifera"	563	"NE"	"NE"	"NT"	"nonLC"	"NOT_ASSESSED"	102	191	1836	48019077.143019	0.0278186029323716	24	3
"Washingtonia robusta"	226	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	85	131	740	24715513.6460367	0.0326336195022159	27	1
"Welfia alfredii"	8	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	5	5	24	4247.05639633643	0.0237396919983439	2	1
"Wendlandiella gracilis"	76	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	35	41	236	682627.740631059	0.107207595422025	8	4
"Wettinia aequalis"	41	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	25	30	144	382784.74342706	0.0491681337049912	7	3
"Wettinia aequatorialis"	20	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	9	11	52	20503.9022328543	0.0343403512029909	1	1
"Wettinia anomala"	22	"NE"	"NE"	"LC"	"LC"	"NOT_ASSESSED"	11	12	56	38901.2629674582	0.0309269322421063	3	2
"Wettinia augusta"	151	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	55	79	496	889315.62612916	0.0769227138680555	8	4
"Wettinia disticha"	4	"NE"	"NE"	"LC"	"LC"	"NOT_ASSESSED"	3	3	12	174.133810542188	0.0141910884995013	1	1
"Wettinia drudei"	76	"NE"	"NE"	"LC"	"LC"	"NOT_ASSESSED"	47	52	260	1024139.50011231	0.0294291990775443	11	4
"Wettinia fascicularis"	27	"NE"	"NE"	"LC"	"LC"	"NOT_ASSESSED"	15	17	80	124850.816843151	0.0247832705240904	3	2
