"mtry" "ROC" "Sens" "Spec" "ROCSD" "SensSD" "SpecSD"
1 0.797485754985755 0.824102564102564 0.627111111111111 0.0957673583421838 0.101720174679055 0.157399049094784
2 0.793909544159544 0.803653846153846 0.656222222222222 0.093715407723801 0.114835288389847 0.161932924705736
3 0.79643839031339 0.79724358974359 0.671222222222222 0.097329798750798 0.118919266101524 0.157729676042832
4 0.791031695156695 0.788076923076923 0.678444444444444 0.102977159377452 0.112940751425411 0.157869750781292
5 0.787503917378917 0.784038461538462 0.67 0.0988411153951254 0.101415213639185 0.160048159605761
6 0.78641915954416 0.780961538461538 0.668888888888889 0.0979315632424425 0.115251639251891 0.160860325731869
7 0.778795584045584 0.783141025641026 0.667444444444444 0.101268098698212 0.10673287407323 0.158771117851527
8 0.785815883190883 0.785576923076923 0.662888888888889 0.100131221140281 0.1168159765612 0.166776768720529
