"mtry" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.74120459250894 0.467335311037678 0.0945995630397091 0.195485279835342
2 0.731937699981178 0.452348705077748 0.0827176731436978 0.170186845103078
3 0.742967250141163 0.47642525545169 0.0939668349477634 0.189593837284951
4 0.736260116694899 0.463454913302186 0.0960158758041191 0.195291698102388
5 0.735103519668737 0.460847181364576 0.0869609549478384 0.177790651752942
6 0.73223226049313 0.454773727897716 0.096262194519896 0.197214234285761
7 0.731342932429889 0.453232876609724 0.0924993844635397 0.188877308820583
8 0.73777150385846 0.467211631588515 0.0942476919431481 0.190975891080473
