"mtry" "Accuracy" "Kappa" "AccuracySD" "KappaSD"
1 0.737293431206475 0.452938340517202 0.0894797508562876 0.187645920845639
2 0.734210427253906 0.452041986385806 0.0982161972389536 0.203833716198313
3 0.737293431206475 0.459042994242688 0.0951038809697601 0.195117128763602
4 0.73227555053642 0.449796536651309 0.0992468424121475 0.203175618686467
5 0.731939582156973 0.448312973130955 0.0980336902791398 0.200210668248922
6 0.727079804253717 0.439406145559662 0.0947470059222952 0.19358817368982
7 0.719629211368342 0.426040678031704 0.0934318657026734 0.190354709232418
8 0.708026538678713 0.399705757944505 0.0968676542426646 0.198510194967198
