"mtry" "ROC" "Sens" "Spec" "ROCSD" "SensSD" "SpecSD"
1 0.803573717948718 0.829551282051282 0.616 0.0964628693265456 0.106592940515891 0.16469329307273
2 0.794905626780627 0.796730769230769 0.652222222222222 0.0972047537332676 0.112060728198605 0.166127072642814
3 0.791915598290598 0.798269230769231 0.657222222222222 0.101902814872589 0.119687444375381 0.157423251331745
4 0.782740740740741 0.785833333333333 0.661555555555556 0.103520939284093 0.118679729539075 0.160568729823499
5 0.78381160968661 0.791794871794872 0.652666666666667 0.0987195094831078 0.123577717224948 0.154013682803136
6 0.779042735042735 0.78275641025641 0.653666666666667 0.0979319450959477 0.119747909340768 0.146029078720299
7 0.770057336182336 0.765641025641026 0.659111111111111 0.100678103497248 0.122127777420856 0.151213077105179
8 0.773239316239316 0.766282051282051 0.631 0.100169244140318 0.120106206749942 0.156803515781428
