"mtry" "ROC" "Sens" "Spec" "ROCSD" "SensSD" "SpecSD"
1 0.802122863247863 0.845961538461538 0.617222222222222 0.0971569806373941 0.0999092049244918 0.160132871315885
2 0.799463675213675 0.824679487179487 0.642 0.0978484166680666 0.111302861111168 0.159400767137929
3 0.795519943019943 0.818397435897436 0.649111111111111 0.0994686215101867 0.111073954548715 0.15995993387858
4 0.791059472934473 0.816923076923077 0.658555555555556 0.0985569079988591 0.109175355870795 0.162701466045173
5 0.790407763532764 0.813717948717949 0.650333333333333 0.102038099914933 0.106424297666574 0.163897344224429
6 0.788685897435897 0.806858974358974 0.656555555555556 0.100816251413628 0.10710012425141 0.164502181449695
7 0.789440527065527 0.804358974358974 0.661777777777778 0.102158248127255 0.107064560806874 0.164109222432478
8 0.786526353276353 0.806217948717949 0.654222222222222 0.102992041111318 0.107131898483862 0.163857964705963
